000,10,100,1000,10000,1018,103,104,105,106,109,20,200,2000,50,500,5000,64,about,after,all,also,always,amount,an,and,any,are,array,as,at,be,before,between,bit,both,bottom,by,can,cards,case,cell,character,characters,chronological,cin,colors,column,columns,consider,consist,consisting,consists,contain,containing,contains,coordinates,correct,corresponding,correspondingly,cout,current,data,day,days,denotes,denoting,describe,described,describes,describing,description,descriptions,different,digit,digits,distinct,do,does,doesn,each,either,element,elements,empty,end,english,equal,equals,even,exactly,exceed,exceeding,exists,first,five,follow,followed,following,for,form,format,four,fourth,friends,from,game,get,given,grid,group,guaranteed,has,have,he,height,his,house,i64d,if,ij,in,inclusive,increasing,information,initial,input,integer,integers,is,it,its,last,latin,leading,least,left,length,lengths,letter,letters,line,lines,list,lld,located,lowercase,maximum,may,means,min,mm,more,most,name,names,needs,negative,next,nn,no,non,not,note,number,numbered,numbers,of,on,once,one,only,or,order,other,otherwise,pair,pairs,part,participants,people,per,person,petya,please,point,points,position,positions,positive,possible,problem,problems,queries,query,read,representing,represents,required,respectively,right,row,rows,same,second,segment,separated,sequence,set,should,single,size,sizes,small,so,some,space,spaces,square,stands,start,starting,starts,statement,streams,string,strings,sum,symbols,table,test,th,than,that,their,them,then,there,these,they,third,this,three,time,to,top,total,two,type,uppercase,use,value,values,vasya,vertices,wants,was,when,where,which,while,who,will,with,without,word,words,write,written,you,zero,zeros
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3813848959742283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2078556310044556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14664574596441146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169823646277119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26551831732438924,0.0,0.0,0.0,0.0,0.2541106939485841,0.23003223747478663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438734163871648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3970231611721689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4603802284707944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274723324728887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3508020056373563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20895966021399598,0.0,0.0,0.0,0.0,0.0,0.23272252574903476,0.12213723035951693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16214914513193635,0.0,0.0,0.0,0.0,0.0,0.0,0.20360624667859456,0.0,0.0,0.0,0.21862809992554047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1841417292983451,0.04308496519806718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04989470264915984,0.0,0.16397177937509408,0.0,0.0,0.0,0.0,0.19671658969673186,0.0,0.0,0.0,0.12055369622621696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15602017482521355,0.18571412881081986,0.0,0.20895966021399598,0.0,0.0,0.13516833892256142,0.0,0.23207984416449617,0.0,0.0,0.0,0.1519748179700515,0.0,0.0,0.0,0.11636126287451738,0.0,0.0,0.12595223193687188,0.042270446354934606,0.09031562938541088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3714282576216397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20149572426860335,0.0,0.0,0.09567118386803866,0.0,0.0,0.0,0.0,0.0,0.1519748179700515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11388061306429435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380922405760921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09798304992594475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422077532432573,0.0,0.0,0.0,0.0,0.14330620684575368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14971908755292343,0.0,0.0,0.0,0.0,0.0,0.0,0.21761720570130108,0.0,0.0,0.0,0.0,0.05294497188835548,0.4151734413027058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25020159485182447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12262623943148183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29628488863306485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19012758888019085,0.0,0.0,0.0,0.18675429881798492,0.0,0.0,0.0,0.0,0.0,0.20890055575109098,0.0,0.10388810034692333,0.0,0.0,0.0,0.0,0.17215849779280923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17634834276178882,0.0,0.0,0.2630209037625636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040043044647027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736090731571899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24081299822413232,0.0,0.0,0.10169897652808485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.34676244929624267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24788207453739994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48933646564186545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17488509479429806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20252632820794486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30304440478094674,0.2743291964724672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715789019161529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272628736245262,0.0,0.0,0.19416824387495674,0.0,0.0,0.0,0.4457565710457181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.09034792712678728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06798320985547293,0.0,0.0,0.0,0.061530665407090915,0.09687740837478505,0.0,0.1055701742272338,0.0,0.0,0.0,0.2941810595347805,0.0,0.0,0.0,0.0,0.0,0.0,0.23893215281774507,0.0,0.1076649353031197,0.0,0.0,0.06442603167487392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12246414507747767,0.0,0.0,0.0,0.1076649353031197,0.0,0.0,0.0,0.0,0.09047342297655349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18094684595310698,0.0,0.0,0.0,0.0,0.04905303977572013,0.0,0.0,0.0,0.14709052976739026,0.11560834020522195,0.0,0.0,0.0,0.0,0.0,0.07730470046605657,0.0,0.0,0.0,0.0,0.0,0.0,0.07519802954133506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05444054192330502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789783023249113,0.0,0.12375284871579556,0.0,0.0,0.0,0.0,0.07895732036411784,0.0,0.0,0.16362864967544888,0.050521633453969456,0.0982037633396159,0.0,0.08036275512842204,0.0,0.0,0.0,0.0,0.0,0.0,0.1332045467561039,0.06705656058611217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771633005699336,0.0,0.2946112900188477,0.1029343493213678,0.0,0.0,0.0,0.0,0.30672453461417576,0.07730470046605657,0.06778033995148758,0.0,0.0,0.0,0.0,0.05058995973628029,0.0,0.0,0.0,0.0,0.07354526488369513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127594177795744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07668113365354394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05487542369962819,0.07894891511624556,0.0,0.0,0.11206683651198192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08621925576754928,0.04524358511426648,0.0,0.0,0.0,0.23788090194845457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40181377564211024,0.2273366422731514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.20724003754026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10451879574607491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5069102863301287,0.0,0.12103837640404143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38310683311509464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18111226850147383,0.16395083461524065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1025428737926664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3109490309905135,0.0,0.0,0.0,0.2829702451722356,0.23208645706268996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3281267161800098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23639510505931613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517464479642043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07263485380001498,0.0,0.0,0.0,0.0,0.0,0.16542400293712722,0.0,0.0,0.0,0.0,0.0,0.0,0.17914188951979446,0.0,0.0,0.0,0.35515666676096797,0.14491228048285365,0.0,0.0,0.0,0.23655235739358682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024902935469748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2485360823242502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11033409436713755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175191358634404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15980761429418414,0.0,0.0,0.12245210322189176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08879861957446852,0.0,0.0,0.09201172321330021,0.11363737494309781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2148423545205926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11379105998514022,0.0,0.0,0.0,0.0,0.16542400293712722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20911658422825236,0.0,0.0,0.0,0.0,0.0,0.1724774545143874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45840361419727976,0.2600356996457686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10176555851235854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17044803377703174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05962564776613468,0.0,0.0,0.0,0.0,0.0,0.07929774077316011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262321163638724,0.0,0.06967165958604708,0.0,0.0,0.09111053340996615,0.0,0.0,0.0,0.0,0.1307625790148451,0.0,0.08414118598683945,0.0,0.0,0.0,0.0,0.0,0.0,0.152592812942584,0.0,0.0,0.0,0.0,0.0,0.12360110475648502,0.0,0.10559341627463335,0.0,0.0,0.12028565472316705,0.0,0.0,0.0,0.0,0.0,0.0,0.11941693898579919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24903724547007933,0.0,0.12949137249915288,0.0,0.0,0.0,0.19414652657911907,0.0,0.0,0.0,0.0,0.0,0.0,0.20407077338641064,0.0,0.0,0.06964862275949066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682823719736789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088952305786921,0.0,0.0,0.0,0.0,0.05210834960255444,0.0,0.0,0.053993846567752996,0.0,0.0,0.0,0.212143498282109,0.0,0.0,0.0,0.1624301032266329,0.0,0.0,0.2637273805268817,0.0885087458908737,0.06303634320242184,0.0,0.0,0.0,0.19556340181681586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20407077338641064,0.1789281416382608,0.0,0.0,0.0,0.0,0.20032285514455597,0.17432580303692743,0.0,0.0,0.0,0.0,0.212143498282109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12360110475648502,0.11586931890636268,0.0,0.0,0.20242466699287473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1589673339614164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10512312299777665,0.0,0.08765816739071869,0.0,0.13677573206724739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888609194528405,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761301185805894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1679590205902998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29104276429186965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16478376475532402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4547259169613093,0.37295697622870827,0.0,0.0,0.0,0.42810301920006855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3226229022977309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.24217765611298356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17311995553649434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16413259582106443,0.0,0.12213912559545118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23241715135588262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148669345152783,0.0,0.0,0.0,0.0,0.3098882038402848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07072183214490342,0.0,0.0,0.0,0.20156834935547682,0.378392023986242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09579526551951272,0.08525588352912705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05991504614877523,0.25603065825922455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16533743078533908,0.27121281608573944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13812391934334925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14709359597296823,0.0,0.0,0.0,0.3003952017225854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28733173674912893,0.0,0.0,0.0,0.0,0.0,0.0,0.24920717719907598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11730503978060018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1936930630719245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
