60304985,Sep/09/2019 16:32,njwrz,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,0 KB,2019-09-09 16:32:00
554190,Jul/22/2011 10:27,vjudge4,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-07-22 10:27:00
8743322,Nov/18/2014 11:09,hakobyan.tigran,63C - Bulls and Cows,GNU C++0x,Accepted,62 ms,0 KB,2014-11-18 11:09:00
487230,Jun/14/2011 10:58,Archon.JK,63C - Bulls and Cows,GNU C++0x,Accepted,30 ms,1400 KB,2011-06-14 10:58:00
313330,Mar/01/2011 16:56,ninoseki,63C - Bulls and Cows,Python 2,Accepted,110 ms,3500 KB,2011-03-01 16:56:00
544301,Jul/13/2011 16:42,bobchennan,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-07-13 16:42:00
312306,Feb/28/2011 21:30,cartesio,63C - Bulls and Cows,Python 2,Accepted,110 ms,3300 KB,2011-02-28 21:30:00
314832,Mar/03/2011 19:39,Shinta,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2011-03-03 19:39:00
487141,Jun/14/2011 04:56,balroginfire,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-06-14 04:56:00
74210604,Mar/24/2020 17:27,TheLaughingBudha,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,0 KB,2020-03-24 17:27:00
1204143,Feb/19/2012 17:48,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2012-02-19 17:48:00
434285,May/06/2011 18:41,alexander-nsk94,63C - Bulls and Cows,Delphi,Accepted,30 ms,900 KB,2011-05-06 18:41:00
312373,Feb/28/2011 21:36,PavelParhomenko,63C - Bulls and Cows,Delphi,Accepted,50 ms,800 KB,2011-02-28 21:36:00
42879430,Sep/15/2018 08:26,habdala70,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,400 KB,2018-09-15 08:26:00
311926,Feb/28/2011 20:39,ideamonk,63C - Bulls and Cows,Python 2,Accepted,380 ms,2800 KB,2011-02-28 20:39:00
361596,Mar/29/2011 16:51,mikekin,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-03-29 16:51:00
2002471,Aug/12/2012 20:30,sspa#,63C - Bulls and Cows,GNU C++,Accepted,50 ms,2600 KB,2012-08-12 20:30:00
313286,Mar/01/2011 16:08,simp1eton,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-03-01 16:08:00
571939,Jul/30/2011 12:00,Komaki,63C - Bulls and Cows,GNU C++,Accepted,60 ms,1700 KB,2011-07-30 12:00:00
314442,Mar/03/2011 02:26,macs,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-03-03 02:26:00
311949,Feb/28/2011 20:41,* BrightDays,63C - Bulls and Cows,FPC,Accepted,50 ms,1000 KB,2011-02-28 20:41:00
315145,Mar/04/2011 14:45,Ra16bit,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1800 KB,2011-03-04 14:45:00
2227806,Sep/21/2012 22:46,DimsFromDergachy,63C - Bulls and Cows,Haskell,Accepted,31 ms,2000 KB,2012-09-21 22:46:00
388538,Apr/15/2011 10:01,rankalee,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 10:01:00
3169549,Feb/22/2013 02:46,stevenkplus,63C - Bulls and Cows,GNU C++,Accepted,15 ms,0 KB,2013-02-22 02:46:00
3415210,Mar/28/2013 15:46,vjudge5,63C - Bulls and Cows,GNU C++,Accepted,15 ms,0 KB,2013-03-28 15:46:00
9006382,Dec/07/2014 07:50,vjudge3,63C - Bulls and Cows,GNU C++,Accepted,30 ms,0 KB,2014-12-07 07:50:00
4282884,Aug/15/2013 20:38,Akzhol,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2013-08-15 20:38:00
