12983121,Sep/13/2015 14:21,duckladydinh,314C - Sereja and Subsequences,GNU C++11,Accepted,124 ms,3900 KB,2015-09-13 14:21:00
4408068,Sep/05/2013 10:46,ross,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,7800 KB,2013-09-05 10:46:00
12983146,Sep/13/2015 14:23,duckladydinh,314C - Sereja and Subsequences,GNU C++11,Accepted,92 ms,3900 KB,2015-09-13 14:23:00
27902324,Jun/19/2017 13:37,Scut82,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,7900 KB,2017-06-19 13:37:00
3845658,Jun/08/2013 10:48,wzc1995,314C - Sereja and Subsequences,GNU C++,Accepted,46 ms,7800 KB,2013-06-08 10:48:00
3847621,Jun/08/2013 19:12,paulwang,314C - Sereja and Subsequences,GNU C++,Accepted,93 ms,7800 KB,2013-06-08 19:12:00
4003994,Jul/02/2013 20:35,aid,315E - Sereja and Subsequences,GNU C++,Accepted,171 ms,7800 KB,2013-07-02 20:35:00
3853421,Jun/10/2013 13:48,yakitori,314C - Sereja and Subsequences,GNU C++,Accepted,78 ms,15600 KB,2013-06-10 13:48:00
12983210,Sep/13/2015 14:30,duckladydinh,314C - Sereja and Subsequences,GNU C++11,Accepted,92 ms,7800 KB,2015-09-13 14:30:00
36273224,Mar/14/2018 14:34,edisonhello,314C - Sereja and Subsequences,GNU C++11,Accepted,404 ms,17700 KB,2018-03-14 14:34:00
36273309,Mar/14/2018 14:36,edisonhello,315E - Sereja and Subsequences,GNU C++11,Accepted,404 ms,17700 KB,2018-03-14 14:36:00
28569083,Jul/15/2017 12:12,cr0n,314C - Sereja and Subsequences,GNU C++14,Accepted,156 ms,9700 KB,2017-07-15 12:12:00
3850850,Jun/09/2013 17:23,Robert,314C - Sereja and Subsequences,GNU C++,Accepted,93 ms,15600 KB,2013-06-09 17:23:00
9814156,Feb/13/2015 10:57,vjudge2,315E - Sereja and Subsequences,GNU C++,Accepted,92 ms,7600 KB,2015-02-13 10:57:00
60916993,Sep/20/2019 11:43,ektrojohn,314C - Sereja and Subsequences,GNU C++11,Accepted,404 ms,15700 KB,2019-09-20 11:43:00
3844949,Jun/08/2013 07:03,Hellis,314C - Sereja and Subsequences,GNU C++,Accepted,93 ms,15700 KB,2013-06-08 07:03:00
19032519,Jul/11/2016 17:46,norhh,314C - Sereja and Subsequences,GNU C++11,Accepted,590 ms,24300 KB,2016-07-11 17:46:00
3850992,Jun/09/2013 18:07,zhj,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,9400 KB,2013-06-09 18:07:00
26161888,Apr/06/2017 07:04,prakash14,314C - Sereja and Subsequences,GNU C++,Accepted,498 ms,14200 KB,2017-04-06 07:04:00
9494026,Jan/21/2015 18:10,Reis,314C - Sereja and Subsequences,GNU C++,Accepted,124 ms,7600 KB,2015-01-21 18:10:00
19305775,Jul/21/2016 19:14,dthangnguyen19,314C - Sereja and Subsequences,GNU C++,Accepted,498 ms,16100 KB,2016-07-21 19:14:00
50083486,Feb/18/2019 09:02,vjudge4,315E - Sereja and Subsequences,GNU C++14,Accepted,122 ms,7800 KB,2019-02-18 09:02:00
3936318,Jun/22/2013 20:46,ryunosuke.iwai#,314C - Sereja and Subsequences,GNU C++,Accepted,93 ms,7800 KB,2013-06-22 20:46:00
4047841,Jul/10/2013 22:30,lysine,314C - Sereja and Subsequences,GNU C++,Accepted,187 ms,8200 KB,2013-07-10 22:30:00
12983217,Sep/13/2015 14:30,duckladydinh,314C - Sereja and Subsequences,GNU C++11,Accepted,92 ms,7800 KB,2015-09-13 14:30:00
3846078,Jun/08/2013 12:38,fab,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,7800 KB,2013-06-08 12:38:00
