51754878,Mar/23/2019 14:08,vjudge4,332C - Students' Revenge,GNU C++14,Accepted,778 ms,3000 KB,2019-03-23 14:08:00
6357697,Apr/14/2014 19:09,moji,332C - Students' Revenge,GNU C++,Accepted,186 ms,2000 KB,2014-04-14 19:09:00
51787780,Mar/24/2019 14:26,paulzrm,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3600 KB,2019-03-24 14:26:00
65045073,Nov/15/2019 16:41,luogu_bot4,332C - Students' Revenge,GNU C++11,Accepted,186 ms,4000 KB,2019-11-15 16:41:00
4310211,Aug/19/2013 01:23,bytenum,332C - Students' Revenge,GNU C++,Accepted,404 ms,3600 KB,2013-08-19 01:23:00
65541651,Nov/22/2019 18:44,JCC_,332C - Students' Revenge,GNU C++11,Accepted,156 ms,4000 KB,2019-11-22 18:44:00
48552316,Jan/19/2019 05:49,vjudge1,332C - Students' Revenge,GNU C++11,Accepted,186 ms,1600 KB,2019-01-19 05:49:00
60203758,Sep/07/2019 10:13,vjudge5,332C - Students' Revenge,GNU C++11,Accepted,186 ms,3000 KB,2019-09-07 10:13:00
4164337,Jul/25/2013 18:04,doxuanviet1996#,332C - Students' Revenge,GNU C++,Accepted,670 ms,1600 KB,2013-07-25 18:04:00
70518145,Feb/07/2020 20:00,big_tq,332C - Students' Revenge,GNU C++11,Accepted,156 ms,4000 KB,2020-02-07 20:00:00
48561663,Jan/19/2019 10:37,yangyuchen,332C - Students' Revenge,GNU C++11,Accepted,218 ms,4300 KB,2019-01-19 10:37:00
60204821,Sep/07/2019 10:41,cjrzn,332C - Students' Revenge,GNU C++11,Accepted,156 ms,12900 KB,2019-09-07 10:41:00
4285141,Aug/16/2013 09:30,Ruthles#,332C - Students' Revenge,GNU C++,Accepted,280 ms,1500 KB,2013-08-16 09:30:00
5019479,Nov/07/2013 06:32,air_xy,332C - Students' Revenge,GNU C++,Accepted,436 ms,3500 KB,2013-11-07 06:32:00
14050626,Nov/04/2015 05:41,130705009,332C - Students' Revenge,GNU C++,Accepted,186 ms,1400 KB,2015-11-04 05:41:00
4156433,Jul/24/2013 21:28,* nwi,332C - Students' Revenge,Python 2,Accepted,1718 ms,22800 KB,2013-07-24 21:28:00
5019741,Nov/07/2013 08:00,Starset,332C - Students' Revenge,GNU C++,Accepted,342 ms,31300 KB,2013-11-07 08:00:00
64453165,Nov/07/2019 10:50,OuOu,332C - Students' Revenge,GNU C++11,Accepted,186 ms,4000 KB,2019-11-07 10:50:00
4205209,Jul/30/2013 20:41,lysine,332C - Students' Revenge,GNU C++,Accepted,592 ms,1200 KB,2013-07-30 20:41:00
4724714,Oct/10/2013 15:52,equation314,332C - Students' Revenge,GNU C++,Accepted,248 ms,1900 KB,2013-10-10 15:52:00
60215698,Sep/07/2019 14:46,luogu_bot3,332C - Students' Revenge,GNU C++11,Accepted,156 ms,3000 KB,2019-09-07 14:46:00
4561268,Sep/25/2013 19:15,Feu,332C - Students' Revenge,GNU C++,Accepted,218 ms,3500 KB,2013-09-25 19:15:00
4198683,Jul/29/2013 13:31,hasta88#,332C - Students' Revenge,GNU C++,Accepted,248 ms,5300 KB,2013-07-29 13:31:00
5002877,Nov/06/2013 15:29,vjudge2,332C - Students' Revenge,GNU C++,Accepted,218 ms,3100 KB,2013-11-06 15:29:00
60198121,Sep/07/2019 06:20,vjudge2,332C - Students' Revenge,GNU C++11,Accepted,186 ms,12900 KB,2019-09-07 06:20:00
15684389,Jan/30/2016 22:02,Arpa,332C - Students' Revenge,GNU C++11,Accepted,404 ms,2000 KB,2016-01-30 22:02:00
62541580,Oct/14/2019 06:47,vjudge3,332C - Students' Revenge,GNU C++11,Accepted,998 ms,5200 KB,2019-10-14 06:47:00
5019440,Nov/07/2013 06:22,Archer_C,332C - Students' Revenge,GNU C++,Accepted,404 ms,3400 KB,2013-11-07 06:22:00
4213415,Aug/01/2013 14:56,Mobinteymoori,332C - Students' Revenge,GNU C++,Accepted,218 ms,1600 KB,2013-08-01 14:56:00
