51086324,Mar/09/2019 16:10,dev_gupta,492C - Vanya and Exams,GNU C++14,Accepted,311 ms,1600 KB,2019-03-09 16:10:00
8916432,Dec/01/2014 20:32,aviraldg,492C - Vanya and Exams,Python 2,Accepted,670 ms,14500 KB,2014-12-01 20:32:00
10127800,Mar/03/2015 06:25,xxxyyyzzz,492C - Vanya and Exams,GNU C++0x,Accepted,421 ms,1600 KB,2015-03-03 06:25:00
15153479,Jan/02/2016 01:01,justinz2018,492C - Vanya and Exams,Python 3,Accepted,624 ms,8700 KB,2016-01-02 01:01:00
62810990,Oct/17/2019 18:11,soumyasarkar1998,492C - Vanya and Exams,Python 2,Accepted,529 ms,10200 KB,2019-10-17 18:11:00
11632859,Jun/18/2015 16:11,ITDOI,492C - Vanya and Exams,GNU C++11,Accepted,421 ms,1600 KB,2015-06-18 16:11:00
77733400,Apr/23/2020 12:29,h111801015,492C - Vanya and Exams,Python 3,Accepted,998 ms,8900 KB,2020-04-23 12:29:00
12033273,Jul/13/2015 23:20,rincewind,492C - Vanya and Exams,Python 2,Accepted,467 ms,11400 KB,2015-07-13 23:20:00
20324236,Sep/01/2016 17:29,future_loops,492C - Vanya and Exams,Python 3,Accepted,639 ms,12600 KB,2016-09-01 17:29:00
9128413,Dec/14/2014 13:06,govind_lahoti#,492C - Vanya and Exams,Python 2,Accepted,483 ms,11000 KB,2014-12-14 13:06:00
8923437,Dec/01/2014 22:21,scientist1642,492C - Vanya and Exams,Ruby,Accepted,560 ms,15000 KB,2014-12-01 22:21:00
8923459,Dec/01/2014 22:22,scientist1642,492C - Vanya and Exams,Ruby,Accepted,592 ms,15100 KB,2014-12-01 22:22:00
66675884,Dec/12/2019 14:17,spnooyseed,492C - Vanya and Exams,GNU C++17,Accepted,327 ms,1600 KB,2019-12-12 14:17:00
9070781,Dec/10/2014 14:11,vjudge4,492C - Vanya and Exams,Python 3,Accepted,576 ms,10600 KB,2014-12-10 14:11:00
11960770,Jul/07/2015 16:43,pikmike,492C - Vanya and Exams,Python 3,Accepted,576 ms,11300 KB,2015-07-07 16:43:00
8909027,Dec/01/2014 19:44,* NgocHai,492C - Vanya and Exams,Python 2,Accepted,529 ms,10300 KB,2014-12-01 19:44:00
9061120,Dec/09/2014 19:21,Strikeskids,492C - Vanya and Exams,Python 3,Accepted,607 ms,13400 KB,2014-12-09 19:21:00
