25146498,Mar/02/2017 14:41,vjudge1,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2017-03-02 14:41:00
23457210,Dec/30/2016 23:18,LordVoldebug,750C - New Year and Rating,PyPy 2,Accepted,701 ms,25100 KB,2016-12-30 23:18:00
25314239,Mar/07/2017 12:24,vjudge3,750C - New Year and Rating,GNU C++,Accepted,78 ms,2200 KB,2017-03-07 12:24:00
23493476,Jan/02/2017 08:33,lqs2015#,750C - New Year and Rating,GNU C++,Accepted,546 ms,2000 KB,2017-01-02 08:33:00
39271771,Jun/15/2018 20:08,just9n,750C - New Year and Rating,GNU C++14,Accepted,374 ms,300 KB,2018-06-15 20:08:00
41288753,Aug/07/2018 03:01,mohammed.rabii,750C - New Year and Rating,GNU C++14,Accepted,421 ms,0 KB,2018-08-07 03:01:00
77646557,Apr/22/2020 15:44,Anish1712,750C - New Year and Rating,GNU C++17,Accepted,358 ms,0 KB,2020-04-22 15:44:00
77646592,Apr/22/2020 15:44,Anish1712,750C - New Year and Rating,GNU C++17,Accepted,390 ms,0 KB,2020-04-22 15:44:00
23432492,Dec/30/2016 17:42,bulat.s,750C - New Year and Rating,Python 2,Accepted,514 ms,4500 KB,2016-12-30 17:42:00
34411966,Jan/21/2018 14:37,belhadjmohamedrami,750C - New Year and Rating,GNU C++14,Accepted,374 ms,1900 KB,2018-01-21 14:37:00
26238900,Apr/09/2017 17:07,malikabhishek273,750C - New Year and Rating,GNU C++14,Accepted,390 ms,1900 KB,2017-04-09 17:07:00
33136025,Dec/11/2017 21:48,arjita_03,750C - New Year and Rating,GNU C++14,Accepted,374 ms,1900 KB,2017-12-11 21:48:00
23458942,Dec/31/2016 01:10,179000,750C - New Year and Rating,GNU C++11,Accepted,623 ms,2000 KB,2016-12-31 01:10:00
23461380,Dec/31/2016 05:36,liuhaitao,750C - New Year and Rating,GNU C++11,Accepted,623 ms,2000 KB,2016-12-31 05:36:00
26774221,Apr/30/2017 22:45,Vasilevich,750C - New Year and Rating,GNU C++11,Accepted,529 ms,2000 KB,2017-04-30 22:45:00
43747543,Oct/04/2018 01:30,AMIT_SOLANKI,750C - New Year and Rating,GNU C++11,Accepted,546 ms,0 KB,2018-10-04 01:30:00
52474283,Apr/07/2019 23:56,the_compiler,750C - New Year and Rating,GNU C++14,Accepted,343 ms,0 KB,2019-04-07 23:56:00
23463001,Dec/31/2016 08:03,zjmfrank2012,750C - New Year and Rating,GNU C++,Accepted,686 ms,2000 KB,2016-12-31 08:03:00
23508038,Jan/03/2017 02:55,Alexis972,750C - New Year and Rating,GNU C++,Accepted,576 ms,2000 KB,2017-01-03 02:55:00
25497504,Mar/15/2017 15:16,assia,750C - New Year and Rating,GNU C++14,Accepted,390 ms,1900 KB,2017-03-15 15:16:00
34272348,Jan/18/2018 12:47,2fat2code#,750C - New Year and Rating,GNU C++14,Accepted,374 ms,1900 KB,2018-01-18 12:47:00
25144583,Mar/02/2017 13:15,8140898,750C - New Year and Rating,Python 2,Accepted,639 ms,7900 KB,2017-03-02 13:15:00
23462088,Dec/31/2016 06:46,ifndef,750C - New Year and Rating,Python 3,Accepted,795 ms,4600 KB,2016-12-31 06:46:00
23717345,Jan/11/2017 14:24,vjudge1,750C - New Year and Rating,GNU C++,Accepted,561 ms,2000 KB,2017-01-11 14:24:00
23498189,Jan/02/2017 14:54,Gray_58,750C - New Year and Rating,FPC,Accepted,77 ms,1700 KB,2017-01-02 14:54:00
23577009,Jan/06/2017 08:50,Dsingh_24,750C - New Year and Rating,GNU C++14,Accepted,436 ms,5000 KB,2017-01-06 08:50:00
23929854,Jan/18/2017 22:14,hellmakis2,750C - New Year and Rating,GNU C++11,Accepted,764 ms,2000 KB,2017-01-18 22:14:00
25282650,Mar/06/2017 08:51,hello-noob,750C - New Year and Rating,GNU C++14,Accepted,436 ms,1900 KB,2017-03-06 08:51:00
23429009,Dec/30/2016 17:32,111116,750C - New Year and Rating,GNU C++11,Accepted,62 ms,2000 KB,2016-12-30 17:32:00
28204827,Jul/02/2017 09:54,cf00189,750C - New Year and Rating,GNU C++11,Accepted,62 ms,2100 KB,2017-07-02 09:54:00
23650286,Jan/08/2017 20:34,SeeBoom,750C - New Year and Rating,GNU C++11,Accepted,592 ms,2000 KB,2017-01-08 20:34:00
23656079,Jan/08/2017 22:49,hahaha12,750C - New Year and Rating,GNU C++11,Accepted,592 ms,2000 KB,2017-01-08 22:49:00
23657163,Jan/09/2017 00:45,tytan69pl,750C - New Year and Rating,GNU C++11,Accepted,592 ms,2000 KB,2017-01-09 00:45:00
23657772,Jan/09/2017 02:25,Sebastian1998,750C - New Year and Rating,GNU C++11,Accepted,592 ms,2000 KB,2017-01-09 02:25:00
23833006,Jan/15/2017 10:47,Ice_Cream,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2017-01-15 10:47:00
23650281,Jan/08/2017 20:34,Frontas,750C - New Year and Rating,GNU C++11,Accepted,639 ms,2000 KB,2017-01-08 20:34:00
23613245,Jan/07/2017 00:26,A.Moharib,750C - New Year and Rating,GNU C++14,Accepted,374 ms,1900 KB,2017-01-07 00:26:00
23676733,Jan/10/2017 10:46,frabbi-sw,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2017-01-10 10:46:00
24475707,Feb/06/2017 23:07,Bruno.Eduardo,750C - New Year and Rating,GNU C++,Accepted,546 ms,2000 KB,2017-02-06 23:07:00
23777409,Jan/13/2017 08:45,yizhixiaokong,750C - New Year and Rating,GNU C++11,Accepted,561 ms,2000 KB,2017-01-13 08:45:00
33800034,Dec/30/2017 06:47,Howkits,750C - New Year and Rating,GNU C++,Accepted,530 ms,2000 KB,2017-12-30 06:47:00
23628889,Jan/07/2017 19:06,KillerBeer,750C - New Year and Rating,GNU C++,Accepted,592 ms,2000 KB,2017-01-07 19:06:00
57897983,Jul/28/2019 17:25,christo,750C - New Year and Rating,GNU C++11,Accepted,483 ms,0 KB,2019-07-28 17:25:00
23434390,Dec/30/2016 17:49,Flandr.Scarlet,750C - New Year and Rating,GNU C++11,Accepted,62 ms,2000 KB,2016-12-30 17:49:00
