26781241,May/01/2017 11:04,david-nj,803C - Maximal GCD,GNU C++,Accepted,78 ms,2100 KB,2017-05-01 11:04:00
26913648,May/07/2017 02:29,nthoa,803C - Maximal GCD,GNU C++,Accepted,93 ms,0 KB,2017-05-07 02:29:00
77096462,Apr/17/2020 18:54,siddhant1,803C - Maximal GCD,PyPy 3,Accepted,296 ms,9100 KB,2020-04-17 18:54:00
26772309,Apr/30/2017 20:11,Zpaunchy,803C - Maximal GCD,GNU C++,Accepted,78 ms,2100 KB,2017-04-30 20:11:00
26808310,May/02/2017 22:30,mutreta#,803C - Maximal GCD,GNU C++11,Accepted,46 ms,2100 KB,2017-05-02 22:30:00
40714601,Jul/24/2018 21:21,Mulx10,803C - Maximal GCD,Python 2,Accepted,218 ms,8300 KB,2018-07-24 21:21:00
46840467,Dec/10/2018 10:11,Forever_Pupil,803C - Maximal GCD,GNU C++14,Accepted,46 ms,0 KB,2018-12-10 10:11:00
26726200,Apr/28/2017 18:53,tjake,803C - Maximal GCD,Python 2,Accepted,109 ms,13300 KB,2017-04-28 18:53:00
59519451,Aug/26/2019 14:20,tzc_wk#,803C - Maximal GCD,GNU C++11,Accepted,77 ms,0 KB,2019-08-26 14:20:00
59524986,Aug/26/2019 16:08,luogu_bot5,803C - Maximal GCD,GNU C++11,Accepted,77 ms,0 KB,2019-08-26 16:08:00
27120443,May/15/2017 14:40,jdh,803C - Maximal GCD,Python 3,Accepted,108 ms,10800 KB,2017-05-15 14:40:00
55169755,Jun/05/2019 19:42,Felerius,803C - Maximal GCD,Python 3,Accepted,389 ms,600 KB,2019-06-05 19:42:00
58058192,Jul/31/2019 09:20,Kekmus,803C - Maximal GCD,PyPy 3,Accepted,249 ms,9300 KB,2019-07-31 09:20:00
76899761,Apr/15/2020 21:48,Mkay6122,803C - Maximal GCD,Python 3,Accepted,327 ms,300 KB,2020-04-15 21:48:00
26727912,Apr/28/2017 19:14,exqt,803C - Maximal GCD,Python 2,Accepted,187 ms,6800 KB,2017-04-28 19:14:00
27230954,May/20/2017 11:06,vjudge4,803C - Maximal GCD,GNU C++,Accepted,31 ms,0 KB,2017-05-20 11:06:00
26724284,Apr/28/2017 18:33,cthbst,803C - Maximal GCD,GNU C++14,Accepted,31 ms,1900 KB,2017-04-28 18:33:00
27230982,May/20/2017 11:07,vjudge1,803C - Maximal GCD,GNU C++,Accepted,31 ms,0 KB,2017-05-20 11:07:00
28561356,Jul/15/2017 05:45,wilson.ho,803C - Maximal GCD,GNU C++14,Accepted,31 ms,1900 KB,2017-07-15 05:45:00
26733424,Apr/28/2017 21:38,desik,803C - Maximal GCD,Python 3,Accepted,530 ms,5600 KB,2017-04-28 21:38:00
