25258203,Mar/05/2017 17:16,jl0x61,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-03-05 17:16:00
53122838,Apr/22/2019 15:18,komando1004123,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,561 ms,15800 KB,2019-04-22 15:18:00
55563425,Jun/14/2019 16:57,bugdog,782C - Andryusha and Colored Balloons,GNU C++17,Accepted,576 ms,16600 KB,2019-06-14 16:57:00
75746955,Apr/07/2020 16:11,vjudge2,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,156 ms,18800 KB,2020-04-07 16:11:00
25252535,Mar/05/2017 16:34,TianyiChen,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,18400 KB,2017-03-05 16:34:00
25255134,Mar/05/2017 16:52,codebie,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,202 ms,20800 KB,2017-03-05 16:52:00
25297653,Mar/06/2017 19:42,bluefi,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,280 ms,49000 KB,2017-03-06 19:42:00
58996804,Aug/18/2019 14:46,vjudge4,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,155 ms,16400 KB,2019-08-18 14:46:00
51761076,Mar/23/2019 16:48,gsr007,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,576 ms,15800 KB,2019-03-23 16:48:00
25339994,Mar/08/2017 14:37,shukla.gauravshukla2,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,187 ms,20800 KB,2017-03-08 14:37:00
26192735,Apr/07/2017 15:30,bhanudada,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-04-07 15:30:00
30858564,Sep/30/2017 11:00,shivanand217,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,171 ms,15800 KB,2017-09-30 11:00:00
47521472,Dec/26/2018 16:19,jaaguptamme,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,140 ms,18800 KB,2018-12-26 16:19:00
26345293,Apr/13/2017 21:02,div24ever,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,202 ms,20800 KB,2017-04-13 21:02:00
61350142,Sep/27/2019 10:38,vjudge5,781A - Andryusha and Colored Balloons,GNU C++17,Accepted,171 ms,25200 KB,2019-09-27 10:38:00
25251297,Mar/05/2017 16:26,heyshb,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-03-05 16:26:00
25257755,Mar/05/2017 17:12,loi_sys,782C - Andryusha and Colored Balloons,GNU C++,Accepted,234 ms,20800 KB,2017-03-05 17:12:00
25407760,Mar/11/2017 17:08,Zz7,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,733 ms,20800 KB,2017-03-11 17:08:00
55679828,Jun/17/2019 15:27,ccsu_OerU,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,608 ms,15800 KB,2019-06-17 15:27:00
59117612,Aug/20/2019 05:45,vjudge3,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,623 ms,18900 KB,2019-08-20 05:45:00
25260266,Mar/05/2017 17:32,yangjun2,782C - Andryusha and Colored Balloons,GNU C++,Accepted,421 ms,20800 KB,2017-03-05 17:32:00
74638294,Mar/28/2020 15:13,amity4932,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,577 ms,18900 KB,2020-03-28 15:13:00
25429108,Mar/12/2017 12:14,hellmakis2,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,17600 KB,2017-03-12 12:14:00
25680466,Mar/21/2017 08:20,mlz000,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,826 ms,20800 KB,2017-03-21 08:20:00
25535187,Mar/16/2017 02:34,Wil12Fred#,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,624 ms,20800 KB,2017-03-16 02:34:00
26701434,Apr/27/2017 15:06,Mohinem,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,20800 KB,2017-04-27 15:06:00
25252921,Mar/05/2017 16:36,644262163,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,202 ms,20800 KB,2017-03-05 16:36:00
26226473,Apr/08/2017 23:52,pranaykumar1,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,764 ms,17700 KB,2017-04-08 23:52:00
25248682,Mar/05/2017 16:13,Sakura,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,20800 KB,2017-03-05 16:13:00
27714059,Jun/11/2017 06:11,Gabbar,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,670 ms,46300 KB,2017-06-11 06:11:00
53735256,May/04/2019 12:11,ArshiaDadras,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,577 ms,18900 KB,2019-05-04 12:11:00
26074938,Apr/02/2017 13:03,AMnu,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,170 ms,20800 KB,2017-04-02 13:03:00
39701387,Jun/27/2018 15:30,Nodir_Bobiev,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,249 ms,18800 KB,2018-06-27 15:30:00
25323330,Mar/07/2017 17:42,agarajaev,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,858 ms,21000 KB,2017-03-07 17:42:00
30858618,Sep/30/2017 11:02,shivanand217,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,15800 KB,2017-09-30 11:02:00
67448392,Dec/23/2019 04:11,run_time_terror,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,561 ms,18900 KB,2019-12-23 04:11:00
25248596,Mar/05/2017 16:13,TLKing,781A - Andryusha and Colored Balloons,GNU C++11,Accepted,186 ms,17700 KB,2017-03-05 16:13:00
