2271467,Sep/30/2012 19:53,PTNK221215,140C - New Year Snowmen,GNU C++,Accepted,203 ms,900 KB,2012-09-30 19:53:00
20037228,Aug/22/2016 04:52,koistudy.net#,140C - New Year Snowmen,GNU C++,Accepted,92 ms,2700 KB,2016-08-22 04:52:00
1013342,Jan/05/2012 20:09,okuzn,140C - New Year Snowmen,GNU C++,Accepted,300 ms,5000 KB,2012-01-05 20:09:00
6268412,Apr/06/2014 09:40,gonglinyuan,140C - New Year Snowmen,GNU C++,Accepted,92 ms,2500 KB,2014-04-06 09:40:00
1045822,Jan/15/2012 03:15,Archon.JK,140C - New Year Snowmen,GNU C++0x,Accepted,90 ms,2200 KB,2012-01-15 03:15:00
14182108,Nov/10/2015 12:15,130705009,140C - New Year Snowmen,GNU C++,Accepted,654 ms,1000 KB,2015-11-10 12:15:00
27613527,Jun/06/2017 15:29,vjudge1,140C - New Year Snowmen,GNU C++14,Accepted,468 ms,4200 KB,2017-06-06 15:29:00
77693049,Apr/22/2020 23:18,Anish1712,140C - New Year Snowmen,GNU C++17,Accepted,124 ms,800 KB,2020-04-22 23:18:00
12286377,Jul/31/2015 07:54,bluemmb,140C - New Year Snowmen,GNU C++11,Accepted,374 ms,4200 KB,2015-07-31 07:54:00
15436338,Jan/19/2016 10:12,bnuvjudge2,140C - New Year Snowmen,GNU C++,Accepted,122 ms,1600 KB,2016-01-19 10:12:00
29865229,Aug/29/2017 15:04,KillerBeer,140C - New Year Snowmen,GNU C++14,Accepted,498 ms,6600 KB,2017-08-29 15:04:00
1707021,May/21/2012 07:39,vjudge5,140C - New Year Snowmen,GNU C++,Accepted,110 ms,2200 KB,2012-05-21 07:39:00
24564159,Feb/10/2017 10:06,vjudge4,140C - New Year Snowmen,GNU C++,Accepted,218 ms,8500 KB,2017-02-10 10:06:00
51618056,Mar/21/2019 16:13,igba,140C - New Year Snowmen,GNU C++17,Accepted,124 ms,800 KB,2019-03-21 16:13:00
65608773,Nov/24/2019 01:58,Jerry2001,140C - New Year Snowmen,GNU C++14,Accepted,186 ms,1900 KB,2019-11-24 01:58:00
1707020,May/21/2012 07:39,vjudge2,140C - New Year Snowmen,GNU C++,Accepted,110 ms,2200 KB,2012-05-21 07:39:00
1707026,May/21/2012 07:45,vjudge3,140C - New Year Snowmen,GNU C++,Accepted,110 ms,2200 KB,2012-05-21 07:45:00
24564169,Feb/10/2017 10:07,Waj,140C - New Year Snowmen,GNU C++14,Accepted,218 ms,8400 KB,2017-02-10 10:07:00
29183444,Aug/04/2017 07:36,KillerBeer,140C - New Year Snowmen,GNU C++14,Accepted,530 ms,8400 KB,2017-08-04 07:36:00
64205317,Nov/04/2019 15:42,Itst,140C - New Year Snowmen,GNU C++14,Accepted,652 ms,6000 KB,2019-11-04 15:42:00
12348939,Aug/05/2015 12:11,yongwhan,140C - New Year Snowmen,GNU C++,Accepted,778 ms,5600 KB,2015-08-05 12:11:00
1014075,Jan/06/2012 06:15,nealzane,140C - New Year Snowmen,Python 2,Accepted,920 ms,9600 KB,2012-01-06 06:15:00
1003228,Jan/04/2012 19:48,mihail,140C - New Year Snowmen,Python 2,Accepted,1130 ms,16800 KB,2012-01-04 19:48:00
15436317,Jan/19/2016 10:10,talker,140C - New Year Snowmen,GNU C++,Accepted,122 ms,1600 KB,2016-01-19 10:10:00
21696437,Oct/23/2016 04:42,vjudge4,140C - New Year Snowmen,GNU C++,Accepted,654 ms,6800 KB,2016-10-23 04:42:00
23489755,Jan/01/2017 23:13,Mjgonzales,140C - New Year Snowmen,GNU C++14,Accepted,216 ms,8200 KB,2017-01-01 23:13:00
64767624,Nov/13/2019 00:37,faemvss,140C - New Year Snowmen,GNU C++17,Accepted,124 ms,4700 KB,2019-11-13 00:37:00
15436435,Jan/19/2016 10:22,talker,140C - New Year Snowmen,GNU C++,Accepted,122 ms,1600 KB,2016-01-19 10:22:00
21696407,Oct/23/2016 04:37,hao5764,140C - New Year Snowmen,GNU C++11,Accepted,686 ms,6800 KB,2016-10-23 04:37:00
