11559834,Jun/13/2015 00:30,SerVasilich,551C - GukiZ hates Boxes,GNU C++11,Accepted,124 ms,1000 KB,2015-06-13 00:30:00
11805550,Jun/27/2015 19:46,hardiknegi#,551C - GukiZ hates Boxes,GNU C,Accepted,93 ms,1600 KB,2015-06-27 19:46:00
59228322,Aug/21/2019 17:31,vjudge1,551C - GukiZ hates Boxes,GNU C++14,Accepted,77 ms,800 KB,2019-08-21 17:31:00
11605453,Jun/16/2015 13:51,FizzyDavid,551C - GukiZ hates Boxes,GNU C++11,Accepted,140 ms,400 KB,2015-06-16 13:51:00
40214587,Jul/12/2018 04:14,vjudge2,551C - GukiZ hates Boxes,GNU C++,Accepted,139 ms,1600 KB,2018-07-12 04:14:00
71926162,Feb/26/2020 19:15,vjudge3,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,800 KB,2020-02-26 19:15:00
43084316,Sep/19/2018 18:19,felmid,551C - GukiZ hates Boxes,GNU C++17,Accepted,156 ms,600 KB,2018-09-19 18:19:00
20451276,Sep/08/2016 08:05,zhan8855,551C - GukiZ hates Boxes,GNU C++,Accepted,93 ms,800 KB,2016-09-08 08:05:00
27198082,May/18/2017 16:53,FLYSKY,551C - GukiZ hates Boxes,GNU C++14,Accepted,77 ms,1200 KB,2017-05-18 16:53:00
17165113,Apr/05/2016 03:45,I_love_Captain_America,551C - GukiZ hates Boxes,GNU C++11,Accepted,280 ms,3700 KB,2016-04-05 03:45:00
11566577,Jun/13/2015 13:34,igdor99,551C - GukiZ hates Boxes,FPC,Accepted,171 ms,1700 KB,2015-06-13 13:34:00
56456043,Jul/03/2019 06:55,vjudge4,551C - GukiZ hates Boxes,MS C++,Accepted,156 ms,400 KB,2019-07-03 06:55:00
11887523,Jul/01/2015 23:26,ITDOI,551C - GukiZ hates Boxes,GNU C++11,Accepted,124 ms,1000 KB,2015-07-01 23:26:00
22661577,Dec/02/2016 19:34,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,800 KB,2016-12-02 19:34:00
40215653,Jul/12/2018 05:12,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,311 ms,1600 KB,2018-07-12 05:12:00
40214405,Jul/12/2018 04:03,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,800 KB,2018-07-12 04:03:00
61850090,Oct/04/2019 15:27,zengpeichen,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,600 KB,2019-10-04 15:27:00
15765336,Feb/03/2016 12:32,vjudge2,551C - GukiZ hates Boxes,GNU C++,Accepted,312 ms,1600 KB,2016-02-03 12:32:00
17410986,Apr/20/2016 22:54,thabetx,551C - GukiZ hates Boxes,GNU C++11,Accepted,296 ms,3100 KB,2016-04-20 22:54:00
68962547,Jan/17/2020 05:22,vjudge3,551C - GukiZ hates Boxes,MS C++,Accepted,77 ms,800 KB,2020-01-17 05:22:00
40030955,Jul/06/2018 16:06,mellicard,551C - GukiZ hates Boxes,GNU C++14,Accepted,265 ms,800 KB,2018-07-06 16:06:00
43648554,Oct/01/2018 17:43,liyifeng,551C - GukiZ hates Boxes,GNU C++14,Accepted,93 ms,800 KB,2018-10-01 17:43:00
43648579,Oct/01/2018 17:43,liyifeng,551C - GukiZ hates Boxes,GNU C++11,Accepted,109 ms,800 KB,2018-10-01 17:43:00
11608610,Jun/16/2015 17:54,Glaceon08,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,600 KB,2015-06-16 17:54:00
56456010,Jul/03/2019 06:54,vjudge2,551C - GukiZ hates Boxes,MS C++,Accepted,124 ms,400 KB,2019-07-03 06:54:00
40398712,Jul/16/2018 09:37,vjudge4,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,600 KB,2018-07-16 09:37:00
