62872916,Oct/18/2019 17:21,yogeshjdeshmukh,225C - Barcode,GNU C++11,Accepted,780 ms,1000 KB,2019-10-18 17:21:00
3138973,Feb/17/2013 14:15,Chen_ChaoRui,225C - Barcode,GNU C++,Accepted,218 ms,1000 KB,2013-02-17 14:15:00
14126019,Nov/07/2015 17:51,130705009,225C - Barcode,GNU C++,Accepted,842 ms,1000 KB,2015-11-07 17:51:00
15444226,Jan/20/2016 00:13,NWO,225C - Barcode,GNU C++,Accepted,998 ms,1000 KB,2016-01-20 00:13:00
31882388,Oct/30/2017 09:18,sadatarefinn,225C - Barcode,GNU C++14,Accepted,498 ms,1000 KB,2017-10-30 09:18:00
33977126,Jan/07/2018 09:14,psdudeman39,225C - Barcode,GNU C++14,Accepted,404 ms,2900 KB,2018-01-07 09:14:00
66996622,Dec/16/2019 05:17,practiceC,225C - Barcode,GNU C++14,Accepted,404 ms,1000 KB,2019-12-16 05:17:00
16349940,Feb/26/2016 18:58,thabetx,225C - Barcode,GNU C++11,Accepted,936 ms,0 KB,2016-02-26 18:58:00
39941656,Jul/04/2018 06:52,ishita_3110,225C - Barcode,GNU C++14,Accepted,404 ms,1000 KB,2018-07-04 06:52:00
65235739,Nov/17/2019 10:08,hot_guy,225C - Barcode,GNU C++17,Accepted,404 ms,1000 KB,2019-11-17 10:08:00
41282519,Aug/06/2018 20:24,amit_fallen,225C - Barcode,GNU C++14,Accepted,436 ms,1000 KB,2018-08-06 20:24:00
64497358,Nov/08/2019 04:13,Alex_Wei,225C - Barcode,GNU C++11,Accepted,778 ms,1000 KB,2019-11-08 04:13:00
16329786,Feb/25/2016 15:09,ITDOI,225C - Barcode,GNU C++11,Accepted,62 ms,0 KB,2016-02-25 15:09:00
19685496,Aug/07/2016 14:12,vjudge4,225C - Barcode,GNU C++,Accepted,1058 ms,3000 KB,2016-08-07 14:12:00
37638954,Apr/26/2018 17:02,vjudge4,225C - Barcode,GNU C++,Accepted,372 ms,5500 KB,2018-04-26 17:02:00
37665031,Apr/27/2018 18:00,vjudge2,225C - Barcode,GNU C++,Accepted,372 ms,5500 KB,2018-04-27 18:00:00
39679229,Jun/26/2018 18:10,JinTianHao,225C - Barcode,GNU C++14,Accepted,436 ms,0 KB,2018-06-26 18:10:00
74879330,Mar/31/2020 05:02,pipima,225C - Barcode,GNU C++14,Accepted,434 ms,100 KB,2020-03-31 05:02:00
2215843,Sep/19/2012 20:33,* Rotsor,225C - Barcode,Haskell,Accepted,1125 ms,109700 KB,2012-09-19 20:33:00
49662420,Feb/09/2019 16:02,deadmans,225C - Barcode,GNU C++17,Accepted,404 ms,300 KB,2019-02-09 16:02:00
53263309,Apr/25/2019 01:13,hulkmaniac99,225C - Barcode,GNU C++17,Accepted,404 ms,0 KB,2019-04-25 01:13:00
64257075,Nov/04/2019 18:21,mj101,225C - Barcode,GNU C++11,Accepted,92 ms,0 KB,2019-11-04 18:21:00
40506093,Jul/18/2018 11:27,vikas_404,225C - Barcode,GNU C++14,Accepted,434 ms,0 KB,2018-07-18 11:27:00
40649615,Jul/22/2018 22:36,TMHMR,225C - Barcode,GNU C++14,Accepted,434 ms,0 KB,2018-07-22 22:36:00
53282005,Apr/25/2019 15:22,jaaguptamme,225C - Barcode,GNU C++11,Accepted,778 ms,0 KB,2019-04-25 15:22:00
39679173,Jun/26/2018 18:07,JinTianHao,225C - Barcode,GNU C++14,Accepted,404 ms,0 KB,2018-06-26 18:07:00
5091422,Nov/13/2013 21:19,yugle7,225C - Barcode,Python 3,Accepted,498 ms,5500 KB,2013-11-13 21:19:00
29311916,Aug/09/2017 21:29,Sahashoo,225C - Barcode,GNU C++14,Accepted,498 ms,1900 KB,2017-08-09 21:29:00
29596965,Aug/19/2017 14:37,Qumeric,225C - Barcode,Python 3,Accepted,498 ms,5800 KB,2017-08-19 14:37:00
37428450,Apr/18/2018 10:59,nowyyz,225C - Barcode,Python 3,Accepted,530 ms,12600 KB,2018-04-18 10:59:00
39865159,Jul/02/2018 13:40,wrong_lemma,225C - Barcode,Python 3,Accepted,590 ms,5700 KB,2018-07-02 13:40:00
49967644,Feb/16/2019 01:07,WorkHard42,225C - Barcode,GNU C++17,Accepted,374 ms,0 KB,2019-02-16 01:07:00
5091437,Nov/13/2013 21:21,yugle7,225C - Barcode,Python 2,Accepted,498 ms,5400 KB,2013-11-13 21:21:00
18119040,May/27/2016 16:36,kshitij1114,225C - Barcode,GNU C++,Accepted,62 ms,2200 KB,2016-05-27 16:36:00
57610091,Jul/23/2019 23:12,MajAK,225C - Barcode,PyPy 3,Accepted,560 ms,5500 KB,2019-07-23 23:12:00
13129146,Sep/21/2015 18:45,R.A.X,225C - Barcode,GNU C++11,Accepted,842 ms,0 KB,2015-09-21 18:45:00
43659630,Oct/01/2018 21:45,nethish,225C - Barcode,GNU C++17,Accepted,434 ms,0 KB,2018-10-01 21:45:00
37633176,Apr/26/2018 14:15,Myrcella,225C - Barcode,GNU C++11,Accepted,872 ms,3500 KB,2018-04-26 14:15:00
39643682,Jun/25/2018 11:46,XianHZ,225C - Barcode,GNU C++11,Accepted,872 ms,1000 KB,2018-06-25 11:46:00
41544341,Aug/13/2018 06:01,vjudge1,225C - Barcode,GNU C++,Accepted,590 ms,0 KB,2018-08-13 06:01:00
16607240,Mar/08/2016 22:11,AymanGamal,225C - Barcode,GNU C++,Accepted,842 ms,1000 KB,2016-03-08 22:11:00
49825226,Feb/12/2019 14:11,luogu_bot1,225C - Barcode,GNU C++11,Accepted,436 ms,0 KB,2019-02-12 14:11:00
