37117091,Apr/09/2018 12:12,Darma,957D - Riverside Curio,GNU C++11,Accepted,46 ms,4200 KB,2018-04-09 12:12:00
36591183,Mar/24/2018 19:41,Perfectxx,957D - Riverside Curio,GNU C++11,Accepted,46 ms,4200 KB,2018-03-24 19:41:00
36629292,Mar/26/2018 02:20,VOIE,957D - Riverside Curio,GNU C++11,Accepted,31 ms,4200 KB,2018-03-26 02:20:00
37285873,Apr/13/2018 16:19,SeventeenYears,956C - Riverside Curio,GNU C++,Accepted,46 ms,4200 KB,2018-04-13 16:19:00
36597202,Mar/24/2018 20:27,Amoo_Safar,957D - Riverside Curio,Python 3,Accepted,218 ms,14100 KB,2018-03-24 20:27:00
36629648,Mar/26/2018 03:12,moonzero,957D - Riverside Curio,GNU C++,Accepted,46 ms,6600 KB,2018-03-26 03:12:00
36680520,Mar/28/2018 02:00,shaanknight,957D - Riverside Curio,GNU C++14,Accepted,140 ms,5100 KB,2018-03-28 02:00:00
36617109,Mar/25/2018 16:01,alphaWizard,924C - Riverside Curio,GNU C++14,Accepted,140 ms,4800 KB,2018-03-25 16:01:00
36584520,Mar/24/2018 18:58,.o.,956C - Riverside Curio,Kotlin,Accepted,280 ms,26400 KB,2018-03-24 18:58:00
36587197,Mar/24/2018 19:10,shanquan2,956C - Riverside Curio,GNU C++11,Accepted,46 ms,4200 KB,2018-03-24 19:10:00
36684631,Mar/28/2018 09:39,valorwxp,956C - Riverside Curio,GNU C++,Accepted,31 ms,4300 KB,2018-03-28 09:39:00
36769871,Mar/31/2018 12:51,sl0th,957D - Riverside Curio,Haskell,Accepted,514 ms,92200 KB,2018-03-31 12:51:00
36584742,Mar/24/2018 18:59,junie,956C - Riverside Curio,GNU C++14,Accepted,156 ms,4100 KB,2018-03-24 18:59:00
56874252,Jul/12/2019 10:41,vjudge2,957D - Riverside Curio,GNU C++11,Accepted,171 ms,1600 KB,2019-07-12 10:41:00
70338808,Feb/05/2020 10:54,vjudge2,957D - Riverside Curio,GNU C++11,Accepted,171 ms,800 KB,2020-02-05 10:54:00
36594751,Mar/24/2018 20:08,aymanrasheed7,957D - Riverside Curio,GNU C++,Accepted,46 ms,5000 KB,2018-03-24 20:08:00
36872097,Apr/02/2018 10:45,freshman0213,957D - Riverside Curio,GNU C++,Accepted,46 ms,4000 KB,2018-04-02 10:45:00
56876758,Jul/12/2019 11:36,vjudge4,957D - Riverside Curio,GNU C++11,Accepted,171 ms,1600 KB,2019-07-12 11:36:00
36612009,Mar/25/2018 12:52,smtcoder,956C - Riverside Curio,GNU C++14,Accepted,46 ms,6600 KB,2018-03-25 12:52:00
36669340,Mar/27/2018 16:33,562225807,957D - Riverside Curio,GNU C++14,Accepted,46 ms,5100 KB,2018-03-27 16:33:00
40650171,Jul/22/2018 23:21,belkka,924C - Riverside Curio,Python 3,Accepted,218 ms,7200 KB,2018-07-22 23:21:00
41756485,Aug/18/2018 15:19,CHNJZ#,924C - Riverside Curio,GNU C++14,Accepted,46 ms,800 KB,2018-08-18 15:19:00
36584812,Mar/24/2018 18:59,JOHNKRAM,956C - Riverside Curio,GNU C++,Accepted,46 ms,4200 KB,2018-03-24 18:59:00
36590735,Mar/24/2018 19:36,wdyd2004,957D - Riverside Curio,GNU C++11,Accepted,46 ms,4000 KB,2018-03-24 19:36:00
36609493,Mar/25/2018 11:14,wzywzy,957D - Riverside Curio,GNU C++11,Accepted,31 ms,4200 KB,2018-03-25 11:14:00
36615920,Mar/25/2018 15:18,mnkagr123,957D - Riverside Curio,GNU C++14,Accepted,155 ms,4800 KB,2018-03-25 15:18:00
36599895,Mar/24/2018 20:46,Ymnik,957D - Riverside Curio,GNU C++14,Accepted,156 ms,4800 KB,2018-03-24 20:46:00
36886570,Apr/02/2018 21:29,Ckasper,957D - Riverside Curio,GNU C++14,Accepted,46 ms,3700 KB,2018-04-02 21:29:00
56878076,Jul/12/2019 12:07,vjudge3,957D - Riverside Curio,GNU C++11,Accepted,46 ms,3100 KB,2019-07-12 12:07:00
36669378,Mar/27/2018 16:34,562225807,957D - Riverside Curio,GNU C++14,Accepted,46 ms,4300 KB,2018-03-27 16:34:00
37142687,Apr/10/2018 14:35,farazradfar,924C - Riverside Curio,Python 3,Accepted,296 ms,12700 KB,2018-04-10 14:35:00
39219123,Jun/13/2018 17:24,VasileOctavian,956C - Riverside Curio,GNU C++14,Accepted,140 ms,800 KB,2018-06-13 17:24:00
36660249,Mar/27/2018 10:00,Bismarck,957D - Riverside Curio,GNU C++11,Accepted,31 ms,4100 KB,2018-03-27 10:00:00
37300582,Apr/14/2018 04:46,fasttype,957D - Riverside Curio,GNU C++17,Accepted,140 ms,4100 KB,2018-04-14 04:46:00
56180914,Jun/28/2019 02:26,PandaIsTheBest,957D - Riverside Curio,GNU C++17,Accepted,155 ms,1600 KB,2019-06-28 02:26:00
56876986,Jul/12/2019 11:42,vjudge5,957D - Riverside Curio,GNU C++11,Accepted,46 ms,800 KB,2019-07-12 11:42:00
69814506,Jan/30/2020 08:40,pzc2004,924C - Riverside Curio,GNU C++17,Accepted,46 ms,800 KB,2020-01-30 08:40:00
36707883,Mar/29/2018 05:41,DOUB7E,957D - Riverside Curio,GNU C++17,Accepted,46 ms,4300 KB,2018-03-29 05:41:00
39786359,Jun/30/2018 05:53,Potentate_Lover,957D - Riverside Curio,GNU C++11,Accepted,46 ms,3200 KB,2018-06-30 05:53:00
42917200,Sep/16/2018 13:15,naruto,924C - Riverside Curio,GNU C++17,Accepted,61 ms,3100 KB,2018-09-16 13:15:00
36589403,Mar/24/2018 19:23,ShinriiTin,956C - Riverside Curio,GNU C++11,Accepted,46 ms,4200 KB,2018-03-24 19:23:00
36591580,Mar/24/2018 19:45,wwwxxxddd,956C - Riverside Curio,GNU C++11,Accepted,46 ms,4200 KB,2018-03-24 19:45:00
36762228,Mar/31/2018 06:11,wcwac#,957D - Riverside Curio,GNU C++11,Accepted,31 ms,3800 KB,2018-03-31 06:11:00
36604726,Mar/25/2018 00:23,prasunn,957D - Riverside Curio,GNU C++14,Accepted,140 ms,4800 KB,2018-03-25 00:23:00
44705920,Oct/22/2018 19:47,"ponisEsParaPunterosβ: Wil12Fred, smml1996#",956C - Riverside Curio,GNU C++11,Accepted,171 ms,800 KB,2018-10-22 19:47:00
36587740,Mar/24/2018 19:13,liji,956C - Riverside Curio,GNU C++,Accepted,46 ms,5800 KB,2018-03-24 19:13:00
36599204,Mar/24/2018 20:42,Nijigasaki_MaedaKaori,957D - Riverside Curio,GNU C++,Accepted,46 ms,4000 KB,2018-03-24 20:42:00
36766918,Mar/31/2018 10:42,NINGLONG,956C - Riverside Curio,GNU C++11,Accepted,46 ms,4600 KB,2018-03-31 10:42:00
37143875,Apr/10/2018 15:21,"Guan - red sun: Bartholomew, zhongzero#",924C - Riverside Curio,GNU C++14,Accepted,46 ms,4100 KB,2018-04-10 15:21:00
56876987,Jul/12/2019 11:42,vjudge1,957D - Riverside Curio,GNU C++11,Accepted,171 ms,15700 KB,2019-07-12 11:42:00
36592665,Mar/24/2018 19:53,PazaMaza,957D - Riverside Curio,FPC,Accepted,31 ms,10900 KB,2018-03-24 19:53:00
36611541,Mar/25/2018 12:34,rd29k,957D - Riverside Curio,GNU C++,Accepted,202 ms,5000 KB,2018-03-25 12:34:00
56874689,Jul/12/2019 10:51,vjudge1,957D - Riverside Curio,GNU C++14,Accepted,124 ms,400 KB,2019-07-12 10:51:00
36582138,Mar/24/2018 18:50,zyb,956C - Riverside Curio,GNU C++11,Accepted,46 ms,4200 KB,2018-03-24 18:50:00
36605061,Mar/25/2018 00:53,-_-_-,957D - Riverside Curio,GNU C++14,Accepted,46 ms,4800 KB,2018-03-25 00:53:00
