31429180,Oct/16/2017 21:25,jtnydv25,875C - National Property,GNU C++14,Accepted,92 ms,15000 KB,2017-10-16 21:25:00
31406098,Oct/16/2017 15:22,nanicode,876E - National Property,GNU C++11,Accepted,78 ms,19200 KB,2017-10-16 15:22:00
31438484,Oct/17/2017 07:50,AtlantisLove,876E - National Property,GNU C++11,Accepted,46 ms,8900 KB,2017-10-17 07:50:00
31403483,Oct/16/2017 15:05,zhouyuyang,875C - National Property,GNU C++14,Accepted,78 ms,8700 KB,2017-10-16 15:05:00
31416712,Oct/16/2017 18:37,NiroBC,875C - National Property,GNU C++14,Accepted,93 ms,9100 KB,2017-10-16 18:37:00
31402636,Oct/16/2017 15:00,aufeas,875C - National Property,GNU C++,Accepted,62 ms,4600 KB,2017-10-16 15:00:00
31434700,Oct/17/2017 02:44,zx2003,875C - National Property,GNU C++,Accepted,78 ms,12200 KB,2017-10-17 02:44:00
31901350,Oct/30/2017 20:33,Momentum,876E - National Property,GNU C++11,Accepted,93 ms,12200 KB,2017-10-30 20:33:00
31406546,Oct/16/2017 15:25,ErdemKirez,875C - National Property,GNU C++14,Accepted,93 ms,11400 KB,2017-10-16 15:25:00
31448278,Oct/17/2017 15:33,Moonlit_Rose,875C - National Property,GNU C++14,Accepted,62 ms,10700 KB,2017-10-17 15:33:00
31415353,Oct/16/2017 17:52,0MRailgun,876E - National Property,GNU C++14,Accepted,78 ms,7200 KB,2017-10-16 17:52:00
31427096,Oct/16/2017 20:08,OMRailgun,876E - National Property,GNU C++14,Accepted,77 ms,7900 KB,2017-10-16 20:08:00
31436667,Oct/17/2017 05:30,Baigker,875C - National Property,GNU C++14,Accepted,78 ms,9200 KB,2017-10-17 05:30:00
31513904,Oct/19/2017 19:29,zadrga,875C - National Property,GNU C++11,Accepted,77 ms,11800 KB,2017-10-19 19:29:00
31426640,Oct/16/2017 19:53,chogba,875C - National Property,GNU C++14,Accepted,78 ms,12800 KB,2017-10-16 19:53:00
47971830,Jan/05/2019 18:14,ILoveEva,875C - National Property,GNU C++11,Accepted,78 ms,10800 KB,2019-01-05 18:14:00
31434917,Oct/17/2017 03:07,zxyer,875C - National Property,GNU C++,Accepted,46 ms,7200 KB,2017-10-17 03:07:00
31703016,Oct/25/2017 11:34,jebwizoscar#,875C - National Property,GNU C++14,Accepted,93 ms,12700 KB,2017-10-25 11:34:00
31601920,Oct/22/2017 14:27,zhaozhihao,875C - National Property,GNU C++14,Accepted,77 ms,9500 KB,2017-10-22 14:27:00
32377243,Nov/17/2017 15:03,Obsession,876E - National Property,Python 3,Accepted,904 ms,23100 KB,2017-11-17 15:03:00
31446875,Oct/17/2017 14:46,FircaBarca,875C - National Property,GNU C++11,Accepted,62 ms,5600 KB,2017-10-17 14:46:00
31436067,Oct/17/2017 04:38,thchuan2001,876E - National Property,GNU C++11,Accepted,62 ms,12700 KB,2017-10-17 04:38:00
37111374,Apr/09/2018 03:40,jangjie,875C - National Property,GNU C++,Accepted,78 ms,11000 KB,2018-04-09 03:40:00
31400881,Oct/16/2017 14:51,consecutivelimit,875C - National Property,GNU C++14,Accepted,77 ms,14900 KB,2017-10-16 14:51:00
31472383,Oct/18/2017 10:40,sincerity,875C - National Property,GNU C++14,Accepted,77 ms,12800 KB,2017-10-18 10:40:00
31401727,Oct/16/2017 14:56,function348,875C - National Property,GNU C++,Accepted,62 ms,11800 KB,2017-10-16 14:56:00
50732444,Mar/03/2019 14:29,vjudge5,876E - National Property,MS C++,Accepted,78 ms,4900 KB,2019-03-03 14:29:00
31406345,Oct/16/2017 15:24,Haghani,875C - National Property,GNU C++,Accepted,187 ms,8700 KB,2017-10-16 15:24:00
47844168,Jan/02/2019 16:47,rawatds,875C - National Property,GNU C++14,Accepted,62 ms,11000 KB,2019-01-02 16:47:00
50718271,Mar/03/2019 11:08,vjudge3,876E - National Property,MS C++,Accepted,78 ms,4900 KB,2019-03-03 11:08:00
31436769,Oct/17/2017 05:39,bharathg,876E - National Property,GNU C++14,Accepted,78 ms,12100 KB,2017-10-17 05:39:00
48786265,Jan/23/2019 12:06,Sherek,875C - National Property,GNU C++11,Accepted,62 ms,9800 KB,2019-01-23 12:06:00
33946491,Jan/05/2018 20:22,Kaitokid,876E - National Property,GNU C++11,Accepted,202 ms,10900 KB,2018-01-05 20:22:00
31447339,Oct/17/2017 15:01,underkarma,875C - National Property,GNU C++11,Accepted,93 ms,9400 KB,2017-10-17 15:01:00
31447355,Oct/17/2017 15:02,underkarma,875C - National Property,GNU C++11,Accepted,93 ms,9400 KB,2017-10-17 15:02:00
62360802,Oct/11/2019 15:25,whyamievenhere,875C - National Property,GNU C++14,Accepted,62 ms,8500 KB,2019-10-11 15:25:00
61784014,Oct/03/2019 16:59,tranquanghuy,875C - National Property,GNU C++17,Accepted,62 ms,8500 KB,2019-10-03 16:59:00
31443123,Oct/17/2017 12:19,denissd,876E - National Property,GNU C++14,Accepted,93 ms,16400 KB,2017-10-17 12:19:00
31416582,Oct/16/2017 18:33,swust_20131737,875C - National Property,GNU C++14,Accepted,108 ms,9200 KB,2017-10-16 18:33:00
65686931,Nov/25/2019 03:52,ysy20021208,875C - National Property,GNU C++11,Accepted,62 ms,11800 KB,2019-11-25 03:52:00
31407015,Oct/16/2017 15:28,imone,876E - National Property,GNU C++,Accepted,62 ms,8900 KB,2017-10-16 15:28:00
31401567,Oct/16/2017 14:55,alpgc,875C - National Property,GNU C++14,Accepted,78 ms,10600 KB,2017-10-16 14:55:00
31460674,Oct/17/2017 23:28,Uteza,876E - National Property,GNU C++14,Accepted,62 ms,8700 KB,2017-10-17 23:28:00
31521914,Oct/20/2017 05:25,PengsenMao,875C - National Property,GNU C++14,Accepted,78 ms,9100 KB,2017-10-20 05:25:00
31610792,Oct/22/2017 20:53,Darkgeass#,875C - National Property,GNU C++14,Accepted,62 ms,9400 KB,2017-10-22 20:53:00
31411056,Oct/16/2017 15:57,ugly2333,875C - National Property,GNU C++14,Accepted,78 ms,12200 KB,2017-10-16 15:57:00
32125237,Nov/07/2017 19:24,paradox,876E - National Property,GNU C++14,Accepted,77 ms,10600 KB,2017-11-07 19:24:00
31410467,Oct/16/2017 15:53,shanquan2,875C - National Property,GNU C++,Accepted,62 ms,9900 KB,2017-10-16 15:53:00
31440664,Oct/17/2017 09:41,lxy666,876E - National Property,GNU C++11,Accepted,46 ms,7600 KB,2017-10-17 09:41:00
31527844,Oct/20/2017 12:09,CookiC,875C - National Property,GNU C++11,Accepted,233 ms,13100 KB,2017-10-20 12:09:00
31414847,Oct/16/2017 17:40,xiejun,876E - National Property,GNU C++11,Accepted,62 ms,6200 KB,2017-10-16 17:40:00
31414846,Oct/16/2017 17:40,-Morass-,876E - National Property,GNU C++14,Accepted,78 ms,8000 KB,2017-10-16 17:40:00
31517500,Oct/19/2017 22:29,slava.palchikov,876E - National Property,GNU C++14,Accepted,62 ms,10400 KB,2017-10-19 22:29:00
31462242,Oct/18/2017 00:06,codelegend,875C - National Property,GNU C++11,Accepted,156 ms,14100 KB,2017-10-18 00:06:00
31485733,Oct/18/2017 18:36,sarwarkhan,876E - National Property,GNU C++11,Accepted,327 ms,11200 KB,2017-10-18 18:36:00
31472965,Oct/18/2017 11:02,dsgsjk,875C - National Property,GNU C++14,Accepted,217 ms,13400 KB,2017-10-18 11:02:00
31617102,Oct/23/2017 04:05,ImpcO,875C - National Property,GNU C++14,Accepted,78 ms,5900 KB,2017-10-23 04:05:00
32377390,Nov/17/2017 15:09,hiwang123,875C - National Property,GNU C++11,Accepted,62 ms,9400 KB,2017-11-17 15:09:00
33101436,Dec/11/2017 15:21,ArchHiraku,875C - National Property,GNU C++11,Accepted,156 ms,7500 KB,2017-12-11 15:21:00
31606397,Oct/22/2017 17:22,neeyanthkvk,875C - National Property,GNU C++14,Accepted,78 ms,11000 KB,2017-10-22 17:22:00
31410368,Oct/16/2017 15:52,alepic,876E - National Property,GNU C++11,Accepted,109 ms,9800 KB,2017-10-16 15:52:00
31438432,Oct/17/2017 07:47,AtlantisLove,876E - National Property,GNU C++11,Accepted,46 ms,7100 KB,2017-10-17 07:47:00
