16735488,Mar/16/2016 01:47,r_anshul,117C - Cycle,GNU C++11,Accepted,840 ms,98300 KB,2016-03-16 01:47:00
40105913,Jul/09/2018 11:30,An_Account,117C - Cycle,GNU C++,Accepted,686 ms,24900 KB,2018-07-09 11:30:00
9334230,Dec/31/2014 19:05,ltaha,117C - Cycle,GNU C++,Accepted,654 ms,24800 KB,2014-12-31 19:05:00
13429902,Oct/06/2015 13:12,hossain.ruetcse,117C - Cycle,GNU C++,Accepted,686 ms,24600 KB,2015-10-06 13:12:00
13403442,Oct/04/2015 17:03,vjudge2,117C - Cycle,GNU C++,Accepted,652 ms,24500 KB,2015-10-04 17:03:00
64759866,Nov/12/2019 21:36,A_L_E_X,117C - Cycle,GNU C++17,Accepted,998 ms,24700 KB,2019-11-12 21:36:00
836719,Nov/05/2011 19:31,xiaoshua,117C - Cycle,GNU C++,Accepted,660 ms,26100 KB,2011-11-05 19:31:00
23023239,Dec/16/2016 09:27,ShiviChan,117C - Cycle,GNU C++14,Accepted,746 ms,30400 KB,2016-12-16 09:27:00
13403426,Oct/04/2015 17:02,vjudge1,117C - Cycle,GNU C++,Accepted,654 ms,24500 KB,2015-10-04 17:02:00
37685937,Apr/28/2018 15:46,vjudge2,117C - Cycle,GNU C++,Accepted,840 ms,101800 KB,2018-04-28 15:46:00
720112,Sep/23/2011 22:19,yuxingdubai,117C - Cycle,GNU C++,Accepted,530 ms,26000 KB,2011-09-23 22:19:00
17218202,Apr/07/2016 22:34,sainiarpit12,117C - Cycle,GNU C++,Accepted,716 ms,26800 KB,2016-04-07 22:34:00
26116903,Apr/04/2017 11:33,khasam,117C - Cycle,GNU C++14,Accepted,716 ms,26600 KB,2017-04-04 11:33:00
64759722,Nov/12/2019 21:32,A_L_E_X,117C - Cycle,GNU C++17,Accepted,1028 ms,24700 KB,2019-11-12 21:32:00
813671,Oct/29/2011 07:05,sanzunonyasama,117C - Cycle,GNU C++,Accepted,550 ms,26100 KB,2011-10-29 07:05:00
37685787,Apr/28/2018 15:41,vjudge4,117C - Cycle,GNU C++,Accepted,746 ms,28100 KB,2018-04-28 15:41:00
950814,Dec/11/2011 07:03,thnkndblv,117C - Cycle,GNU C++,Accepted,610 ms,26100 KB,2011-12-11 07:03:00
21320678,Oct/09/2016 17:27,mybloodtop,117C - Cycle,GNU C++14,Accepted,810 ms,26600 KB,2016-10-09 17:27:00
726021,Sep/26/2011 21:12,Vlad1234,117C - Cycle,FPC,Accepted,1390 ms,99000 KB,2011-09-26 21:12:00
863716,Nov/14/2011 20:52,anto,117C - Cycle,GNU C++,Accepted,640 ms,26100 KB,2011-11-14 20:52:00
38783078,May/30/2018 21:54,AdolfoAiresSchneider,117C - Cycle,GNU C++17,Accepted,748 ms,27800 KB,2018-05-30 21:54:00
46962551,Dec/13/2018 12:12,mohnnad,117C - Cycle,GNU C++11,Accepted,468 ms,24800 KB,2018-12-13 12:12:00
724487,Sep/25/2011 22:11,Slevin,117C - Cycle,MS C++,Accepted,660 ms,26000 KB,2011-09-25 22:11:00
973509,Dec/24/2011 01:04,random.johnnyh,117C - Cycle,GNU C++,Accepted,610 ms,26100 KB,2011-12-24 01:04:00
45661675,Nov/13/2018 10:00,Reegan,117C - Cycle,GNU C++14,Accepted,560 ms,24700 KB,2018-11-13 10:00:00
51884673,Mar/27/2019 08:28,AyoAyowei,117C - Cycle,GNU C++11,Accepted,466 ms,24700 KB,2019-03-27 08:28:00
724808,Sep/26/2011 05:28,whd,117C - Cycle,GNU C++,Accepted,590 ms,26200 KB,2011-09-26 05:28:00
37685705,Apr/28/2018 15:38,vjudge1,117C - Cycle,GNU C++,Accepted,872 ms,28300 KB,2018-04-28 15:38:00
56605175,Jul/06/2019 06:58,vjudge2,117C - Cycle,GNU C++11,Accepted,590 ms,24700 KB,2019-07-06 06:58:00
