74158702,Mar/24/2020 06:28,LazyJay,4C - Registration System,PyPy 3,Accepted,3244 ms,9400 KB,2020-03-24 06:28:00
27432071,May/29/2017 19:07,i_m_sanjog,4C - Registration System,Python 2,Accepted,404 ms,900 KB,2017-05-29 19:07:00
34939020,Feb/05/2018 12:07,vjudge4,4C - Registration System,Python 3,Accepted,2494 ms,6000 KB,2018-02-05 12:07:00
30410878,Sep/17/2017 09:50,aritro01#,4C - Registration System,Python 3,Accepted,2618 ms,900 KB,2017-09-17 09:50:00
798343,Oct/27/2011 13:05,package.zaic,4C - Registration System,Ruby,Accepted,1140 ms,4200 KB,2011-10-27 13:05:00
3966341,Jun/27/2013 11:31,E478,4C - Registration System,Python 2,Accepted,281 ms,1000 KB,2013-06-27 11:31:00
73396381,Mar/16/2020 12:48,DreamerCoder,4C - Registration System,PyPy 3,Accepted,3242 ms,9400 KB,2020-03-16 12:48:00
73396421,Mar/16/2020 12:49,DreamerCoder,4C - Registration System,Python 3,Accepted,1870 ms,800 KB,2020-03-16 12:49:00
73858659,Mar/21/2020 09:46,pavankalyan_10,4C - Registration System,Python 3,Accepted,1870 ms,800 KB,2020-03-21 09:46:00
76144327,Apr/10/2020 18:21,adarshvuppala,4C - Registration System,Python 3,Accepted,1932 ms,800 KB,2020-04-10 18:21:00
31168743,Oct/09/2017 16:36,upuyuk,4C - Registration System,Python 3,Accepted,2682 ms,900 KB,2017-10-09 16:36:00
47847373,Jan/02/2019 18:32,shiksha11,4C - Registration System,Python 3,Accepted,2026 ms,500 KB,2019-01-02 18:32:00
49179791,Jan/30/2019 03:26,meghana_499,4C - Registration System,Python 3,Accepted,2026 ms,500 KB,2019-01-30 03:26:00
63197177,Oct/22/2019 22:00,vishnutheerthep,4C - Registration System,Python 3,Accepted,2120 ms,900 KB,2019-10-22 22:00:00
72979778,Mar/11/2020 22:05,_monkfromearth_,4C - Registration System,PyPy 3,Accepted,3182 ms,9400 KB,2020-03-11 22:05:00
710321,Sep/21/2011 07:19,alculquicondor,4C - Registration System,Python 2,Accepted,300 ms,5300 KB,2011-09-21 07:19:00
14243566,Nov/13/2015 22:44,mahmud2690,4C - Registration System,Perl,Accepted,248 ms,1000 KB,2015-11-13 22:44:00
44347376,Oct/15/2018 11:07,MEJlAHXOJluK,4C - Registration System,Python 3,Accepted,1994 ms,500 KB,2018-10-15 11:07:00
58943247,Aug/17/2019 10:50,ruchi_1998,4C - Registration System,Python 3,Accepted,2120 ms,900 KB,2019-08-17 10:50:00
37644079,Apr/26/2018 20:36,moon7,4C - Registration System,Python 3,Accepted,2838 ms,7400 KB,2018-04-26 20:36:00
40968203,Jul/30/2018 15:10,vjudge5,4C - Registration System,Python 3,Accepted,2774 ms,500 KB,2018-07-30 15:10:00
71588431,Feb/22/2020 08:35,stars_in_the_sky,4C - Registration System,Python 3,Accepted,1964 ms,1000 KB,2020-02-22 08:35:00
18504417,Jun/15/2016 21:31,hintpine,4C - Registration System,Python 2,Accepted,590 ms,7200 KB,2016-06-15 21:31:00
22833235,Dec/09/2016 15:31,BlueHazard_rony,4C - Registration System,Python 2,Accepted,498 ms,2600 KB,2016-12-09 15:31:00
60736324,Sep/17/2019 20:40,smiling_coder,4C - Registration System,Python 3,Accepted,2028 ms,900 KB,2019-09-17 20:40:00
61227482,Sep/24/2019 18:38,rubber_duckieOwOwO,4C - Registration System,Python 3,Accepted,2090 ms,900 KB,2019-09-24 18:38:00
74707583,Mar/29/2020 11:19,sairahul2001,4C - Registration System,Python 3,Accepted,1964 ms,800 KB,2020-03-29 11:19:00
75495016,Apr/04/2020 17:38,NEO-hacker,4C - Registration System,Python 3,Accepted,1872 ms,900 KB,2020-04-04 17:38:00
36572206,Mar/24/2018 14:19,MadCoding,4C - Registration System,Python 3,Accepted,2714 ms,7700 KB,2018-03-24 14:19:00
43545941,Sep/28/2018 22:13,vaibhavsarda,4C - Registration System,Python 3,Accepted,2868 ms,500 KB,2018-09-28 22:13:00
44745568,Oct/23/2018 19:42,SirULG,4C - Registration System,Python 3,Accepted,1996 ms,500 KB,2018-10-23 19:42:00
46190390,Nov/25/2018 07:24,Dusk_to_gold,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-11-25 07:24:00
