43053923,Sep/19/2018 04:32,vjudge2,559C - Gerald and Giant Chess,GNU C++14,Accepted,951 ms,800 KB,2018-09-19 04:32:00
59138990,Aug/20/2019 16:41,vjudge1,559C - Gerald and Giant Chess,GNU C++14,Accepted,1622 ms,1600 KB,2019-08-20 16:41:00
38341468,May/17/2018 10:55,luogu_bot2,559C - Gerald and Giant Chess,GNU C++11,Accepted,982 ms,1400 KB,2018-05-17 10:55:00
54915805,Jun/01/2019 16:44,jacky0705,559C - Gerald and Giant Chess,GNU C++11,Accepted,187 ms,3200 KB,2019-06-01 16:44:00
59137775,Aug/20/2019 16:17,vjudge1,559C - Gerald and Giant Chess,GNU C++11,Accepted,155 ms,1600 KB,2019-08-20 16:17:00
42999545,Sep/17/2018 16:19,vjudge1,559C - Gerald and Giant Chess,GNU C++17,Accepted,202 ms,3200 KB,2018-09-17 16:19:00
12207526,Jul/24/2015 05:27,XelMed,559C - Gerald and Giant Chess,PyPy 3,Accepted,1902 ms,33500 KB,2015-07-24 05:27:00
43019725,Sep/18/2018 06:27,Zxzz106,559C - Gerald and Giant Chess,GNU C++11,Accepted,233 ms,23700 KB,2018-09-18 06:27:00
59137873,Aug/20/2019 16:19,vjudge1,559C - Gerald and Giant Chess,GNU C++17,Accepted,139 ms,1600 KB,2019-08-20 16:19:00
18646510,Jun/22/2016 15:28,htnhtn,559C - Gerald and Giant Chess,GNU C++,Accepted,93 ms,4500 KB,2016-06-22 15:28:00
12569056,Aug/17/2015 05:21,vjudge1,559C - Gerald and Giant Chess,GNU C++,Accepted,280 ms,3200 KB,2015-08-17 05:21:00
59139149,Aug/20/2019 16:44,vjudge5,559C - Gerald and Giant Chess,GNU C++11,Accepted,1575 ms,1600 KB,2019-08-20 16:44:00
12568831,Aug/17/2015 04:49,vjudge2,559C - Gerald and Giant Chess,GNU C++,Accepted,296 ms,3200 KB,2015-08-17 04:49:00
37187858,Apr/11/2018 09:11,vjudge3,559C - Gerald and Giant Chess,GNU C++,Accepted,982 ms,5100 KB,2018-04-11 09:11:00
43034048,Sep/18/2018 15:56,vjudge3,559C - Gerald and Giant Chess,GNU C++11,Accepted,155 ms,3000 KB,2018-09-18 15:56:00
12568824,Aug/17/2015 04:49,nsfxlyl,559C - Gerald and Giant Chess,GNU C++,Accepted,312 ms,3200 KB,2015-08-17 04:49:00
51602169,Mar/21/2019 07:54,ravan,559C - Gerald and Giant Chess,GNU C++11,Accepted,904 ms,1600 KB,2019-03-21 07:54:00
57697989,Jul/24/2019 20:03,Jabaiy_Mysyq,559C - Gerald and Giant Chess,GNU C++11,Accepted,935 ms,1600 KB,2019-07-24 20:03:00
66945919,Dec/15/2019 12:34,lzx_zrl,559C - Gerald and Giant Chess,GNU C++11,Accepted,109 ms,3200 KB,2019-12-15 12:34:00
58713459,Aug/13/2019 16:09,vjudge1,559C - Gerald and Giant Chess,GNU C++11,Accepted,124 ms,3900 KB,2019-08-13 16:09:00
13887327,Oct/27/2015 11:46,130705009,559C - Gerald and Giant Chess,GNU C++,Accepted,249 ms,3200 KB,2015-10-27 11:46:00
58713429,Aug/13/2019 16:08,1849285087,559C - Gerald and Giant Chess,GNU C++11,Accepted,124 ms,3900 KB,2019-08-13 16:08:00
59260866,Aug/22/2019 11:33,vjudge3,560E - Gerald and Giant Chess,GNU C++11,Accepted,93 ms,3900 KB,2019-08-22 11:33:00
59138932,Aug/20/2019 16:41,vjudge5,559C - Gerald and Giant Chess,GNU C++11,Accepted,1590 ms,1600 KB,2019-08-20 16:41:00
62405023,Oct/12/2019 11:41,ZhouShang2003,559C - Gerald and Giant Chess,GNU C++11,Accepted,93 ms,9400 KB,2019-10-12 11:41:00
