50931148,Mar/07/2019 17:00,Hagrasss,424C - Magic Formulas,GNU C++11,Accepted,186 ms,3900 KB,2019-03-07 17:00:00
6503258,Apr/29/2014 07:35,victsou,424C - Magic Formulas,Python 2,Accepted,1497 ms,64300 KB,2014-04-29 07:35:00
30942738,Oct/02/2017 15:44,Fady_Ahdy8,424C - Magic Formulas,GNU C++,Accepted,202 ms,3900 KB,2017-10-02 15:44:00
67679783,Dec/27/2019 08:36,anujpra,424C - Magic Formulas,GNU C++14,Accepted,265 ms,3900 KB,2019-12-27 08:36:00
6554453,May/05/2014 15:09,daksenik,424C - Magic Formulas,FPC,Accepted,202 ms,3900 KB,2014-05-05 15:09:00
67783984,Dec/28/2019 15:02,5_se7n,424C - Magic Formulas,MS C++ 2017,Accepted,967 ms,7800 KB,2019-12-28 15:02:00
6468301,Apr/25/2014 12:22,Tebak_Siapa_Aku,424C - Magic Formulas,GNU C,Accepted,202 ms,100 KB,2014-04-25 12:22:00
6476840,Apr/26/2014 09:43,LordArian,424C - Magic Formulas,GNU C++,Accepted,857 ms,7800 KB,2014-04-26 09:43:00
63612427,Oct/27/2019 20:53,darijee,424C - Magic Formulas,GNU C++17,Accepted,1778 ms,7800 KB,2019-10-27 20:53:00
7896402,Sep/21/2014 16:05,Valerich,424C - Magic Formulas,FPC,Accepted,187 ms,3900 KB,2014-09-21 16:05:00
10201075,Mar/08/2015 09:22,JokerNVT,424C - Magic Formulas,GNU C++,Accepted,202 ms,3700 KB,2015-03-08 09:22:00
12579685,Aug/17/2015 21:54,mk2495,424C - Magic Formulas,GNU C++,Accepted,202 ms,3700 KB,2015-08-17 21:54:00
27734701,Jun/12/2017 12:11,AbdelrahmanEldakrony,424C - Magic Formulas,GNU C++14,Accepted,327 ms,3900 KB,2017-06-12 12:11:00
7255937,Jul/27/2014 12:25,k-on.mio,424C - Magic Formulas,GNU C++,Accepted,218 ms,3900 KB,2014-07-27 12:25:00
10216145,Mar/09/2015 13:02,rajagopal_kumar,424C - Magic Formulas,GNU C++,Accepted,202 ms,3700 KB,2015-03-09 13:02:00
14004022,Nov/01/2015 12:08,130705009,424C - Magic Formulas,GNU C++,Accepted,202 ms,3700 KB,2015-11-01 12:08:00
29555675,Aug/18/2017 17:38,Koi_ga_umareru,424C - Magic Formulas,Python 3,Accepted,1716 ms,72800 KB,2017-08-18 17:38:00
6499256,Apr/28/2014 14:48,Groexhy,424C - Magic Formulas,GNU C++,Accepted,858 ms,7800 KB,2014-04-28 14:48:00
6467973,Apr/25/2014 12:12,insomniac,424C - Magic Formulas,Python 2,Accepted,1372 ms,52400 KB,2014-04-25 12:12:00
7255953,Jul/27/2014 12:27,vjudge4,424C - Magic Formulas,GNU C++,Accepted,218 ms,3900 KB,2014-07-27 12:27:00
7742576,Sep/11/2014 17:14,Hotrood,424C - Magic Formulas,FPC,Accepted,187 ms,3900 KB,2014-09-11 17:14:00
29504000,Aug/16/2017 14:42,Vaseline_Warrior,424C - Magic Formulas,GNU C++14,Accepted,1965 ms,15700 KB,2017-08-16 14:42:00
