36925501,Apr/03/2018 20:39,* rareone0602,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,1169 ms,7200 KB,2018-04-03 20:39:00
38573624,May/24/2018 03:00,racsosabe,959C - Mahmoud and Ehab and the wrong algorithm,PHP,Accepted,436 ms,500 KB,2018-05-24 03:00:00
37111124,Apr/09/2018 03:00,vjudge1,959C - Mahmoud and Ehab and the wrong algorithm,GNU C++,Accepted,77 ms,3200 KB,2018-04-09 03:00:00
37125615,Apr/09/2018 18:25,and800#,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,873 ms,7000 KB,2018-04-09 18:25:00
36918896,Apr/03/2018 19:55,Incognito,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,1122 ms,7400 KB,2018-04-03 19:55:00
37533956,Apr/22/2018 16:13,Qumeric,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,1045 ms,7400 KB,2018-04-22 16:13:00
36925701,Apr/03/2018 20:41,kannappan,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,1154 ms,7400 KB,2018-04-03 20:41:00
37131733,Apr/10/2018 00:08,mistaken,959C - Mahmoud and Ehab and the wrong algorithm,GNU C++14,Accepted,358 ms,3300 KB,2018-04-10 00:08:00
36928046,Apr/03/2018 20:56,arthurconmy,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,1169 ms,7200 KB,2018-04-03 20:56:00
59572720,Aug/27/2019 16:08,Alex_Wei,959C - Mahmoud and Ehab and the wrong algorithm,GNU C++11,Accepted,467 ms,0 KB,2019-08-27 16:08:00
73570250,Mar/18/2020 15:44,areo,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,623 ms,300 KB,2020-03-18 15:44:00
36925045,Apr/03/2018 20:36,TUGAAAA,959C - Mahmoud and Ehab and the wrong algorithm,GNU C++11,Accepted,62 ms,3200 KB,2018-04-03 20:36:00
37123277,Apr/09/2018 16:34,css123456,959C - Mahmoud and Ehab and the wrong algorithm,GNU C++11,Accepted,61 ms,3200 KB,2018-04-09 16:34:00
37332535,Apr/14/2018 18:45,nowyyz,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,638 ms,17600 KB,2018-04-14 18:45:00
36929341,Apr/03/2018 21:03,Dipto_1205076,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,1107 ms,7400 KB,2018-04-03 21:03:00
49179432,Jan/30/2019 03:01,coloredrabbit,959C - Mahmoud and Ehab and the wrong algorithm,GNU C++17,Accepted,46 ms,0 KB,2019-01-30 03:01:00
46551558,Dec/03/2018 21:10,adityaramesh,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,810 ms,500 KB,2018-12-03 21:10:00
36922929,Apr/03/2018 20:21,Regius,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,889 ms,7000 KB,2018-04-03 20:21:00
36919558,Apr/03/2018 20:00,sergovoy,959C - Mahmoud and Ehab and the wrong algorithm,Python 3,Accepted,156 ms,12900 KB,2018-04-03 20:00:00
