7850913,Sep/19/2014 14:16,wjh720#,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2014-09-19 14:16:00
67695080,Dec/27/2019 15:39,mota_haathi,95A - Hockey,GNU C++14,Accepted,60 ms,300 KB,2019-12-27 15:39:00
536133,Jul/08/2011 20:43,zzldjk,95A - Hockey,GNU C,Accepted,30 ms,1500 KB,2011-07-08 20:43:00
10659360,Apr/11/2015 19:27,raghav123,95A - Hockey,GNU C++,Accepted,60 ms,0 KB,2015-04-11 19:27:00
15412271,Jan/17/2016 11:45,sensei11,95A - Hockey,GNU C++11,Accepted,60 ms,0 KB,2016-01-17 11:45:00
542266,Jul/11/2011 20:08,Darsein,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-11 20:08:00
17145721,Apr/03/2016 16:33,stewjon,95A - Hockey,GNU C++11,Accepted,30 ms,2200 KB,2016-04-03 16:33:00
14651440,Dec/04/2015 19:39,varunteja13,95A - Hockey,GNU C++11,Accepted,30 ms,0 KB,2015-12-04 19:39:00
50259094,Feb/21/2019 00:55,IsaacMoris,95A - Hockey,GNU C++14,Accepted,62 ms,200 KB,2019-02-21 00:55:00
31597750,Oct/22/2017 11:35,RNS,96C - Hockey,GNU C++11,Accepted,30 ms,2100 KB,2017-10-22 11:35:00
17035444,Mar/30/2016 17:12,vjudge2,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-03-30 17:12:00
15684459,Jan/30/2016 22:06,ITDOI#,95A - Hockey,GNU C++11,Accepted,30 ms,0 KB,2016-01-30 22:06:00
22394278,Nov/22/2016 04:19,lozephon,96C - Hockey,Python 3,Accepted,124 ms,0 KB,2016-11-22 04:19:00
888256,Nov/24/2011 00:14,mihail,96C - Hockey,Python 2,Accepted,130 ms,2800 KB,2011-11-24 00:14:00
538798,Jul/09/2011 10:06,A.K.Goharshady,95A - Hockey,GNU C++,Accepted,80 ms,1400 KB,2011-07-09 10:06:00
538979,Jul/09/2011 11:47,A.K.Goharshady,96C - Hockey,GNU C++,Accepted,80 ms,1400 KB,2011-07-09 11:47:00
748800,Oct/08/2011 00:40,wackloner,96C - Hockey,Java 6,Accepted,130 ms,34500 KB,2011-10-08 00:40:00
