240660,Jan/07/2011 08:20,hlahuhkln,49C - Disposition,MS C++,Accepted,130 ms,1300 KB,2011-01-07 08:20:00
240661,Jan/07/2011 08:22,abhi,49C - Disposition,MS C++,Accepted,130 ms,1300 KB,2011-01-07 08:22:00
240662,Jan/07/2011 08:22,sazzad,49C - Disposition,MS C++,Accepted,130 ms,1300 KB,2011-01-07 08:22:00
240663,Jan/07/2011 08:22,naaaag,49C - Disposition,MS C++,Accepted,130 ms,1300 KB,2011-01-07 08:22:00
224212,Dec/17/2010 20:42,NikitaPogodin,49C - Disposition,FPC,Accepted,50 ms,800 KB,2010-12-17 20:42:00
243260,Jan/09/2011 21:11,Suvorov,49C - Disposition,Delphi,Accepted,60 ms,800 KB,2011-01-09 21:11:00
225061,Dec/18/2010 18:00,Levantiy,49C - Disposition,FPC,Accepted,60 ms,900 KB,2010-12-18 18:00:00
42134108,Aug/27/2018 00:26,Mk_Python_v1,49C - Disposition,Python 3,Accepted,810 ms,200 KB,2018-08-27 00:26:00
224700,Dec/17/2010 22:53,DimaPhil,49C - Disposition,Delphi,Accepted,60 ms,900 KB,2010-12-17 22:53:00
266331,Jan/27/2011 19:34,I-juice,49C - Disposition,MS C++,Accepted,110 ms,1300 KB,2011-01-27 19:34:00
223549,Dec/17/2010 19:57,* flashmt,49C - Disposition,FPC,Accepted,50 ms,800 KB,2010-12-17 19:57:00
224132,Dec/17/2010 20:36,* 500xhp,49C - Disposition,Delphi,Accepted,60 ms,900 KB,2010-12-17 20:36:00
224367,Dec/17/2010 20:57,163max,49C - Disposition,Delphi,Accepted,60 ms,900 KB,2010-12-17 20:57:00
242752,Jan/09/2011 12:46,valikluks1995,49C - Disposition,Delphi,Accepted,50 ms,800 KB,2011-01-09 12:46:00
240597,Jan/07/2011 07:20,An4ik.D,49C - Disposition,MS C++,Accepted,130 ms,1300 KB,2011-01-07 07:20:00
224719,Dec/17/2010 23:14,mixser.by,49C - Disposition,FPC,Accepted,60 ms,900 KB,2010-12-17 23:14:00
225267,Dec/19/2010 17:06,EG0R,49C - Disposition,FPC,Accepted,50 ms,800 KB,2010-12-19 17:06:00
27364207,May/27/2017 00:44,Bengal_Tiger,49C - Disposition,GNU C++11,Accepted,124 ms,0 KB,2017-05-27 00:44:00
225477,Dec/20/2010 20:50,Mark_tven,49C - Disposition,FPC,Accepted,50 ms,800 KB,2010-12-20 20:50:00
223367,Dec/17/2010 19:47,* evernight,49C - Disposition,Python 2,Accepted,80 ms,8300 KB,2010-12-17 19:47:00
266322,Jan/27/2011 19:26,I-juice,49C - Disposition,GNU C++,Accepted,80 ms,1300 KB,2011-01-27 19:26:00
2224494,Sep/20/2012 21:47,nirvanafreak#,49C - Disposition,Delphi,Accepted,62 ms,9200 KB,2012-09-20 21:47:00
441629,May/07/2011 01:09,scorpion,49C - Disposition,FPC,Accepted,50 ms,1000 KB,2011-05-07 01:09:00
36290032,Mar/15/2018 07:03,KCAH,49C - Disposition,GNU C++11,Accepted,62 ms,1800 KB,2018-03-15 07:03:00
