60297482,Sep/09/2019 13:47,luogu_bot4,21C - Stripe 2,GNU C++11,Accepted,46 ms,1600 KB,2019-09-09 13:47:00
48991381,Jan/26/2019 17:34,vjudge2,21C - Stripe 2,GNU C++11,Accepted,171 ms,7800 KB,2019-01-26 17:34:00
40113763,Jul/09/2018 16:20,luogu_bot2,21C - Stripe 2,GNU C++,Accepted,187 ms,800 KB,2018-07-09 16:20:00
79670133,May/10/2020 18:57,Sum029,21C - Stripe 2,GNU C++11,Accepted,171 ms,4600 KB,2020-05-10 18:57:00
4277454,Aug/14/2013 15:33,HashMallow,21C - Stripe 2,GNU C++,Accepted,124 ms,1200 KB,2013-08-14 15:33:00
540042,Jul/10/2011 00:39,imslavko,21C - Stripe 2,GNU C++,Accepted,50 ms,1700 KB,2011-07-10 00:39:00
36153067,Mar/10/2018 17:11,vjudge2,21C - Stripe 2,GNU C++,Accepted,46 ms,2200 KB,2018-03-10 17:11:00
670188,Sep/06/2011 06:54,Archon.JK,21C - Stripe 2,GNU C++0x,Accepted,60 ms,1700 KB,2011-09-06 06:54:00
4316293,Aug/20/2013 18:48,HashMallow,21C - Stripe 2,GNU C++,Accepted,124 ms,1200 KB,2013-08-20 18:48:00
34514687,Jan/24/2018 14:27,vjudge1,21C - Stripe 2,GNU C++,Accepted,46 ms,2800 KB,2018-01-24 14:27:00
34514631,Jan/24/2018 14:24,oier_pb,21C - Stripe 2,GNU C++,Accepted,31 ms,2800 KB,2018-01-24 14:24:00
27895058,Jun/19/2017 06:45,fringed,21C - Stripe 2,GNU C++,Accepted,187 ms,800 KB,2017-06-19 06:45:00
7274190,Jul/28/2014 09:17,kawazaki,21C - Stripe 2,GNU C++,Accepted,92 ms,3700 KB,2014-07-28 09:17:00
36220671,Mar/12/2018 13:42,vjudge3,21C - Stripe 2,GNU C++,Accepted,187 ms,2900 KB,2018-03-12 13:42:00
1812059,Jun/21/2012 12:50,RazeN,21C - Stripe 2,FPC,Accepted,50 ms,1500 KB,2012-06-21 12:50:00
42828747,Sep/13/2018 14:55,luogu_bot5,21C - Stripe 2,GNU C++11,Accepted,187 ms,700 KB,2018-09-13 14:55:00
76981523,Apr/16/2020 17:23,luogu_bot1,21C - Stripe 2,GNU C++11,Accepted,62 ms,8100 KB,2020-04-16 17:23:00
76981838,Apr/16/2020 17:26,luogu_bot4,21C - Stripe 2,GNU C++11,Accepted,62 ms,8100 KB,2020-04-16 17:26:00
39261644,Jun/15/2018 12:01,luogu_bot1,21C - Stripe 2,GNU C++,Accepted,202 ms,400 KB,2018-06-15 12:01:00
39270399,Jun/15/2018 18:48,luogu_bot3,21C - Stripe 2,GNU C++,Accepted,202 ms,400 KB,2018-06-15 18:48:00
40113742,Jul/09/2018 16:20,luogu_bot2,21C - Stripe 2,GNU C++,Accepted,187 ms,800 KB,2018-07-09 16:20:00
25202997,Mar/04/2017 09:59,Photon_,21C - Stripe 2,GNU C++14,Accepted,140 ms,3100 KB,2017-03-04 09:59:00
35466470,Feb/19/2018 12:40,vjudge5,21C - Stripe 2,GNU C11,Accepted,31 ms,2700 KB,2018-02-19 12:40:00
35466596,Feb/19/2018 12:47,vjudge3,21C - Stripe 2,GNU C11,Accepted,31 ms,2600 KB,2018-02-19 12:47:00
36150388,Mar/10/2018 15:33,vjudge2,21C - Stripe 2,GNU C++,Accepted,202 ms,5900 KB,2018-03-10 15:33:00
40082714,Jul/08/2018 13:57,luogu_bot3,21C - Stripe 2,GNU C++,Accepted,187 ms,400 KB,2018-07-08 13:57:00
40082781,Jul/08/2018 14:00,luogu_bot5,21C - Stripe 2,GNU C++,Accepted,187 ms,400 KB,2018-07-08 14:00:00
35466301,Feb/19/2018 12:30,vjudge1,21C - Stripe 2,GNU C11,Accepted,31 ms,2700 KB,2018-02-19 12:30:00
56524607,Jul/04/2019 19:33,vjudge4,21C - Stripe 2,MS C++,Accepted,31 ms,800 KB,2019-07-04 19:33:00
92760,Jul/02/2010 02:25,DNNX,21C - Stripe 2,Ruby,Accepted,420 ms,9700 KB,2010-07-02 02:25:00
56524381,Jul/04/2019 19:27,vjudge2,21C - Stripe 2,MS C++,Accepted,46 ms,800 KB,2019-07-04 19:27:00
483419,Jun/08/2011 21:59,Sereja,21C - Stripe 2,FPC,Accepted,30 ms,1400 KB,2011-06-08 21:59:00
51392402,Mar/17/2019 03:59,_crazycode_,21C - Stripe 2,GNU C++17,Accepted,139 ms,800 KB,2019-03-17 03:59:00
35466824,Feb/19/2018 12:57,vjudge4,21C - Stripe 2,GNU C++,Accepted,31 ms,2600 KB,2018-02-19 12:57:00
40098902,Jul/09/2018 05:53,luogu_bot2,21C - Stripe 2,GNU C++,Accepted,187 ms,400 KB,2018-07-09 05:53:00
79065336,May/05/2020 17:30,luogu_bot2,21C - Stripe 2,GNU C++11,Accepted,171 ms,400 KB,2020-05-05 17:30:00
47971781,Jan/05/2019 18:12,vjudge2,21C - Stripe 2,GNU C++11,Accepted,171 ms,2400 KB,2019-01-05 18:12:00
45371531,Nov/06/2018 13:05,luogu_bot3,21C - Stripe 2,GNU C++11,Accepted,46 ms,800 KB,2018-11-06 13:05:00
37546446,Apr/23/2018 11:34,suki_cz,21C - Stripe 2,GNU C++,Accepted,46 ms,4200 KB,2018-04-23 11:34:00
74374262,Mar/26/2020 13:16,luogu_bot2,21C - Stripe 2,GNU C++11,Accepted,171 ms,400 KB,2020-03-26 13:16:00
36153055,Mar/10/2018 17:10,smoggy,21C - Stripe 2,GNU C++,Accepted,31 ms,2200 KB,2018-03-10 17:10:00
25389109,Mar/10/2017 23:57,hpfdf#,21C - Stripe 2,GNU C++11,Accepted,31 ms,2500 KB,2017-03-10 23:57:00
36149536,Mar/10/2018 15:00,vjudge5,21C - Stripe 2,GNU C++,Accepted,31 ms,2200 KB,2018-03-10 15:00:00
74372417,Mar/26/2020 12:52,_Doris,21C - Stripe 2,GNU C++11,Accepted,171 ms,400 KB,2020-03-26 12:52:00
47334293,Dec/21/2018 17:24,hardikdua,21C - Stripe 2,GNU C++14,Accepted,46 ms,400 KB,2018-12-21 17:24:00
48560959,Jan/19/2019 10:20,Mandir_Wahi_Banayenge,21C - Stripe 2,GNU C++14,Accepted,46 ms,400 KB,2019-01-19 10:20:00
92986,Jul/19/2010 09:06,cgy4ever,21C - Stripe 2,GNU C++,Accepted,250 ms,2900 KB,2010-07-19 09:06:00
4166437,Jul/26/2013 06:05,diego_v1,21C - Stripe 2,GNU C++0x,Accepted,46 ms,4700 KB,2013-07-26 06:05:00
30986942,Oct/04/2017 11:20,Stronger2020#,21C - Stripe 2,GNU C++14,Accepted,140 ms,900 KB,2017-10-04 11:20:00
33459038,Dec/20/2017 18:00,MetaBro,21C - Stripe 2,GNU C++14,Accepted,31 ms,3400 KB,2017-12-20 18:00:00
36149015,Mar/10/2018 14:42,vjudge1,21C - Stripe 2,GNU C++,Accepted,187 ms,3200 KB,2018-03-10 14:42:00
