1373670,Mar/17/2012 21:30,ekts,165C - Another Problem on Strings,Python 2,Accepted,1310 ms,27700 KB,2012-03-17 21:30:00
37684708,Apr/28/2018 15:03,DevilJin,165C - Another Problem on Strings,Python 3,Accepted,1840 ms,13000 KB,2018-04-28 15:03:00
64461056,Nov/07/2019 13:23,MinecraftFuns,165C - Another Problem on Strings,Python 3,Accepted,1464 ms,6500 KB,2019-11-07 13:23:00
69625906,Jan/27/2020 18:48,Pozhiloy_Vityok,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,10800 KB,2020-01-27 18:48:00
4832762,Oct/20/2013 14:17,yugle7,165C - Another Problem on Strings,Python 3,Accepted,1154 ms,9800 KB,2013-10-20 14:17:00
40906001,Jul/29/2018 08:43,igor.lucena,165C - Another Problem on Strings,Python 2,Accepted,1246 ms,5400 KB,2018-07-29 08:43:00
79377179,May/08/2020 15:25,ks3rr,165C - Another Problem on Strings,GNU C++17 (64),Accepted,248 ms,15900 KB,2020-05-08 15:25:00
29789020,Aug/25/2017 20:54,Trunks,165C - Another Problem on Strings,Python 2,Accepted,1808 ms,20900 KB,2017-08-25 20:54:00
76009289,Apr/09/2020 18:44,jc4250,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,10800 KB,2020-04-09 18:44:00
12887998,Sep/07/2015 20:26,pikmike,165C - Another Problem on Strings,PyPy 3,Accepted,1746 ms,18400 KB,2015-09-07 20:26:00
24247545,Jan/29/2017 15:53,agarajaev,165C - Another Problem on Strings,GNU C++11,Accepted,404 ms,13700 KB,2017-01-29 15:53:00
31239396,Oct/12/2017 14:33,Nobel_ruettt,165C - Another Problem on Strings,GNU C++11,Accepted,374 ms,12300 KB,2017-10-12 14:33:00
51094987,Mar/09/2019 18:57,AlmoezAli,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,10700 KB,2019-03-09 18:57:00
57902101,Jul/28/2019 19:06,lopare,165C - Another Problem on Strings,GNU C++11,Accepted,312 ms,11700 KB,2019-07-28 19:06:00
80445819,May/17/2020 10:45,datadvali,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,84800 KB,2020-05-17 10:45:00
32194002,Nov/10/2017 14:48,toysheeyeyraku,165C - Another Problem on Strings,Python 3,Accepted,1308 ms,14700 KB,2017-11-10 14:48:00
1646048,Apr/30/2012 17:43,LinJiYuan90,165C - Another Problem on Strings,Python 2,Accepted,610 ms,14900 KB,2012-04-30 17:43:00
56447391,Jul/02/2019 22:34,maiti_prithvi_sh,165C - Another Problem on Strings,PyPy 3,Accepted,654 ms,8100 KB,2019-07-02 22:34:00
76237824,Apr/11/2020 09:24,see_sha_2000,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,11000 KB,2020-04-11 09:24:00
66156983,Dec/02/2019 02:57,daleks,165C - Another Problem on Strings,PyPy 3,Accepted,622 ms,44700 KB,2019-12-02 02:57:00
1364756,Mar/16/2012 20:09,ray040123,165C - Another Problem on Strings,Python 2,Accepted,800 ms,15900 KB,2012-03-16 20:09:00
42134626,Aug/27/2018 01:02,Mk_Python_v1,165C - Another Problem on Strings,Python 3,Accepted,1902 ms,6100 KB,2018-08-27 01:02:00
64180995,Nov/04/2019 03:35,vjudge2,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,10700 KB,2019-11-04 03:35:00
68003358,Dec/31/2019 14:59,ayush_ar0204,165C - Another Problem on Strings,GNU C++17,Accepted,312 ms,10700 KB,2019-12-31 14:59:00
56715081,Jul/08/2019 17:20,Jabaiy_Mysyq,165C - Another Problem on Strings,GNU C++11,Accepted,312 ms,11700 KB,2019-07-08 17:20:00
69881515,Jan/31/2020 09:32,DeS1729,165C - Another Problem on Strings,PyPy 3,Accepted,592 ms,46400 KB,2020-01-31 09:32:00
36798759,Apr/01/2018 16:00,HaiDuong,165C - Another Problem on Strings,GNU C++11,Accepted,374 ms,15100 KB,2018-04-01 16:00:00
57803223,Jul/26/2019 17:07,Mr_Mafia,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2019-07-26 17:07:00
1372858,Mar/17/2012 16:18,Petya,165C - Another Problem on Strings,Python 2,Accepted,940 ms,56800 KB,2012-03-17 16:18:00
4832811,Oct/20/2013 14:28,yugle7,165C - Another Problem on Strings,Python 3,Accepted,1184 ms,9900 KB,2013-10-20 14:28:00
16945738,Mar/26/2016 10:10,master_of_none,165C - Another Problem on Strings,GNU C++,Accepted,404 ms,14600 KB,2016-03-26 10:10:00
5700270,Jan/16/2014 06:32,rudra101,165C - Another Problem on Strings,GNU C++,Accepted,156 ms,6000 KB,2014-01-16 06:32:00
74761898,Mar/29/2020 22:07,pruthvi0105,165C - Another Problem on Strings,GNU C++17,Accepted,312 ms,10800 KB,2020-03-29 22:07:00
1651640,May/04/2012 07:23,miniput,165C - Another Problem on Strings,Python 2,Accepted,390 ms,14900 KB,2012-05-04 07:23:00
34074118,Jan/10/2018 20:14,upcomingnewton,165C - Another Problem on Strings,Python 2,Accepted,1622 ms,67000 KB,2018-01-10 20:14:00
76275087,Apr/12/2020 03:37,BelGuTei.B,165C - Another Problem on Strings,GNU C++17,Accepted,342 ms,10800 KB,2020-04-12 03:37:00
4392142,Sep/01/2013 13:29,saketh,165C - Another Problem on Strings,GNU C++,Accepted,280 ms,8200 KB,2013-09-01 13:29:00
47004307,Dec/14/2018 16:13,piqipaw,165C - Another Problem on Strings,GNU C++11,Accepted,312 ms,11700 KB,2018-12-14 16:13:00
68152324,Jan/04/2020 10:26,IQuant,165C - Another Problem on Strings,PyPy 3,Accepted,778 ms,59200 KB,2020-01-04 10:26:00
27305578,May/23/2017 19:48,The_Winners#,165C - Another Problem on Strings,FPC,Accepted,62 ms,12200 KB,2017-05-23 19:48:00
1408645,Mar/25/2012 16:52,watashi,165C - Another Problem on Strings,Ruby,Accepted,1860 ms,30900 KB,2012-03-25 16:52:00
14901620,Dec/20/2015 19:03,m.Sina,165C - Another Problem on Strings,GNU C++11,Accepted,436 ms,12600 KB,2015-12-20 19:03:00
17881171,May/12/2016 22:55,ursabhishek15,165C - Another Problem on Strings,GNU C++,Accepted,404 ms,14700 KB,2016-05-12 22:55:00
54866883,May/31/2019 09:48,TheChanChanMan,165C - Another Problem on Strings,GNU C++14,Accepted,312 ms,81200 KB,2019-05-31 09:48:00
