3951182,Jun/23/2013 20:10,yakitori,319C - Kalila and Dimna in the Logging Industry,Python 2,Accepted,1140 ms,9000 KB,2013-06-23 20:10:00
5961177,Mar/08/2014 10:45,vjudge4,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,124 ms,3100 KB,2014-03-08 10:45:00
25563532,Mar/17/2017 06:55,0ogway,319C - Kalila and Dimna in the Logging Industry,Python 3,Accepted,452 ms,15700 KB,2017-03-17 06:55:00
67691589,Dec/27/2019 14:22,C20193515_LYX,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,62 ms,3000 KB,2019-12-27 14:22:00
7910575,Sep/22/2014 17:36,zhengyang,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,154 ms,3000 KB,2014-09-22 17:36:00
7910579,Sep/22/2014 17:37,zhengyang,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,154 ms,3000 KB,2014-09-22 17:37:00
67691581,Dec/27/2019 14:21,vjudge1,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,62 ms,3000 KB,2019-12-27 14:21:00
29373735,Aug/12/2017 12:22,Vosatorp,319C - Kalila and Dimna in the Logging Industry,Python 3,Accepted,623 ms,15000 KB,2017-08-12 12:22:00
34211396,Jan/16/2018 05:57,acosta415,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,390 ms,5400 KB,2018-01-16 05:57:00
71273296,Feb/17/2020 14:13,Cerrax,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,373 ms,3100 KB,2020-02-17 14:13:00
6458731,Apr/24/2014 11:19,akat,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,92 ms,6200 KB,2014-04-24 11:19:00
67691512,Dec/27/2019 14:20,vjudge4,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,46 ms,3000 KB,2019-12-27 14:20:00
4315755,Aug/20/2013 16:08,noise123,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,124 ms,3100 KB,2013-08-20 16:08:00
76495837,Apr/13/2020 16:49,ILLLZKQF,319C - Kalila and Dimna in the Logging Industry,GNU C++17 (64),Accepted,171 ms,27400 KB,2020-04-13 16:49:00
30026983,Sep/03/2017 11:11,saba2000,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,390 ms,3500 KB,2017-09-03 11:11:00
45337223,Nov/05/2018 21:19,akat,319C - Kalila and Dimna in the Logging Industry,GNU C++17,Accepted,358 ms,3400 KB,2018-11-05 21:19:00
55671348,Jun/17/2019 10:47,chongryong,319C - Kalila and Dimna in the Logging Industry,GNU C++17,Accepted,389 ms,3100 KB,2019-06-17 10:47:00
24468089,Feb/06/2017 15:21,zxhorz,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,62 ms,5200 KB,2017-02-06 15:21:00
57355341,Jul/20/2019 09:01,lyonlu,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,62 ms,1600 KB,2019-07-20 09:01:00
42135150,Aug/27/2018 01:46,Mk_Python_v1,319C - Kalila and Dimna in the Logging Industry,Python 3,Accepted,577 ms,10300 KB,2018-08-27 01:46:00
3952987,Jun/24/2013 03:12,37ae912,320E - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,78 ms,3100 KB,2013-06-24 03:12:00
15033999,Dec/26/2015 18:37,Osholbolbol_awli,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,936 ms,3200 KB,2015-12-26 18:37:00
19305972,Jul/21/2016 19:29,LCM,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,62 ms,2000 KB,2016-07-21 19:29:00
3948482,Jun/23/2013 18:25,yakitori,319C - Kalila and Dimna in the Logging Industry,Python 2,Accepted,1031 ms,8800 KB,2013-06-23 18:25:00
4328025,Aug/23/2013 11:57,ZEROm,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,374 ms,3100 KB,2013-08-23 11:57:00
4315078,Aug/20/2013 12:56,WXR,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,404 ms,3100 KB,2013-08-20 12:56:00
15034005,Dec/26/2015 18:38,Osholbolbol_awli,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,936 ms,2000 KB,2015-12-26 18:38:00
4126014,Jul/21/2013 08:24,Bailey1995,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,109 ms,3100 KB,2013-07-21 08:24:00
30936636,Oct/02/2017 10:57,RNS_JKS,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,77 ms,2700 KB,2017-10-02 10:57:00
40183792,Jul/11/2018 01:14,aeternalis1,319C - Kalila and Dimna in the Logging Industry,PyPy 2,Accepted,327 ms,14900 KB,2018-07-11 01:14:00
4000724,Jul/01/2013 22:00,Mehrans,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,93 ms,2500 KB,2013-07-01 22:00:00
6555498,May/05/2014 15:45,vjudge1,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,124 ms,6200 KB,2014-05-05 15:45:00
3947121,Jun/23/2013 18:00,YakumoYukari,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,78 ms,1900 KB,2013-06-23 18:00:00
8556286,Nov/05/2014 12:48,Haghani,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,92 ms,3200 KB,2014-11-05 12:48:00
3997485,Jun/30/2013 23:54,anudeep2011,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,359 ms,6100 KB,2013-06-30 23:54:00
62110991,Oct/08/2019 15:11,luogu_bot4,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,436 ms,2700 KB,2019-10-08 15:11:00
40389336,Jul/16/2018 01:01,lil_T,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,77 ms,3100 KB,2018-07-16 01:01:00
17130985,Apr/02/2016 16:37,freebsdx,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,62 ms,4700 KB,2016-04-02 16:37:00
3955320,Jun/24/2013 16:13,xiaotao,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,93 ms,2700 KB,2013-06-24 16:13:00
4433397,Sep/08/2013 23:20,nikola12345,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,156 ms,3100 KB,2013-09-08 23:20:00
40646285,Jul/22/2018 19:26,wonders,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,62 ms,2000 KB,2018-07-22 19:26:00
4314687,Aug/20/2013 10:21,hq9907,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,156 ms,2700 KB,2013-08-20 10:21:00
4280266,Aug/15/2013 07:50,jxt,319C - Kalila and Dimna in the Logging Industry,FPC,Accepted,156 ms,6300 KB,2013-08-15 07:50:00
4281629,Aug/15/2013 14:44,823046544,319C - Kalila and Dimna in the Logging Industry,FPC,Accepted,156 ms,6300 KB,2013-08-15 14:44:00
30026902,Sep/03/2017 11:06,saba2000,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,390 ms,3500 KB,2017-09-03 11:06:00
7408483,Aug/10/2014 00:15,mjy0503,319C - Kalila and Dimna in the Logging Industry,MS C++,Accepted,124 ms,2700 KB,2014-08-10 00:15:00
4315137,Aug/20/2013 13:22,Logic_zys,319C - Kalila and Dimna in the Logging Industry,GNU C++,Accepted,124 ms,3100 KB,2013-08-20 13:22:00
30026887,Sep/03/2017 11:05,saba2000,319C - Kalila and Dimna in the Logging Industry,GNU C++14,Accepted,390 ms,3500 KB,2017-09-03 11:05:00
55647012,Jun/16/2019 15:42,benson1029,319C - Kalila and Dimna in the Logging Industry,GNU C++17,Accepted,78 ms,3100 KB,2019-06-16 15:42:00
13228746,Sep/26/2015 10:11,TheTerminalGuy,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,934 ms,2000 KB,2015-09-26 10:11:00
80299325,May/16/2020 12:27,JJLeo,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,78 ms,6500 KB,2020-05-16 12:27:00
18265515,Jun/06/2016 08:24,gamegame,319C - Kalila and Dimna in the Logging Industry,GNU C++11,Accepted,951 ms,5700 KB,2016-06-06 08:24:00
