33456328,Dec/20/2017 16:23,PKUfankobe,734C - Anton and Making Potions,Python 3,Accepted,811 ms,38900 KB,2017-12-20 16:23:00
22565585,Nov/28/2016 09:25,thepotatoranch,734C - Anton and Making Potions,Python 2,Accepted,748 ms,20800 KB,2016-11-28 09:25:00
39063615,Jun/09/2018 11:09,petiteteaparty#,734C - Anton and Making Potions,Python 3,Accepted,826 ms,33000 KB,2018-06-09 11:09:00
31335409,Oct/15/2017 11:12,vjudge5,734C - Anton and Making Potions,GNU C++,Accepted,1903 ms,33300 KB,2017-10-15 11:12:00
57575298,Jul/23/2019 09:47,AC_Plz,734C - Anton and Making Potions,GNU C++11,Accepted,1731 ms,9400 KB,2019-07-23 09:47:00
69899096,Jan/31/2020 15:34,Annvv,734C - Anton and Making Potions,Python 3,Accepted,888 ms,33300 KB,2020-01-31 15:34:00
38912629,Jun/03/2018 10:10,vjudge1,734C - Anton and Making Potions,GNU C++,Accepted,1965 ms,9700 KB,2018-06-03 10:10:00
22284015,Nov/17/2016 12:10,CHAOS.,734C - Anton and Making Potions,GNU C++11,Accepted,202 ms,31300 KB,2016-11-17 12:10:00
67392027,Dec/21/2019 23:16,SinnerMan#,734C - Anton and Making Potions,GNU C++17,Accepted,265 ms,6300 KB,2019-12-21 23:16:00
72673349,Mar/07/2020 18:32,pro_30#,734C - Anton and Making Potions,GNU C++17,Accepted,265 ms,6300 KB,2020-03-07 18:32:00
54058730,May/13/2019 12:58,vjudge2,734C - Anton and Making Potions,GNU C++17,Accepted,1465 ms,6300 KB,2019-05-13 12:58:00
54584484,May/25/2019 09:19,khyati.agarwalss,734C - Anton and Making Potions,GNU C++14,Accepted,1543 ms,6200 KB,2019-05-25 09:19:00
67149783,Dec/18/2019 13:18,run_time_terror,734C - Anton and Making Potions,GNU C++17,Accepted,1482 ms,6200 KB,2019-12-18 13:18:00
22834614,Dec/09/2016 16:29,Prateek1996,734C - Anton and Making Potions,GNU C++11,Accepted,1918 ms,62600 KB,2016-12-09 16:29:00
