3289323,Mar/11/2013 15:18,serega.belarus,280C - Game on Tree,GNU C++,Accepted,281 ms,9100 KB,2013-03-11 15:18:00
18646378,Jun/22/2016 15:19,Yellow.Flash,280C - Game on Tree,GNU C++11,Accepted,310 ms,9000 KB,2016-06-22 15:19:00
20682465,Sep/17/2016 16:01,reku,280C - Game on Tree,GNU C++11,Accepted,122 ms,9000 KB,2016-09-17 16:01:00
32143016,Nov/08/2017 19:49,ITer,280C - Game on Tree,GNU C++14,Accepted,124 ms,8300 KB,2017-11-08 19:49:00
48990641,Jan/26/2019 17:15,atharva_sarage,280C - Game on Tree,GNU C++14,Accepted,498 ms,8900 KB,2019-01-26 17:15:00
6579877,May/10/2014 01:37,mc_mosa,280C - Game on Tree,GNU C++0x,Accepted,124 ms,9100 KB,2014-05-10 01:37:00
3286851,Mar/11/2013 03:44,Orzwzc_,281E - Game on Tree,GNU C++,Accepted,78 ms,8000 KB,2013-03-11 03:44:00
3295706,Mar/12/2013 20:45,nikusha24,281E - Game on Tree,GNU C++,Accepted,93 ms,8000 KB,2013-03-12 20:45:00
5767471,Jan/22/2014 04:35,diego_v1,280C - Game on Tree,GNU C++0x,Accepted,124 ms,9900 KB,2014-01-22 04:35:00
38151253,May/13/2018 06:07,Zunny_Liu,280C - Game on Tree,GNU C++,Accepted,92 ms,4200 KB,2018-05-13 06:07:00
3296668,Mar/13/2013 03:21,brunoja,280C - Game on Tree,GNU C++,Accepted,93 ms,9500 KB,2013-03-13 03:21:00
26231700,Apr/09/2017 10:19,beet,280C - Game on Tree,GNU C++14,Accepted,716 ms,18200 KB,2017-04-09 10:19:00
16919399,Mar/25/2016 13:09,.I.,280C - Game on Tree,GNU C++11,Accepted,124 ms,11000 KB,2016-03-25 13:09:00
72102277,Feb/29/2020 17:04,vjudge5,281E - Game on Tree,GNU C++11,Accepted,654 ms,7800 KB,2020-02-29 17:04:00
51954746,Mar/29/2019 03:44,CMXRYNP,280C - Game on Tree,GNU C++17,Accepted,124 ms,6600 KB,2019-03-29 03:44:00
3323611,Mar/16/2013 08:24,tobpro,280C - Game on Tree,GNU C++,Accepted,265 ms,9100 KB,2013-03-16 08:24:00
44176435,Oct/12/2018 12:06,Bengal_Tiger,280C - Game on Tree,GNU C++11,Accepted,686 ms,12900 KB,2018-10-12 12:06:00
78389424,Apr/28/2020 16:51,JJLeo,280C - Game on Tree,GNU C++11,Accepted,92 ms,9000 KB,2020-04-28 16:51:00
40733942,Jul/25/2018 11:54,_iconer_,280C - Game on Tree,GNU C++11,Accepted,154 ms,9000 KB,2018-07-25 11:54:00
