1for,1for int,1for int input,24,44,44 ord,44 ord input,aeyoui,count,count 1for,count 1for int,eval,eval join,eval join input,input,input 24,input count,input count 1for,input input,input input len,input int,input int input,input len,input len print,input lower,input lower aeyoui,input lower lower,input print,input split,input split list,input split print,int,int input,int input 24,int input input,int input split,join,join input,join input lower,join input split,lambda,lambda map,lambda map int,len,len print,len print str,list,list print,list print sum,lower,lower aeyoui,lower lower,lower lower print,lower print,map,map int,map int input,max,ord,ord input,ord input int,print,print eval,print eval join,print join,print join input,print str,print sum,print sum 44,print sum input,print sum max,print yneos,print yneos int,split,split list,split list print,split print,str,sum,sum 44,sum 44 ord,sum input,sum input count,sum max,yneos,yneos int,yneos int input
0.0,0.0,0.0,0.33615097302110897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242818042780884,0.33615097302110897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804553309637306,0.1804553309637306,0.33615097302110897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242818042780884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33615097302110897,0.33615097302110897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33615097302110897,0.33615097302110897,0.33615097302110897
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14129744818991774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28423407559668135,0.0,0.38217400342983776,0.20516179279461594,0.20516179279461594,0.0,0.0,0.324882818324105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324882818324105,0.324882818324105,0.324882818324105,0.0,0.0,0.0,0.0,0.14129744818991774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28423407559668135,0.0,0.0,0.38217400342983776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22036223800128643,0.0,0.0,0.0,0.29801217141768466,0.29801217141768466,0.0,0.0,0.29801217141768466,0.29801217141768466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15998134570629746,0.15998134570629746,0.0,0.29801217141768466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29801217141768466,0.29801217141768466,0.29801217141768466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11018111900064322,0.0,0.0,0.0,0.0,0.29801217141768466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29801217141768466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08725809804102817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17552846957066243,0.23601117420882442,0.0,0.1266974602816861,0.1266974602816861,0.0,0.0,0.2006310600533061,0.0,0.0,0.0,0.0,0.23601117420882442,0.23601117420882442,0.23601117420882442,0.0,0.0,0.0,0.23601117420882442,0.23601117420882442,0.23601117420882442,0.0,0.0,0.0,0.0,0.0,0.2006310600533061,0.2006310600533061,0.2006310600533061,0.23601117420882442,0.0,0.0,0.0,0.08725809804102817,0.0,0.0,0.0,0.0,0.0,0.17552846957066243,0.0,0.0,0.23601117420882442,0.0,0.0,0.17552846957066243,0.23601117420882442,0.23601117420882442,0.0,0.0,0.17552846957066243,0.0,0.0,0.0,0.0,0.23601117420882442,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33033704995090996,0.0,0.0,0.0,0.0,0.0,0.0,0.12213227948985295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28081667204406013,0.33033704995090996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28081667204406013,0.28081667204406013,0.33033704995090996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28081667204406013,0.33033704995090996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12213227948985295,0.0,0.0,0.33033704995090996,0.33033704995090996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27352537720424663,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.27352537720424663,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.20225571319499813,0.0,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468361433755898,0.1468361433755898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10112785659749907,0.0,0.0,0.0,0.0,0.0,0.2034288885276197,0.0,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2034288885276197,0.0,0.0,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33662280453179644,0.33662280453179644,0.33662280453179644,0.12445624991760708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2503563057983431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2861601377042171,0.2861601377042171,0.0,0.33662280453179644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12445624991760708,0.33662280453179644,0.33662280453179644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2503563057983431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.27352537720424663,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20225571319499813,0.0,0.0,0.0,0.0,0.0,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468361433755898,0.1468361433755898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27352537720424663,0.27352537720424663,0.27352537720424663,0.10112785659749907,0.0,0.0,0.0,0.0,0.0,0.2034288885276197,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2034288885276197,0.27352537720424663,0.27352537720424663,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13165172218193438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3027045646443661,0.0,0.3560847444114902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6054091292887323,0.0,0.3560847444114902,0.3560847444114902,0.3560847444114902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13165172218193438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276371451120576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8861759431882819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276371451120576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
