id,day,author,problem,language,ac,len,word,source,token,time,memory,status
3904632,2013-06-16 13:43:00,nab,318B - Strings of Power,Python 3,Accepted,3,31,"z = r = 0 for  w  in  input (). split ( ""heavy"" ): r += w . count ( ""metal"" )* z ; z += 1 print ( r )",pln pun pln pun lit kwd pln kwd pln pun pln pun str pun pln pun pln pun pln pun str pun pln pun pln pun lit kwd pun pln pun,250 ms,6200 KB,318
3951873,2013-06-23 21:23:00,Toxic,320D - Psychos in a Line,Python 3,Accepted,3,31,"z = r = 0 for  w  in  input (). split ( ""heavy"" ): r += w . count ( ""metal"" )* z ; z += 1 print ( r )",pln pun pln pun lit kwd pln kwd pln pun pln pun str pun pln pun pln pun pln pun str pun pln pun pln pun lit kwd pun pln pun,406 ms,7800 KB,319
24884644,2017-02-22 07:12:00,New_God,320B - Ping-Pong (Easy Version),Python 3,Accepted,17,200,"path  =   [] n  =  int ( input ()) for  it  in  range ( 0 ,  n ): 	data  =  list ( map ( int ,  input (). split ( ' ' ))) 	 if  data [ 0 ]   ==   1 : 		path . append ( data [ 1 :]) 	 else : 		vis  =   [ False ]   *   ( len ( path )   +   1 ) 		que  =   [ data [ 1 ]   -   1 ] 		 while  len ( que ): 			p  =  que [ 0 ] 			 del  que [ 0 ] 			 for  i ,  v  in  enumerate ( path ): 				 if   ( v [ 0 ]   <  path [ p ][ 0 ]   <  v [ 1 ]   or  v [ 0 ]   <  path [ p ][ 1 ]   <  v [ 1 ])   and   not  vis [ i ]: 					vis [ i ]   =   True 					que . append ( i ) 		 print ( 'YES'   if  vis [ data [ 2 ]   - 1 ]   else   'NO' )",pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun str pun pln kwd pln pun lit pun pln pun pln lit pun pln pun pln pun pln pun lit pun pln kwd pun pln pun pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln lit pun pln pun pln pun pln pun lit pun pln pun pln lit pun pln kwd pln pun pln pun pln pun pln pun lit pun pln kwd pln pun lit pun pln kwd pln pun pln kwd pln pun pln pun pln kwd pln pun pln pun lit pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln kwd pln pun lit pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln kwd pun str pln kwd pln pun pln pun lit pun pln pun lit pun pln kwd pln str pun,156 ms,4500 KB,320
33102205,2017-12-11 15:57:00,yugle7,321B - Ciel and Duel,Python 3,Accepted,14,187,"n ,  m  =  map ( int ,  input (). split ()) a ,  d  =   [ 1e9 ],   [ 1e9 ] for  x  in  range ( n ):     p ,  s  =  input (). split ()      [ d ,  a ][ p  <   'B' ]. append ( int ( s )) v  =   [ int ( input ())   for  y  in  range ( m )] for  q  in   [ a ,  d ,  v ]:  q . sort () s  =  sum ( v ) i  =  j  =   0 for  t  in  v :      if  t  >  d [ i ]:  s ,  i  =  s  -  t ,  i  +   1      elif  t  >=  a [ j ]:  s ,  j  =  s  -  a [ j ],  j  +   1 if  i  +  j  -  n :  s  =   0 print ( max ( s ,  sum ( max ( 0 ,  y  -  x )   for  x ,  y  in  zip ( a ,  v [::- 1 ]))))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln str pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit kwd pln kwd pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit kwd pln pun pln pun pln pun pln pun pln lit kwd pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln kwd pln pun pln kwd pln pun pln pun pln pun lit pun,124 ms,5500 KB,321
26252704,2017-04-10 15:23:00,pimukthee,322B - Ciel and Flowers,Python 3,Accepted,2,60,"r , g , b  =  map ( int , input (). split ()) print   ( max ( i +( r - i )// 3 +( g - i )// 3 +( b - i )// 3   for  i  in  range ( min ( r + 1 , g + 1 , b + 1 , 3 ))))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln pun pln pun lit pln kwd pln kwd pln pun pln pun pln pun lit pun pln pun lit pun pln pun lit pun lit pun,154 ms,5400 KB,322
15915114,2016-02-09 17:00:00,not_bot_but_POT,325B - Stadium and Games,Python 3,Accepted,15,103,"f = n = int ( input ()) N = 1 while  N <= n * 2 :  l , h = 0 , n   while  h >= l :   m =( l + h )// 2   r =( m * 2 + 1 )*( m + N - 1 )    if  r > n : h = m - 1    elif  r < n : l = m + 1    else :     print ( m * 2 * N + N )    f = 0     break  N *= 2 if  f : print (- 1 )",pln pun pln pun pln pun pln pun pln pun lit kwd pln pun pln pun lit pun pln pun pln pun lit pun pln pln kwd pln pun pln pun pln pun pln pun pln pun lit pln pun pln pun lit pun lit pun pln pun pln pun lit pun pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun pln pun pln pun pln pun lit pln kwd pun pln kwd pun pln pun lit pun pln pun pln pun pln pun lit pln kwd pln pun lit kwd pln pun kwd pun lit pun,124 ms,0 KB,325
21821806,2016-10-27 15:46:00,Mr.Hitch,327B - Hungry Sequence,Python 3,Accepted,2,21,x = int ( input ()) while  x : print   ( 7 ** 7 - x ); x -= 1,pln pun pln pun pln pun kwd pln pun kwd pln pun lit pun lit pun pln pun pln pun lit,748 ms,300 KB,327
4059669,2013-07-13 16:46:00,alex_world,328B - Sheldon and Ice Pieces,Python 3,Accepted,8,75,"t  =  input (). replace ( '5' ,   '2' ). replace ( '9' ,   '6' ) s  =  input (). replace ( '5' ,   '2' ). replace ( '9' ,   '6' )   res  =   10   **   100   for  i  in  t :     res  =  min ( res ,  s . count ( i )   //  t . count ( i )) print ( res )",pln pun pln pun pln pun str pun pln str pun pln pun str pun pln str pun pln pun pln pun pln pun str pun pln str pun pln pun str pun pln str pun pln pln pun pln lit pln pun pln lit pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun,93 ms,100 KB,328
79384010,2020-05-08 16:53:00,stars_in_the_sky,330B - Road Construction,Python 3,Accepted,3,83,"z = lambda   : map ( int , input (). split ()); a , b = z (); s = set ( range ( 1 , a + 1 )) for  _  in   "" "" * b : s -= set ( z ()) s = next ( iter ( s )); print ( a - 1 );[ print ( s , i )   for  i  in  range ( 1 , a + 1 )   if  i != s ]",pln pun kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pun kwd pln kwd pln str pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun lit pun kwd pun pln pun pln pun pln kwd pln kwd pln pun lit pun pln pun lit pun pln kwd pln pun pln pun,248 ms,6800 KB,330
54655014,2019-05-26 10:48:00,MajAK,332B - Maximum Absurdity,Python 3,Accepted,24,157,"n , k = map ( int , input (). split ()) a = list ( map ( int , input (). split ()))   dp =[ 0 ] for  i  in  range ( n ): 	dp +=[ dp [ i ]+ int ( a [ i ])]   ans1 = 0 ans2 = 0 b = 0 pb = 0 z = 0 for  i  in  range ( n - 2 * k + 1 , 0 ,- 1 ): 	curb = dp [ i + 2 * k - 1 ]- dp [ i + k - 1 ] 	 if  curb >= b : 		b = curb 		pb = i + k 	cura = dp [ i + k - 1 ]- dp [ i - 1 ] 	 if  cura + b >= z : 		z = cura + b 		ans1 = i 		ans2 = pb   print ( ans1 , ans2 )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun lit pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun lit pln pun lit pln pun lit pln pun lit pln pun lit kwd pln kwd pln pun pln pun lit pun pln pun lit pun lit pun lit pun pln pun pln pun pln pun lit pun pln pun lit pun pln pun pln pun pln pun lit pun pln kwd pln pun pln pun pln pun pln pln pun pln pun pln pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pln pun pln pln pun pln pln kwd pun pln pun pln pun,1060 ms,18200 KB,332
