id,day,author,problem,language,ac,len,word,source,token,time,memory,status
20662752,2016/9/16 18:04,karan_lal2015,708A - Letters Cyclic Shift,Python 3,Accepted,13,89,"s = list ( input ()) i = f = 0 while ( i < len ( s )): 	 while ( i < len ( s )   and  s [ i ]!= 'a' ): 		s [ i ]= chr ( ord ( s [ i ])- 1 ) 		f = 1 		i += 1 	 if ( f ): 		 break 	i += 1 if ( f == 0 ): 	s [ len ( s )- 1 ]= 'z' print ( """" . join ( s ))",pln pun pln pun pln pun pln pun pln pun lit kwd pun pln pun pln pun pln pun pln kwd pun pln pun pln pun pln pun pln kwd pln pun pln pun str pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pln pun lit pln kwd pun pln pun pln kwd pln pun lit kwd pun pln pun lit pun pln pun pln pun pln pun lit pun str kwd pun str pun pln pun pln pun,140 ms,600 KB,708
23926436,2017/1/18 19:09,RUxenHxd,754A - Lesha and array splitting,Python 3,Accepted,18,100,"n  =  int ( input ()) A  =  list ( map ( int , input (). split ())) sumA  =  sum ( A ) if  sumA : 	 print ( 'YES' ) 	 print ( 1 ) 	 print ( 1 , n ) 	exit () for  x  in  range ( n ): 	sumA   -=  A [ x ] 	 if  sumA : 		 print ( 'YES' ) 		 print ( 2 ) 		 print ( 1 , x + 1 ) 		 print ( x + 2 , n ) 		 break else : 	 print ( 'NO' )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun pln kwd pun str pun pln kwd pun lit pun pln kwd pun lit pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln kwd pun str pun pln kwd pun lit pun pln kwd pun lit pun pln pun lit pun pln kwd pun pln pun lit pun pln pun pln kwd kwd pun pln kwd pun str pun,77 ms,4500 KB,754
65618536,2019/11/24 8:15,shiv1470#,803A - Maximal Binary Matrix,Python 3,Accepted,18,111,"n , k = map ( int , input (). split ()) if  k >( n * n ): 	 print (- 1 ) else : 	mat =[[ 0 ]* n  for  i  in  range ( n )] 	 for  i  in  range ( n ): 		 if  k == 0 : 			 break 		mat [ i ][ i ]= 1 		k -= 1 		 for  j  in  range ( i + 1 , n ): 			 if  k > 1 : 				mat [ i ][ j ]= 1 				mat [ j ][ i ]= 1 				k -= 2 #		print(mat,k) 	 for  i  in  mat : 		 print (* i )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun pln pun pln pun pln kwd pun lit pun kwd pun pln pun lit pun pln kwd pln kwd pln pun pln pun pln kwd pln kwd pln pun pln pun pln kwd pln pun lit pun pln kwd pln pun pln pun pln pun lit pln pun lit pln kwd pln kwd pln pun pln pun lit pun pln pun pln kwd pln pun lit pun pln pun pln pun pln pun lit pln pun pln pun pln pun lit pln pun lit com pln kwd pln kwd pln pun pln kwd pun pln pun,124 ms,900 KB,803
27689615,2017/6/9 16:10,frankbozar,813A - The Contest,Python 3,Accepted,9,58,"I = lambda :  map ( int ,  input (). split ()) I () n ,  a = sum ( I ()),   - 1 for  _  in  range (* I ()): 	l ,  r = I () 	 if  n <= r : 		a = max ( n ,  l ) 		 break print ( a )",pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln kwd kwd pun pln pun,61 ms,0 KB,813
75606538,2020/4/5 23:43,coderemite,839A - Arya and Bran,Python 3,Accepted,9,68,"_ , k = map ( int , input (). split ()) r , c = 0 , 0 for  x  in  map ( int , input (). split ()):   r += 1   c += x   d = min ( c , 8 )   c -= d ; k -= d    if  k < 1 : break print ([ r ,- 1 ][ k > 0 ])",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun lit kwd pln kwd pln pun pln pun pln pun pln pun pln pun lit pln pun pln pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pln kwd pln pun lit pun kwd kwd pun pln pun lit pun pln pun lit pun,108 ms,0 KB,839
33695547,2017/12/27 23:22,eugalt,909A - Generate Login,Python 3,Accepted,6,41,"f , s = input (). split () l = f [ 0 ] for  c  in  f [ 1 :]: 	 if  c >= s [ 0 ]: break 	l += c print ( l + s [ 0 ])",pln pun pln pun pln pun pln pun pln pun pln pun lit pun kwd pln kwd pln pun lit pun pln kwd pln pun pln pun lit pun kwd pln pun pln kwd pun pln pun pln pun lit pun,62 ms,5500 KB,909
79012161,2020/5/5 3:35,coderemite,910A - The Way to Home,Python 3,Accepted,12,67,"n , d = map ( int , input (). split ()) a = input () x = 0 r = 0 while  x != n - 1 :   y = a [: x + d + 1 ]. rfind ( '1' )    if  y == x :     r =- 1      break    else : x = y   r += 1 print ( r )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pln pun lit kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun lit pun pln pun str pun pln kwd pln pun pln pun pln pun lit pln kwd pln kwd pun pln pun pln pln pun lit kwd pun pln pun,109 ms,0 KB,910
36508528,2018/3/22 18:53,piyushkumarmaurya,929A - ПрокасEвелосE�педов,Python 3,Accepted,15,105,"n ,  k  =  input (). split (); n = int ( n ) k = int ( k ) b = 1 ; arr  =  input () l  =  list ( map ( int , arr . split ( ' ' ))) s = l [ 0 ] for  i  in  range ( 1 , n ):      if ( l [ i ]- s > k ):         if ( l [ i ]- l [ i - 1 ]> k ):            b =- 1             break        s = l [ i - 1 ]        b = b + 1 print ( b )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun lit pun kwd pln kwd pln pun lit pun pln pun pln kwd pun pln pun pln pun pln pun pln pun pln kwd pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pln kwd pln pun pln pun pln pun lit pun pln pun pln pun lit kwd pun pln pun,93 ms,6900 KB,929
35914920,2018/3/4 12:29,* vvd1705014532,944C - Peculiar apple-tree,Python 3,Accepted,15,105,"n ,  k  =  input (). split (); n = int ( n ) k = int ( k ) b = 1 ; arr  =  input () l  =  list ( map ( int , arr . split ( ' ' ))) s = l [ 0 ] for  i  in  range ( 1 , n ):      if ( l [ i ]- s > k ):         if ( l [ i ]- l [ i - 1 ]> k ):            b =- 1             break        s = l [ i - 1 ]        b = b + 1 print ( b )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun lit pun kwd pln kwd pln pun lit pun pln pun pln kwd pun pln pun pln pun pln pun pln pun pln kwd pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pln kwd pln pun pln pun pln pun lit pun pln pun pln pun lit kwd pun pln pun,202 ms,20500 KB,930
74380231,2020/3/26 14:30,aakarsh,949A - Zebras,Python 3,Accepted,28,158,"s = input () l =[] even =[] odd =[] f = 1 for  i  in  range ( len ( s )): 	 if  s [ i ]== '0' : 		 if  len ( even )!= 0 : 			ind = even . pop () 			l [ ind ]. append ( i + 1 ) 			odd . append ( ind ) 		 else : 			l . append ([ i + 1 ]) 			odd . append ( len ( l )- 1 ) 	 else : 		 if  len ( odd ): 			ind = odd . pop () 			l [ ind ]. append ( i + 1 ) 			even . append ( ind ) 		 else : 			f = 0 			 break if  f  and  len ( even )== 0 : 	 print ( len ( l )) 	 for  x  in  l : 		 print ( len ( x ),* x ) else : 	 print (- 1 )",pln pun pln pun pln pun pln pun pln pun pln pun lit kwd pln kwd pln pun pln pun pln pun pln kwd pln pun pln pun str pun pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln kwd pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun lit pun pln kwd pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln kwd pun pln pun lit pln kwd kwd pln kwd pln pun pln pun lit pun pln kwd pun pln pun pln pun pln kwd pln kwd pln pun pln kwd pun pln pun pln pun pln pun kwd pun pln kwd pun lit pun,842 ms,18900 KB,949
37749641,2018/4/30 16:54,eugalt,967A - Mind the Gap,Python 3,Accepted,8,68,"R = lambda : map ( int , input (). split ()) n , s = R () r = 0 for  _  in [ 0 ]* n :  h , m = R (); t = 60 * h + m   if  t > r + s : break  r = t + s + 1 print ( r // 60 , r % 60 )",pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit kwd pln kwd pun lit pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pln kwd pln pun pln pun pln pun kwd pln pun pln pun pln pun lit kwd pun pln pun lit pun pln pun lit pun,93 ms,6900 KB,967
