64878836,Nov/14/2019 13:54,vjudge1,931C - Laboratory Work,MS C++,Accepted,62 ms,400 KB,2019-11-14 13:54:00
35982993,Mar/06/2018 09:35,ianahao,931C - Laboratory Work,GNU C++14,Accepted,62 ms,2400 KB,2018-03-06 09:35:00
35948921,Mar/04/2018 22:48,Eldar_99,931C - Laboratory Work,GNU C++17,Accepted,186 ms,1900 KB,2018-03-04 22:48:00
36411961,Mar/19/2018 16:39,eryingzhang,931C - Laboratory Work,GNU C++,Accepted,62 ms,4000 KB,2018-03-19 16:39:00
35982911,Mar/06/2018 09:29,ianahao,931C - Laboratory Work,GNU C++14,Accepted,46 ms,2400 KB,2018-03-06 09:29:00
36267647,Mar/14/2018 10:34,abc473848880,931C - Laboratory Work,GNU C++14,Accepted,62 ms,2200 KB,2018-03-14 10:34:00
37600765,Apr/25/2018 17:50,we_dont_talk_anymore#,931C - Laboratory Work,GNU C++14,Accepted,187 ms,3700 KB,2018-04-25 17:50:00
36179717,Mar/11/2018 00:17,bula,931C - Laboratory Work,GNU C++11,Accepted,109 ms,2400 KB,2018-03-11 00:17:00
41378618,Aug/09/2018 03:18,vjudge4,944B - Laboratory Work,GNU C++11,Accepted,62 ms,400 KB,2018-08-09 03:18:00
35914988,Mar/04/2018 12:31,austrian_artist,944B - Laboratory Work,GNU C++14,Accepted,61 ms,2200 KB,2018-03-04 12:31:00
35939177,Mar/04/2018 19:43,DF000,931C - Laboratory Work,Python 3,Accepted,358 ms,12900 KB,2018-03-04 19:43:00
35942730,Mar/04/2018 20:11,aymanrasheed7,931C - Laboratory Work,GNU C++,Accepted,62 ms,2400 KB,2018-03-04 20:11:00
40014789,Jul/06/2018 03:47,jokergh#,931C - Laboratory Work,GNU C++,Accepted,62 ms,200 KB,2018-07-06 03:47:00
36042243,Mar/07/2018 14:42,BAACTREE#,931C - Laboratory Work,GNU C++14,Accepted,62 ms,2300 KB,2018-03-07 14:42:00
36916413,Apr/03/2018 19:41,DOUB7E,931C - Laboratory Work,GNU C++17,Accepted,93 ms,3700 KB,2018-04-03 19:41:00
35917162,Mar/04/2018 13:51,kek,944B - Laboratory Work,PyPy 3,Accepted,545 ms,31600 KB,2018-03-04 13:51:00
35939909,Mar/04/2018 19:48,bobba.surendra,931C - Laboratory Work,Ruby,Accepted,233 ms,24300 KB,2018-03-04 19:48:00
35951229,Mar/05/2018 00:19,and800,931C - Laboratory Work,Python 3,Accepted,170 ms,14200 KB,2018-03-05 00:19:00
36382715,Mar/18/2018 11:54,sthfornth,931C - Laboratory Work,GNU C++,Accepted,62 ms,3800 KB,2018-03-18 11:54:00
36688574,Mar/28/2018 13:02,dharmilp,931C - Laboratory Work,GNU C++,Accepted,295 ms,4500 KB,2018-03-28 13:02:00
41287316,Aug/07/2018 00:31,ylghou,931C - Laboratory Work,GNU C++17,Accepted,202 ms,400 KB,2018-08-07 00:31:00
35916358,Mar/04/2018 13:20,surokpro,944B - Laboratory Work,PyPy 3,Accepted,405 ms,29900 KB,2018-03-04 13:20:00
62537195,Oct/14/2019 02:54,chc_1234567890,931C - Laboratory Work,GNU C++11,Accepted,62 ms,400 KB,2019-10-14 02:54:00
62476402,Oct/13/2019 12:38,vjudge2,931C - Laboratory Work,GNU C++11,Accepted,62 ms,400 KB,2019-10-13 12:38:00
35962290,Mar/05/2018 13:50,Savit_Gupta,931C - Laboratory Work,Python 3,Accepted,311 ms,12900 KB,2018-03-05 13:50:00
66613520,Dec/11/2019 03:58,mola.mola,931C - Laboratory Work,PyPy 3,Accepted,295 ms,14500 KB,2019-12-11 03:58:00
41299396,Aug/07/2018 12:04,DEMOPON,944B - Laboratory Work,GNU C++14,Accepted,62 ms,700 KB,2018-08-07 12:04:00
67660883,Dec/26/2019 18:46,AbhiY13,931C - Laboratory Work,GNU C++17,Accepted,62 ms,400 KB,2019-12-26 18:46:00
36246757,Mar/13/2018 14:54,WLHW#,931C - Laboratory Work,GNU C++14,Accepted,46 ms,5800 KB,2018-03-13 14:54:00
36341395,Mar/17/2018 07:01,lkjfdsa,944B - Laboratory Work,GNU C++14,Accepted,62 ms,3700 KB,2018-03-17 07:01:00
35932202,Mar/04/2018 18:56,shad0w_walker,931C - Laboratory Work,GNU C++14,Accepted,62 ms,2200 KB,2018-03-04 18:56:00
35937873,Mar/04/2018 19:32,gaurav172,931C - Laboratory Work,GNU C++14,Accepted,202 ms,2600 KB,2018-03-04 19:32:00
41378584,Aug/09/2018 03:16,Fuko_Ibuki,944B - Laboratory Work,GNU C++11,Accepted,77 ms,400 KB,2018-08-09 03:16:00
37533323,Apr/22/2018 15:41,humveea6,931C - Laboratory Work,GNU C++14,Accepted,62 ms,3600 KB,2018-04-22 15:41:00
36435567,Mar/20/2018 17:32,lmarioza,931C - Laboratory Work,GNU C++14,Accepted,62 ms,3300 KB,2018-03-20 17:32:00
78645183,May/01/2020 13:45,Zabiyaka,931C - Laboratory Work,GNU C++14,Accepted,62 ms,1200 KB,2020-05-01 13:45:00
35992213,Mar/06/2018 15:56,quantu_zo,931C - Laboratory Work,GNU C++14,Accepted,202 ms,2600 KB,2018-03-06 15:56:00
35947115,Mar/04/2018 21:51,vestovia,931C - Laboratory Work,GNU C++14,Accepted,202 ms,2600 KB,2018-03-04 21:51:00
35938819,Mar/04/2018 19:39,hlv_x86,931C - Laboratory Work,GNU C++11,Accepted,140 ms,2400 KB,2018-03-04 19:39:00
