1504282,Apr/08/2012 22:01,Kelang,174B - File List,Python 2,Accepted,220 ms,11800 KB,2012-04-08 22:01:00
1570397,Apr/18/2012 15:46,4ybakut2004,174B - File List,Python 2,Accepted,390 ms,9200 KB,2012-04-18 15:46:00
1516460,Apr/13/2012 05:36,TSZWL,174B - File List,FPC,Accepted,60 ms,1800 KB,2012-04-13 05:36:00
50323744,Feb/22/2019 18:36,vjudge2,174B - File List,Python 2,Accepted,684 ms,5600 KB,2019-02-22 18:36:00
1507766,Apr/09/2012 23:18,kachayev,174B - File List,Python 2,Accepted,630 ms,17400 KB,2012-04-09 23:18:00
1516466,Apr/13/2012 05:43,sunmeng94,174B - File List,FPC,Accepted,60 ms,1800 KB,2012-04-13 05:43:00
1504358,Apr/08/2012 22:06,igh,174B - File List,Python 2,Accepted,310 ms,8800 KB,2012-04-08 22:06:00
1500216,Apr/08/2012 19:43,shankyboy,174B - File List,Python 2,Accepted,330 ms,7300 KB,2012-04-08 19:43:00
64512275,Nov/08/2019 12:14,Annvv,174B - File List,Python 3,Accepted,1090 ms,6900 KB,2019-11-08 12:14:00
1499761,Apr/08/2012 19:34,catupper,174B - File List,Python 2,Accepted,520 ms,9700 KB,2012-04-08 19:34:00
49191227,Jan/30/2019 11:19,vjudge1,174B - File List,GNU C++11,Accepted,92 ms,800 KB,2019-01-30 11:19:00
28736566,Jul/21/2017 04:47,yzf,174B - File List,GNU C++,Accepted,342 ms,4600 KB,2017-07-21 04:47:00
59936018,Sep/03/2019 12:30,harshit2309,174B - File List,GNU C++14,Accepted,186 ms,2600 KB,2019-09-03 12:30:00
21218026,Oct/05/2016 20:35,ITDOI#,174B - File List,GNU C++11,Accepted,374 ms,2500 KB,2016-10-05 20:35:00
74905223,Mar/31/2020 12:29,dk1108,174B - File List,GNU C++17,Accepted,218 ms,2800 KB,2020-03-31 12:29:00
55073953,Jun/04/2019 10:39,anshuman16423,174B - File List,Python 2,Accepted,560 ms,7200 KB,2019-06-04 10:39:00
15761371,Feb/03/2016 06:12,nysanier,174B - File List,PyPy 3,Accepted,1090 ms,13800 KB,2016-02-03 06:12:00
42682183,Sep/08/2018 20:04,Kianaz.A,174B - File List,GNU C++14,Accepted,842 ms,4100 KB,2018-09-08 20:04:00
64567891,Nov/09/2019 11:11,UTMoonlight,174B - File List,PyPy 3,Accepted,560 ms,14200 KB,2019-11-09 11:11:00
24323133,Jan/31/2017 21:08,yashar_sb_sb#,174B - File List,PyPy 3,Accepted,496 ms,34400 KB,2017-01-31 21:08:00
49191895,Jan/30/2019 11:36,akonoh_kawaii,174B - File List,GNU C++17,Accepted,124 ms,1000 KB,2019-01-30 11:36:00
66436141,Dec/07/2019 09:15,warrewhgwagw,174B - File List,GNU C++11,Accepted,124 ms,800 KB,2019-12-07 09:15:00
1511142,Apr/12/2012 14:04,JalbaRu,174B - File List,MS C++,Accepted,170 ms,8200 KB,2012-04-12 14:04:00
2236510,Sep/24/2012 14:45,xyzzy121,174B - File List,GNU C++,Accepted,218 ms,2400 KB,2012-09-24 14:45:00
24984772,Feb/24/2017 17:19,vjudge5,174B - File List,GNU C++,Accepted,92 ms,2200 KB,2017-02-24 17:19:00
50163244,Feb/19/2019 16:31,ashok123,174B - File List,Python 3,Accepted,1808 ms,7300 KB,2019-02-19 16:31:00
1500884,Apr/08/2012 19:56,Balmer,174B - File List,Python 2,Accepted,480 ms,8800 KB,2012-04-08 19:56:00
7240394,Jul/25/2014 12:54,Vlad_kv,174B - File List,GNU C++,Accepted,62 ms,2100 KB,2014-07-25 12:54:00
1505474,Apr/09/2012 02:27,mengxm,174B - File List,GNU C++,Accepted,80 ms,1700 KB,2012-04-09 02:27:00
1942035,Jul/26/2012 18:23,cup_of_tea,174B - File List,GNU C++,Accepted,60 ms,1800 KB,2012-07-26 18:23:00
5620665,Jan/05/2014 12:39,PSDEV,174B - File List,GNU C++,Accepted,62 ms,400 KB,2014-01-05 12:39:00
63831892,Oct/30/2019 16:52,paobing,174B - File List,GNU C++11,Accepted,622 ms,2000 KB,2019-10-30 16:52:00
1501869,Apr/08/2012 20:21,skg,174B - File List,GNU C++,Accepted,80 ms,1700 KB,2012-04-08 20:21:00
14172295,Nov/09/2015 17:31,130705009,174B - File List,GNU C++,Accepted,92 ms,200 KB,2015-11-09 17:31:00
1504539,Apr/08/2012 22:19,ItsLastDay,174B - File List,Python 2,Accepted,580 ms,13100 KB,2012-04-08 22:19:00
49186320,Jan/30/2019 09:14,vjudge5,174B - File List,MS C++,Accepted,154 ms,1700 KB,2019-01-30 09:14:00
32074786,Nov/05/2017 14:32,vjudge2,174B - File List,GNU C++,Accepted,810 ms,2500 KB,2017-11-05 14:32:00
49201864,Jan/30/2019 15:41,vjudge5,174B - File List,GNU C++11,Accepted,92 ms,2000 KB,2019-01-30 15:41:00
1516540,Apr/13/2012 07:31,atubo,174B - File List,Python 2,Accepted,800 ms,7400 KB,2012-04-13 07:31:00
79284542,May/07/2020 17:16,djgdryiugiytsirug,174B - File List,MS C++ 2017,Accepted,904 ms,4900 KB,2020-05-07 17:16:00
79291400,May/07/2020 17:31,stud114751,174B - File List,MS C++ 2017,Accepted,904 ms,4900 KB,2020-05-07 17:31:00
