70408735,Feb/06/2020 07:01,yzyejh,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2020-02-06 07:01:00
70434620,Feb/06/2020 15:33,spiderman666,24B - F1 Champions,GNU C++17,Accepted,62 ms,400 KB,2020-02-06 15:33:00
33073550,Dec/10/2017 09:20,InvisibleCyclist,24B - F1 Champions,GNU C++14,Accepted,30 ms,2300 KB,2017-12-10 09:20:00
33073875,Dec/10/2017 09:41,chenyiheng,24B - F1 Champions,GNU C++,Accepted,30 ms,2300 KB,2017-12-10 09:41:00
43813039,Oct/05/2018 05:49,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-10-05 05:49:00
33330201,Dec/17/2017 09:17,happysam,24B - F1 Champions,GNU C++,Accepted,30 ms,2300 KB,2017-12-17 09:17:00
33077653,Dec/10/2017 13:21,hjx_bravery,24B - F1 Champions,GNU C++14,Accepted,30 ms,2200 KB,2017-12-10 13:21:00
102282,Jul/26/2010 17:58,biochem_fan,24B - F1 Champions,Ruby,Accepted,60 ms,4000 KB,2010-07-26 17:58:00
25572601,Mar/17/2017 15:49,hpfdf#,24B - F1 Champions,GNU C++11,Accepted,30 ms,2100 KB,2017-03-17 15:49:00
41329523,Aug/08/2018 10:54,felmid,24B - F1 Champions,GNU C++11,Accepted,60 ms,300 KB,2018-08-08 10:54:00
56691000,Jul/08/2019 06:47,luogu_bot2,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2019-07-08 06:47:00
56691017,Jul/08/2019 06:48,Liyi1,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2019-07-08 06:48:00
33074131,Dec/10/2017 09:55,JessicaLee,24B - F1 Champions,GNU C++14,Accepted,62 ms,2300 KB,2017-12-10 09:55:00
41390187,Aug/09/2018 11:04,felmid,24B - F1 Champions,GNU C++11,Accepted,186 ms,400 KB,2018-08-09 11:04:00
33074855,Dec/10/2017 10:41,handsomef,24B - F1 Champions,GNU C++,Accepted,62 ms,2500 KB,2017-12-10 10:41:00
33073833,Dec/10/2017 09:38,alizhou,24B - F1 Champions,GNU C++,Accepted,30 ms,2300 KB,2017-12-10 09:38:00
77999556,Apr/25/2020 11:50,vjudge2,24B - F1 Champions,GNU C++11,Accepted,62 ms,500 KB,2020-04-25 11:50:00
5271134,Nov/27/2013 15:26,yeyuchen,24B - F1 Champions,GNU C++,Accepted,30 ms,200 KB,2013-11-27 15:26:00
7482680,Aug/16/2014 14:42,tarek_b_s,24B - F1 Champions,GNU C++,Accepted,30 ms,200 KB,2014-08-16 14:42:00
43811774,Oct/05/2018 04:33,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2018-10-05 04:33:00
69968002,Feb/01/2020 16:10,kchau,24B - F1 Champions,PyPy 3,Accepted,342 ms,1500 KB,2020-02-01 16:10:00
64098352,Nov/02/2019 17:38,lovdon,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2019-11-02 17:38:00
56689526,Jul/08/2019 05:39,luogu_bot4,24B - F1 Champions,GNU C++11,Accepted,62 ms,200 KB,2019-07-08 05:39:00
