66650956,Dec/11/2019 22:04,mhdizmnn,137B - Permutation,Python 3,Accepted,248 ms,1000 KB,2019-12-11 22:04:00
28175338,Jun/30/2017 17:52,dbhrockzz,137B - Permutation,Python 2,Accepted,92 ms,5000 KB,2017-06-30 17:52:00
71651144,Feb/23/2020 10:54,elmoiv,137B - Permutation,PyPy 2,Accepted,312 ms,200 KB,2020-02-23 10:54:00
54860958,May/31/2019 04:45,franckmy,137B - Permutation,Python 2,Accepted,372 ms,400 KB,2019-05-31 04:45:00
58877374,Aug/15/2019 21:38,FumeiYaziwa,137B - Permutation,PyPy 3,Accepted,310 ms,1800 KB,2019-08-15 21:38:00
1044217,Jan/13/2012 23:20,urbn,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2012-01-13 23:20:00
7114844,Jul/16/2014 13:17,Bubbler,137B - Permutation,Python 2,Accepted,124 ms,600 KB,2014-07-16 13:17:00
75272800,Apr/02/2020 20:42,vjudge2,137B - Permutation,Python 3,Accepted,218 ms,1200 KB,2020-04-02 20:42:00
71650938,Feb/23/2020 10:50,elmoiv,137B - Permutation,PyPy 3,Accepted,310 ms,1600 KB,2020-02-23 10:50:00
957743,Dec/16/2011 10:08,* Martial,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2011-12-16 10:08:00
961330,Dec/16/2011 11:32,orsenthil,137B - Permutation,Python 2,Accepted,80 ms,3200 KB,2011-12-16 11:32:00
71631747,Feb/22/2020 22:51,elmoiv,137B - Permutation,Python 3,Accepted,218 ms,1200 KB,2020-02-22 22:51:00
38999078,Jun/06/2018 18:55,justSolve,137B - Permutation,PyPy 3,Accepted,248 ms,400 KB,2018-06-06 18:55:00
1044225,Jan/13/2012 23:24,urbn,137B - Permutation,Python 2,Accepted,60 ms,3200 KB,2012-01-13 23:24:00
1355082,Mar/13/2012 18:37,yoshibo-,137B - Permutation,Haskell,Accepted,330 ms,3100 KB,2012-03-13 18:37:00
55996233,Jun/24/2019 13:35,vgzelda123,137B - Permutation,Python 3,Accepted,778 ms,300 KB,2019-06-24 13:35:00
5743206,Jan/20/2014 03:51,sunhong,137B - Permutation,Python 3,Accepted,124 ms,600 KB,2014-01-20 03:51:00
959241,Dec/16/2011 10:29,TempuX,137B - Permutation,Python 2,Accepted,1140 ms,3100 KB,2011-12-16 10:29:00
35806233,Mar/01/2018 11:40,Bamal,137B - Permutation,Python 3,Accepted,840 ms,5800 KB,2018-03-01 11:40:00
962722,Dec/16/2011 14:06,rexim,137B - Permutation,Haskell,Accepted,60 ms,3100 KB,2011-12-16 14:06:00
4643806,Oct/02/2013 21:04,yugle7,137B - Permutation,Python 3,Accepted,124 ms,300 KB,2013-10-02 21:04:00
21648603,Oct/21/2016 20:27,ray1246,137B - Permutation,Python 3,Accepted,124 ms,400 KB,2016-10-21 20:27:00
74247610,Mar/25/2020 03:35,faiz_hasan11,137B - Permutation,Python 3,Accepted,904 ms,300 KB,2020-03-25 03:35:00
74556375,Mar/27/2020 15:20,code_marshal,137B - Permutation,PyPy 2,Accepted,248 ms,200 KB,2020-03-27 15:20:00
66072226,Nov/30/2019 23:10,Anus1373,137B - Permutation,GNU C++14,Accepted,60 ms,0 KB,2019-11-30 23:10:00
963294,Dec/16/2011 16:55,wysoviet,137B - Permutation,Haskell,Accepted,60 ms,3100 KB,2011-12-16 16:55:00
967683,Dec/19/2011 09:56,tmiyamon,137B - Permutation,Ruby,Accepted,110 ms,5800 KB,2011-12-19 09:56:00
8300796,Oct/19/2014 10:48,belowthebelt,137B - Permutation,Python 2,Accepted,154 ms,400 KB,2014-10-19 10:48:00
1479908,Apr/06/2012 17:12,satoshii,137B - Permutation,Ruby,Accepted,1640 ms,5600 KB,2012-04-06 17:12:00
1479933,Apr/06/2012 17:39,satoshii,137B - Permutation,Ruby,Accepted,1750 ms,5600 KB,2012-04-06 17:39:00
3040701,Jan/31/2013 17:12,Vint325,137B - Permutation,Python 2,Accepted,718 ms,400 KB,2013-01-31 17:12:00
3539543,Apr/15/2013 09:15,hs484,137B - Permutation,Python 2,Accepted,46 ms,400 KB,2013-04-15 09:15:00
8074150,Oct/04/2014 08:28,minimario,137B - Permutation,Python 3,Accepted,124 ms,400 KB,2014-10-04 08:28:00
3409946,Mar/27/2013 04:06,Cracel,137B - Permutation,Python 2,Accepted,46 ms,400 KB,2013-03-27 04:06:00
74352558,Mar/26/2020 08:17,KARTHIK26,137B - Permutation,Python 3,Accepted,778 ms,300 KB,2020-03-26 08:17:00
958036,Dec/16/2011 10:11,* bjin,137B - Permutation,Haskell,Accepted,80 ms,3100 KB,2011-12-16 10:11:00
967131,Dec/18/2011 19:51,ItsLastDay#,137B - Permutation,Python 2,Accepted,60 ms,3100 KB,2011-12-18 19:51:00
7190435,Jul/21/2014 07:19,AbdoA2,137B - Permutation,Python 3,Accepted,124 ms,300 KB,2014-07-21 07:19:00
8296540,Oct/18/2014 22:14,mathturbator,137B - Permutation,Python 2,Accepted,186 ms,400 KB,2014-10-18 22:14:00
49240775,Jan/31/2019 13:11,galim665,137B - Permutation,Python 3,Accepted,248 ms,300 KB,2019-01-31 13:11:00
4074414,Jul/15/2013 13:42,vjudge3,137B - Permutation,Python 2,Accepted,62 ms,400 KB,2013-07-15 13:42:00
