15033734,Dec/26/2015 18:14,PROmokashka#,612B - HDD is Outdated Technology,Python 3,Accepted,249 ms,13900 KB,2015-12-26 18:14:00
31529806,Oct/20/2017 13:42,misha_sh,612B - HDD is Outdated Technology,Python 3,Accepted,389 ms,30400 KB,2017-10-20 13:42:00
74145685,Mar/23/2020 23:37,biceps,612B - HDD is Outdated Technology,Python 3,Accepted,327 ms,24200 KB,2020-03-23 23:37:00
16339503,Feb/26/2016 05:26,scorpion,612B - HDD is Outdated Technology,Python 3,Accepted,233 ms,14400 KB,2016-02-26 05:26:00
16339505,Feb/26/2016 05:26,scorpion,612B - HDD is Outdated Technology,PyPy 3,Accepted,280 ms,15400 KB,2016-02-26 05:26:00
69505660,Jan/25/2020 11:29,ziddi,612B - HDD is Outdated Technology,Python 3,Accepted,312 ms,19100 KB,2020-01-25 11:29:00
15018808,Dec/25/2015 19:57,vasanthaganesh,612B - HDD is Outdated Technology,Python 2,Accepted,311 ms,24400 KB,2015-12-25 19:57:00
24724145,Feb/16/2017 21:18,xenial_knight,612B - HDD is Outdated Technology,Python 3,Accepted,374 ms,18400 KB,2017-02-16 21:18:00
15013815,Dec/25/2015 18:52,zafar11235,612B - HDD is Outdated Technology,Python 2,Accepted,280 ms,16300 KB,2015-12-25 18:52:00
15015298,Dec/25/2015 19:07,Vosatorp,612B - HDD is Outdated Technology,Python 3,Accepted,249 ms,13900 KB,2015-12-25 19:07:00
35852433,Mar/02/2018 21:45,petiteteaparty#,612B - HDD is Outdated Technology,Python 3,Accepted,295 ms,23200 KB,2018-03-02 21:45:00
15089800,Dec/29/2015 22:56,sarathi.n,612B - HDD is Outdated Technology,Python 3,Accepted,264 ms,18000 KB,2015-12-29 22:56:00
15035108,Dec/26/2015 20:09,cs10115n1500011781,612B - HDD is Outdated Technology,Python 3,Accepted,264 ms,13900 KB,2015-12-26 20:09:00
62678023,Oct/16/2019 15:00,Annvv,612B - HDD is Outdated Technology,Python 3,Accepted,342 ms,17800 KB,2019-10-16 15:00:00
15030828,Dec/26/2015 14:29,electro,612B - HDD is Outdated Technology,Python 2,Accepted,249 ms,10800 KB,2015-12-26 14:29:00
15172717,Jan/03/2016 23:34,abhishekgarg,612B - HDD is Outdated Technology,Python 2,Accepted,280 ms,15100 KB,2016-01-03 23:34:00
37795395,May/01/2018 13:37,kkatie,612B - HDD is Outdated Technology,Python 3,Accepted,358 ms,21100 KB,2018-05-01 13:37:00
15029193,Dec/26/2015 12:26,tangjunchen,612B - HDD is Outdated Technology,Python 3,Accepted,748 ms,27000 KB,2015-12-26 12:26:00
