52514288,Apr/09/2019 06:40,fmrozaqi,98B - Help King,GNU C++11,Accepted,840 ms,100 KB,2019-04-09 06:40:00
52514277,Apr/09/2019 06:39,fmrozaqi,98B - Help King,GNU C++11,Accepted,840 ms,100 KB,2019-04-09 06:39:00
52514260,Apr/09/2019 06:38,fmrozaqi,98B - Help King,GNU C++11,Accepted,810 ms,100 KB,2019-04-09 06:38:00
70476731,Feb/07/2020 07:09,big_tq,98B - Help King,GNU C++11,Accepted,842 ms,100 KB,2020-02-07 07:09:00
72727157,Mar/08/2020 15:09,lxrtxdy,98B - Help King,GNU C++11,Accepted,842 ms,100 KB,2020-03-08 15:09:00
3856625,Jun/11/2013 12:54,zhj,98B - Help King,GNU C++,Accepted,750 ms,200 KB,2013-06-11 12:54:00
15316605,Jan/12/2016 17:04,sid02,98B - Help King,GNU C++11,Accepted,1340 ms,100 KB,2016-01-12 17:04:00
38334818,May/17/2018 02:39,DeshiBasara,98B - Help King,GNU C++14,Accepted,966 ms,3500 KB,2018-05-17 02:39:00
1099332,Jan/21/2012 18:43,Komaki,98B - Help King,GNU C++,Accepted,1420 ms,121300 KB,2012-01-21 18:43:00
42900388,Sep/15/2018 21:36,ivanilos,98B - Help King,Python 3,Accepted,1122 ms,1400 KB,2018-09-15 21:36:00
567764,Jul/28/2011 02:49,Kenny_HORROR,98B - Help King,Java 6,Accepted,390 ms,42200 KB,2011-07-28 02:49:00
46465089,Dec/02/2018 04:55,.vr,98B - Help King,Java 8,Accepted,1558 ms,0 KB,2018-12-02 04:55:00
935604,Dec/08/2011 17:03,Marloc,98B - Help King,Java 6,Accepted,480 ms,34700 KB,2011-12-08 17:03:00
67731896,Dec/27/2019 18:49,mota_haathi,98B - Help King,GNU C++14,Accepted,248 ms,0 KB,2019-12-27 18:49:00
66084331,Dec/01/2019 06:18,rfpermen,98B - Help King,GNU C++14,Accepted,248 ms,300 KB,2019-12-01 06:18:00
984463,Dec/25/2011 07:15,wayne-ho,98B - Help King,GNU C++,Accepted,270 ms,1400 KB,2011-12-25 07:15:00
985207,Dec/25/2011 14:32,waterkid,98B - Help King,FPC,Accepted,1000 ms,1100 KB,2011-12-25 14:32:00
567676,Jul/27/2011 23:56,Connector,98B - Help King,Java 6,Accepted,1250 ms,86500 KB,2011-07-27 23:56:00
57466370,Jul/21/2019 18:45,upobir,98B - Help King,GNU C++14,Accepted,1590 ms,200 KB,2019-07-21 18:45:00
57467717,Jul/21/2019 19:22,upobir,98B - Help King,GNU C++14,Accepted,278 ms,200 KB,2019-07-21 19:22:00
568267,Jul/28/2011 16:30,goryinyich,99D - Help King,Java 6,Accepted,340 ms,42100 KB,2011-07-28 16:30:00
40920465,Jul/29/2018 17:22,zhouyuyang,98B - Help King,GNU C++11,Accepted,810 ms,100 KB,2018-07-29 17:22:00
33612098,Dec/25/2017 11:47,Ahnaf.Shahriar.Asif,98B - Help King,GNU C++14,Accepted,966 ms,2100 KB,2017-12-25 11:47:00
14707118,Dec/09/2015 09:43,-snowman-,98B - Help King,GNU C++,Accepted,966 ms,100 KB,2015-12-09 09:43:00
31631735,Oct/23/2017 17:07,hahavodox,98B - Help King,GNU C++14,Accepted,966 ms,2100 KB,2017-10-23 17:07:00
23671525,Jan/10/2017 00:49,Ali.Pi,98B - Help King,GNU C++14,Accepted,966 ms,2100 KB,2017-01-10 00:49:00
23671526,Jan/10/2017 00:49,Ali.Pi,99D - Help King,GNU C++14,Accepted,998 ms,2100 KB,2017-01-10 00:49:00
16829914,Mar/20/2016 05:06,freebsdx,98B - Help King,GNU C++11,Accepted,998 ms,2200 KB,2016-03-20 05:06:00
14193336,Nov/11/2015 10:16,130705009,98B - Help King,GNU C++,Accepted,966 ms,100 KB,2015-11-11 10:16:00
52514288,Apr/09/2019 06:40,fmrozaqi,98B - Help King,GNU C++11,Accepted,840 ms,100 KB,2019-04-09 06:40:00
52514277,Apr/09/2019 06:39,fmrozaqi,98B - Help King,GNU C++11,Accepted,840 ms,100 KB,2019-04-09 06:39:00
52514260,Apr/09/2019 06:38,fmrozaqi,98B - Help King,GNU C++11,Accepted,810 ms,100 KB,2019-04-09 06:38:00
70476731,Feb/07/2020 07:09,big_tq,98B - Help King,GNU C++11,Accepted,842 ms,100 KB,2020-02-07 07:09:00
72727157,Mar/08/2020 15:09,lxrtxdy,98B - Help King,GNU C++11,Accepted,842 ms,100 KB,2020-03-08 15:09:00
3856625,Jun/11/2013 12:54,zhj,98B - Help King,GNU C++,Accepted,750 ms,200 KB,2013-06-11 12:54:00
15316605,Jan/12/2016 17:04,sid02,98B - Help King,GNU C++11,Accepted,1340 ms,100 KB,2016-01-12 17:04:00
38334818,May/17/2018 02:39,DeshiBasara,98B - Help King,GNU C++14,Accepted,966 ms,3500 KB,2018-05-17 02:39:00
1099332,Jan/21/2012 18:43,Komaki,98B - Help King,GNU C++,Accepted,1420 ms,121300 KB,2012-01-21 18:43:00
42900388,Sep/15/2018 21:36,ivanilos,98B - Help King,Python 3,Accepted,1122 ms,1400 KB,2018-09-15 21:36:00
567764,Jul/28/2011 02:49,Kenny_HORROR,98B - Help King,Java 6,Accepted,390 ms,42200 KB,2011-07-28 02:49:00
46465089,Dec/02/2018 04:55,.vr,98B - Help King,Java 8,Accepted,1558 ms,0 KB,2018-12-02 04:55:00
935604,Dec/08/2011 17:03,Marloc,98B - Help King,Java 6,Accepted,480 ms,34700 KB,2011-12-08 17:03:00
67731896,Dec/27/2019 18:49,mota_haathi,98B - Help King,GNU C++14,Accepted,248 ms,0 KB,2019-12-27 18:49:00
66084331,Dec/01/2019 06:18,rfpermen,98B - Help King,GNU C++14,Accepted,248 ms,300 KB,2019-12-01 06:18:00
984463,Dec/25/2011 07:15,wayne-ho,98B - Help King,GNU C++,Accepted,270 ms,1400 KB,2011-12-25 07:15:00
985207,Dec/25/2011 14:32,waterkid,98B - Help King,FPC,Accepted,1000 ms,1100 KB,2011-12-25 14:32:00
567676,Jul/27/2011 23:56,Connector,98B - Help King,Java 6,Accepted,1250 ms,86500 KB,2011-07-27 23:56:00
57466370,Jul/21/2019 18:45,upobir,98B - Help King,GNU C++14,Accepted,1590 ms,200 KB,2019-07-21 18:45:00
57467717,Jul/21/2019 19:22,upobir,98B - Help King,GNU C++14,Accepted,278 ms,200 KB,2019-07-21 19:22:00
568267,Jul/28/2011 16:30,goryinyich,99D - Help King,Java 6,Accepted,340 ms,42100 KB,2011-07-28 16:30:00
40920465,Jul/29/2018 17:22,zhouyuyang,98B - Help King,GNU C++11,Accepted,810 ms,100 KB,2018-07-29 17:22:00
33612098,Dec/25/2017 11:47,Ahnaf.Shahriar.Asif,98B - Help King,GNU C++14,Accepted,966 ms,2100 KB,2017-12-25 11:47:00
14707118,Dec/09/2015 09:43,-snowman-,98B - Help King,GNU C++,Accepted,966 ms,100 KB,2015-12-09 09:43:00
31631735,Oct/23/2017 17:07,hahavodox,98B - Help King,GNU C++14,Accepted,966 ms,2100 KB,2017-10-23 17:07:00
23671525,Jan/10/2017 00:49,Ali.Pi,98B - Help King,GNU C++14,Accepted,966 ms,2100 KB,2017-01-10 00:49:00
23671526,Jan/10/2017 00:49,Ali.Pi,99D - Help King,GNU C++14,Accepted,998 ms,2100 KB,2017-01-10 00:49:00
16829914,Mar/20/2016 05:06,freebsdx,98B - Help King,GNU C++11,Accepted,998 ms,2200 KB,2016-03-20 05:06:00
