13709009,Oct/18/2015 11:18,vjudge4,571B - Minimization,GNU C++,Accepted,140 ms,99400 KB,2015-10-18 11:18:00
12741148,Aug/29/2015 12:23,zyf940104357,571B - Minimization,GNU C++,Accepted,140 ms,99400 KB,2015-08-29 12:23:00
24669244,Feb/14/2017 15:19,nudun001,571B - Minimization,GNU C++,Accepted,187 ms,101400 KB,2017-02-14 15:19:00
71218654,Feb/16/2020 14:27,Liah,571B - Minimization,GNU C++11,Accepted,389 ms,198400 KB,2020-02-16 14:27:00
12654657,Aug/22/2015 20:22,clq111111,571B - Minimization,GNU C++11,Accepted,982 ms,200200 KB,2015-08-22 20:22:00
71218663,Feb/16/2020 14:28,vjudge3,571B - Minimization,GNU C++11,Accepted,373 ms,198400 KB,2020-02-16 14:28:00
12686434,Aug/24/2015 19:19,Kuzey,572D - Minimization,GNU C++,Accepted,312 ms,198100 KB,2015-08-24 19:19:00
18281189,Jun/07/2016 11:49,szawinis,571B - Minimization,GNU C++11,Accepted,186 ms,199100 KB,2016-06-07 11:49:00
12692792,Aug/25/2015 10:55,Kuzey,571B - Minimization,GNU C++,Accepted,311 ms,198100 KB,2015-08-25 10:55:00
45885395,Nov/17/2018 18:46,vjudge1,571B - Minimization,GNU C++11,Accepted,218 ms,200600 KB,2018-11-17 18:46:00
12667811,Aug/23/2015 06:53,kdh9949,571B - Minimization,GNU C++11,Accepted,156 ms,198600 KB,2015-08-23 06:53:00
14030630,Nov/02/2015 19:33,I_love_code,571B - Minimization,GNU C++11,Accepted,312 ms,243900 KB,2015-11-02 19:33:00
19710161,Aug/07/2016 19:04,vjudge3,571B - Minimization,GNU C++11,Accepted,358 ms,245900 KB,2016-08-07 19:04:00
14116740,Nov/07/2015 08:10,vjudge2,571B - Minimization,GNU C++,Accepted,327 ms,243900 KB,2015-11-07 08:10:00
14207317,Nov/12/2015 07:04,vjudge1,571B - Minimization,GNU C++11,Accepted,358 ms,243900 KB,2015-11-12 07:04:00
56877792,Jul/12/2019 12:00,vjudge2,572D - Minimization,GNU C++14,Accepted,139 ms,99100 KB,2019-07-12 12:00:00
56877837,Jul/12/2019 12:01,vjudge2,571B - Minimization,GNU C++17,Accepted,140 ms,99100 KB,2019-07-12 12:01:00
12685323,Aug/24/2015 17:23,smallling,571B - Minimization,GNU C++,Accepted,311 ms,197500 KB,2015-08-24 17:23:00
12651835,Aug/22/2015 20:06,aaaaajack,571B - Minimization,GNU C++,Accepted,124 ms,99200 KB,2015-08-22 20:06:00
34089525,Jan/11/2018 17:09,viratian_070,571B - Minimization,GNU C++14,Accepted,187 ms,101300 KB,2018-01-11 17:09:00
30899717,Oct/01/2017 08:55,vjudge5,571B - Minimization,GNU C++,Accepted,826 ms,239100 KB,2017-10-01 08:55:00
32092203,Nov/06/2017 14:13,4l5n3,571B - Minimization,GNU C++14,Accepted,280 ms,27400 KB,2017-11-06 14:13:00
17220894,Apr/08/2016 06:01,ZeminJiang,571B - Minimization,GNU C++11,Accepted,264 ms,201000 KB,2016-04-08 06:01:00
30899372,Oct/01/2017 08:39,BackOnTrack,571B - Minimization,GNU C++14,Accepted,139 ms,142500 KB,2017-10-01 08:39:00
29236386,Aug/06/2017 11:22,vjudge5,571B - Minimization,GNU C++,Accepted,779 ms,101400 KB,2017-08-06 11:22:00
56947263,Jul/13/2019 02:32,vjudge2,571B - Minimization,GNU C++14,Accepted,218 ms,196900 KB,2019-07-13 02:32:00
29236368,Aug/06/2017 11:21,littleming,571B - Minimization,GNU C++,Accepted,764 ms,101400 KB,2017-08-06 11:21:00
12656537,Aug/22/2015 20:35,wakaka,571B - Minimization,GNU C++11,Accepted,187 ms,197300 KB,2015-08-22 20:35:00
30910803,Oct/01/2017 17:01,bestqnl,572D - Minimization,GNU C++14,Accepted,670 ms,99000 KB,2017-10-01 17:01:00
32090556,Nov/06/2017 12:34,4l5n3,571B - Minimization,GNU C++14,Accepted,280 ms,27300 KB,2017-11-06 12:34:00
12660009,Aug/22/2015 21:04,shad0w_walker,571B - Minimization,GNU C++11,Accepted,109 ms,99400 KB,2015-08-22 21:04:00
12683929,Aug/24/2015 15:16,fwm94,571B - Minimization,GNU C++11,Accepted,249 ms,198800 KB,2015-08-24 15:16:00
31981029,Nov/02/2017 16:14,lqs2015,571B - Minimization,GNU C++11,Accepted,109 ms,122100 KB,2017-11-02 16:14:00
