455151,May/14/2011 18:55,Ra16bit,83B - Doctor,GNU C++,Accepted,80 ms,2100 KB,2011-05-14 18:55:00
67693658,Dec/27/2019 15:13,mota_haathi,83B - Doctor,GNU C++14,Accepted,404 ms,400 KB,2019-12-27 15:13:00
455787,May/15/2011 10:36,pedrolc,84D - Doctor,MS C++,Accepted,90 ms,2900 KB,2011-05-15 10:36:00
470911,May/27/2011 10:55,AcFast,83B - Doctor,GNU C++,Accepted,90 ms,2100 KB,2011-05-27 10:55:00
447475,May/13/2011 19:25,watashi,83B - Doctor,GNU C++,Accepted,220 ms,1800 KB,2011-05-13 19:25:00
46267463,Nov/27/2018 07:50,Marinkovic,83B - Doctor,GNU C++11,Accepted,186 ms,1600 KB,2018-11-27 07:50:00
14360748,Nov/20/2015 16:47,yarak,84D - Doctor,GNU C++11,Accepted,560 ms,1600 KB,2015-11-20 16:47:00
26315196,Apr/12/2017 13:44,Isfandiyor,84D - Doctor,GNU C++11,Accepted,124 ms,5600 KB,2017-04-12 13:44:00
16717259,Mar/14/2016 18:46,vjudge3,83B - Doctor,GNU C++,Accepted,92 ms,1000 KB,2016-03-14 18:46:00
1888693,Jul/11/2012 20:34,renisfan,83B - Doctor,GNU C++,Accepted,80 ms,2200 KB,2012-07-11 20:34:00
19379582,Jul/24/2016 11:10,monster,83B - Doctor,GNU C++,Accepted,218 ms,1000 KB,2016-07-24 11:10:00
459935,May/20/2011 13:27,fbarl,83B - Doctor,GNU C++,Accepted,220 ms,1800 KB,2011-05-20 13:27:00
17069267,Mar/31/2016 11:11,freebsdx,83B - Doctor,GNU C++11,Accepted,560 ms,3300 KB,2016-03-31 11:11:00
454940,May/14/2011 15:54,rizwanhudda,83B - Doctor,Python 2,Accepted,300 ms,11800 KB,2011-05-14 15:54:00
43448317,Sep/26/2018 15:20,Martin53,83B - Doctor,GNU C++17,Accepted,124 ms,1300 KB,2018-09-26 15:20:00
1153755,Feb/06/2012 19:57,vjudge2,83B - Doctor,GNU C++,Accepted,190 ms,1800 KB,2012-02-06 19:57:00
32568567,Nov/23/2017 10:29,beet#,83B - Doctor,GNU C++14,Accepted,436 ms,2700 KB,2017-11-23 10:29:00
28467972,Jul/12/2017 11:41,vjudge5,83B - Doctor,GNU C++,Accepted,92 ms,3000 KB,2017-07-12 11:41:00
495607,Jun/17/2011 12:10,Archon.JK,83B - Doctor,GNU C++0x,Accepted,200 ms,8400 KB,2011-06-17 12:10:00
2255488,Sep/27/2012 14:18,XilinX#,83B - Doctor,MS C++,Accepted,93 ms,800 KB,2012-09-27 14:18:00
25334993,Mar/08/2017 09:51,_ShadowSong,83B - Doctor,GNU C++,Accepted,92 ms,2700 KB,2017-03-08 09:51:00
57627962,Jul/24/2019 10:44,vjudge3,83B - Doctor,MS C++,Accepted,248 ms,7800 KB,2019-07-24 10:44:00
61545017,Sep/30/2019 13:02,Felix555,83B - Doctor,GNU C++17,Accepted,530 ms,7200 KB,2019-09-30 13:02:00
