31941008,Nov/01/2017 10:24,vjudge3,776B - Sherlock and his girlfriend,PyPy 3,Accepted,139 ms,7800 KB,2017-11-01 10:24:00
24988690,Feb/24/2017 19:34,TerenceLiu,776B - Sherlock and his girlfriend,GNU C++14,Accepted,15 ms,2200 KB,2017-02-24 19:34:00
24923883,Feb/23/2017 18:05,AdMiRaLL,776B - Sherlock and his girlfriend,Python 3,Accepted,295 ms,7200 KB,2017-02-23 18:05:00
69713133,Jan/29/2020 10:55,_viru_,776B - Sherlock and his girlfriend,Python 3,Accepted,233 ms,1400 KB,2020-01-29 10:55:00
59616501,Aug/28/2019 15:52,ruchi_1998,776B - Sherlock and his girlfriend,Python 3,Accepted,608 ms,5700 KB,2019-08-28 15:52:00
26345860,Apr/13/2017 21:47,merolish,776B - Sherlock and his girlfriend,Python 3,Accepted,108 ms,6200 KB,2017-04-13 21:47:00
39000537,Jun/06/2018 20:13,mayurii,776B - Sherlock and his girlfriend,Python 3,Accepted,358 ms,1600 KB,2018-06-06 20:13:00
50418439,Feb/24/2019 10:51,KanhuKeNanu,776B - Sherlock and his girlfriend,Python 3,Accepted,608 ms,5700 KB,2019-02-24 10:51:00
58230686,Aug/03/2019 19:41,179000#,776B - Sherlock and his girlfriend,GNU C++14,Accepted,31 ms,700 KB,2019-08-03 19:41:00
24921163,Feb/23/2017 17:57,ditoly,776B - Sherlock and his girlfriend,GNU C++11,Accepted,30 ms,2200 KB,2017-02-23 17:57:00
25070627,Feb/27/2017 09:59,Yutzu,776B - Sherlock and his girlfriend,GNU C++14,Accepted,15 ms,2300 KB,2017-02-27 09:59:00
40023058,Jul/06/2018 10:56,Nidhoggsun,776B - Sherlock and his girlfriend,GNU C++14,Accepted,46 ms,700 KB,2018-07-06 10:56:00
46940308,Dec/12/2018 19:11,harshraj22,776B - Sherlock and his girlfriend,GNU C++14,Accepted,31 ms,400 KB,2018-12-12 19:11:00
68847608,Jan/15/2020 10:55,pratiikgoogler,776B - Sherlock and his girlfriend,GNU C++11,Accepted,31 ms,200 KB,2020-01-15 10:55:00
34165887,Jan/14/2018 06:37,Fuko_Ibuki,776B - Sherlock and his girlfriend,GNU C++11,Accepted,30 ms,2400 KB,2018-01-14 06:37:00
25376686,Mar/10/2017 13:31,2390_,776B - Sherlock and his girlfriend,Python 2,Accepted,155 ms,7400 KB,2017-03-10 13:31:00
24922871,Feb/23/2017 18:02,kevin1kevin1k,776B - Sherlock and his girlfriend,Python 2,Accepted,139 ms,7400 KB,2017-02-23 18:02:00
30239549,Sep/10/2017 10:19,yzf,776B - Sherlock and his girlfriend,GNU C++11,Accepted,31 ms,200 KB,2017-09-10 10:19:00
38764704,May/30/2018 11:00,brightsompong,776B - Sherlock and his girlfriend,GNU C++14,Accepted,31 ms,3700 KB,2018-05-30 11:00:00
36290963,Mar/15/2018 08:42,Evil__Coder,776B - Sherlock and his girlfriend,Python 3,Accepted,623 ms,6600 KB,2018-03-15 08:42:00
64776189,Nov/13/2019 07:29,903664689,776B - Sherlock and his girlfriend,GNU C++11,Accepted,46 ms,200 KB,2019-11-13 07:29:00
36299689,Mar/15/2018 15:40,Paixao,776B - Sherlock and his girlfriend,Python 3,Accepted,312 ms,7000 KB,2018-03-15 15:40:00
45878469,Nov/17/2018 15:57,vjudge4,776B - Sherlock and his girlfriend,Python 3,Accepted,483 ms,1100 KB,2018-11-17 15:57:00
64744759,Nov/12/2019 16:10,903664689,776B - Sherlock and his girlfriend,GNU C++11,Accepted,31 ms,200 KB,2019-11-12 16:10:00
41948052,Aug/21/2018 23:35,Nihad_Nabelsi,776B - Sherlock and his girlfriend,GNU C++14,Accepted,31 ms,800 KB,2018-08-21 23:35:00
25069779,Feb/27/2017 08:50,vjudge2,776B - Sherlock and his girlfriend,GNU C++,Accepted,30 ms,5400 KB,2017-02-27 08:50:00
38426904,May/19/2018 13:24,revpro,776B - Sherlock and his girlfriend,Python 3,Accepted,467 ms,1100 KB,2018-05-19 13:24:00
71346350,Feb/18/2020 03:39,luogu_bot4,776B - Sherlock and his girlfriend,GNU C++11,Accepted,46 ms,500 KB,2020-02-18 03:39:00
25068606,Feb/27/2017 07:04,TangentOfA,776B - Sherlock and his girlfriend,PyPy 2,Accepted,109 ms,24000 KB,2017-02-27 07:04:00
55334829,Jun/09/2019 16:07,iMu_21,776B - Sherlock and his girlfriend,Python 3,Accepted,342 ms,1400 KB,2019-06-09 16:07:00
30954892,Oct/03/2017 03:03,biltharesatyendra,776B - Sherlock and his girlfriend,Python 2,Accepted,140 ms,400 KB,2017-10-03 03:03:00
25485670,Mar/14/2017 23:33,abdullah009,776B - Sherlock and his girlfriend,Python 3,Accepted,343 ms,7200 KB,2017-03-14 23:33:00
56761746,Jul/09/2019 19:11,Harshit3211,776B - Sherlock and his girlfriend,GNU C++14,Accepted,31 ms,400 KB,2019-07-09 19:11:00
