25349990,Mar/09/2017 00:19,aylartesa,113B - Petr#,GNU C++,Accepted,342 ms,33500 KB,2017-03-09 00:19:00
57288860,Jul/18/2019 18:45,Jabaiy_Mysyq,113B - Petr#,GNU C++11,Accepted,1714 ms,52300 KB,2019-07-18 18:45:00
19516794,Jul/30/2016 15:25,vjudge1,113B - Petr#,GNU C++,Accepted,342 ms,15700 KB,2016-07-30 15:25:00
19516848,Jul/30/2016 15:27,vjudge4,113B - Petr#,GNU C++,Accepted,372 ms,15700 KB,2016-07-30 15:27:00
57802885,Jul/26/2019 16:59,lost_,113B - Petr#,GNU C++17,Accepted,1434 ms,65100 KB,2019-07-26 16:59:00
1508061,Apr/10/2012 07:34,random.johnnyh,113B - Petr#,GNU C++0x,Accepted,1670 ms,53500 KB,2012-04-10 07:34:00
1028986,Jan/11/2012 09:23,random.johnnyh,113B - Petr#,GNU C++0x,Accepted,1640 ms,53500 KB,2012-01-11 09:23:00
17292957,Apr/12/2016 19:57,vjudge1,113B - Petr#,GNU C++,Accepted,434 ms,24600 KB,2016-04-12 19:57:00
17292944,Apr/12/2016 19:57,blacktea123,113B - Petr#,GNU C++,Accepted,436 ms,24600 KB,2016-04-12 19:57:00
24542861,Feb/09/2017 09:52,lzr_010506,113B - Petr#,GNU C++11,Accepted,404 ms,28600 KB,2017-02-09 09:52:00
22224734,Nov/15/2016 18:06,dthangnguyen19,113B - Petr#,GNU C++14,Accepted,434 ms,24700 KB,2016-11-15 18:06:00
53119555,Apr/22/2019 13:29,qinding,113B - Petr#,GNU C++11,Accepted,154 ms,251300 KB,2019-04-22 13:29:00
40693080,Jul/24/2018 09:49,paris2007,113B - Petr#,GNU C++14,Accepted,404 ms,24700 KB,2018-07-24 09:49:00
25333612,Mar/08/2017 08:11,BARF,113B - Petr#,GNU C++14,Accepted,436 ms,26500 KB,2017-03-08 08:11:00
73653211,Mar/19/2020 15:44,vjudge1,113B - Petr#,GNU C++14,Accepted,186 ms,204000 KB,2020-03-19 15:44:00
19541195,Jul/31/2016 18:44,nickluo,113B - Petr#,GNU C++,Accepted,342 ms,31400 KB,2016-07-31 18:44:00
40509662,Jul/18/2018 13:20,vjudge4,113B - Petr#,GNU C++14,Accepted,496 ms,24700 KB,2018-07-18 13:20:00
8293893,Oct/18/2014 16:41,rxdoi#,113B - Petr#,GNU C++,Accepted,124 ms,244000 KB,2014-10-18 16:41:00
19541213,Jul/31/2016 18:45,vjudge2,113B - Petr#,GNU C++,Accepted,374 ms,31400 KB,2016-07-31 18:45:00
25300128,Mar/06/2017 21:45,-Sali-,113B - Petr#,GNU C++11,Accepted,1934 ms,68900 KB,2017-03-06 21:45:00
70345004,Feb/05/2020 12:24,vjudge2,113B - Petr#,GNU C++17,Accepted,374 ms,24700 KB,2020-02-05 12:24:00
58343911,Aug/05/2019 17:12,Saleh.P,113B - Petr#,GNU C++17,Accepted,748 ms,78500 KB,2019-08-05 17:12:00
62623715,Oct/15/2019 16:31,jahangard,113B - Petr#,GNU C++17,Accepted,778 ms,78500 KB,2019-10-15 16:31:00
70159559,Feb/03/2020 17:53,vjudge5,113B - Petr#,GNU C++17,Accepted,374 ms,24700 KB,2020-02-03 17:53:00
57845693,Jul/27/2019 14:03,lost_,113B - Petr#,GNU C++17,Accepted,746 ms,78500 KB,2019-07-27 14:03:00
1648343,May/01/2012 22:18,vlad107,113B - Petr#,FPC,Accepted,60 ms,209900 KB,2012-05-01 22:18:00
61196773,Sep/24/2019 08:58,jahangard,113B - Petr#,GNU C++17,Accepted,810 ms,78500 KB,2019-09-24 08:58:00
25328796,Mar/07/2017 22:52,Ahmad_RH,113B - Petr#,GNU C++11,Accepted,434 ms,26700 KB,2017-03-07 22:52:00
46719104,Dec/07/2018 15:32,paris2007,113B - Petr#,GNU C++17,Accepted,186 ms,100 KB,2018-12-07 15:32:00
46719622,Dec/07/2018 15:42,paris2007,113B - Petr#,GNU C++17,Accepted,218 ms,100 KB,2018-12-07 15:42:00
46683976,Dec/06/2018 16:14,Lee2004,113B - Petr#,GNU C++14,Accepted,186 ms,100 KB,2018-12-06 16:14:00
3142535,Feb/18/2013 12:59,taojiaen,113B - Petr#,GNU C++,Accepted,78 ms,203900 KB,2013-02-18 12:59:00
39856746,Jul/02/2018 07:28,AdolfoAiresSchneider,113B - Petr#,GNU C++11,Accepted,374 ms,31400 KB,2018-07-02 07:28:00
6454877,Apr/23/2014 18:42,YakutovDmitriy,113B - Petr#,GNU C++,Accepted,372 ms,62900 KB,2014-04-23 18:42:00
8903172,Dec/01/2014 11:56,sajo,113B - Petr#,GNU C++,Accepted,436 ms,24700 KB,2014-12-01 11:56:00
10636572,Apr/09/2015 07:57,NUOUN#,114D - Petr#,GNU C++,Accepted,122 ms,240500 KB,2015-04-09 07:57:00
34287390,Jan/19/2018 01:39,edwardpv,113B - Petr#,GNU C++14,Accepted,404 ms,26500 KB,2018-01-19 01:39:00
58496577,Aug/09/2019 15:25,Soon.IOI.GoldMedalist,113B - Petr#,GNU C++17,Accepted,1558 ms,65100 KB,2019-08-09 15:25:00
16602638,Mar/08/2016 17:06,arnabsamanta,113B - Petr#,GNU C++11,Accepted,1526 ms,83600 KB,2016-03-08 17:06:00
18842678,Jul/01/2016 18:26,lungly1,113B - Petr#,GNU C++11,Accepted,124 ms,251200 KB,2016-07-01 18:26:00
70021980,Feb/02/2020 13:08,carlgauss,113B - Petr#,GNU C++11,Accepted,1370 ms,52200 KB,2020-02-02 13:08:00
36455267,Mar/21/2018 16:35,rainboy,114D - Petr#,GNU C,Accepted,92 ms,18900 KB,2018-03-21 16:35:00
49969576,Feb/16/2019 03:31,ivan100sic,113B - Petr#,GNU C++17,Accepted,342 ms,31500 KB,2019-02-16 03:31:00
16728775,Mar/15/2016 17:23,yuxiaogang,113B - Petr#,GNU C++,Accepted,62 ms,21100 KB,2016-03-15 17:23:00
62853755,Oct/18/2019 11:26,vjudge4,113B - Petr#,GNU C++11,Accepted,1216 ms,52200 KB,2019-10-18 11:26:00
22911347,Dec/12/2016 21:53,ElBatanony,113B - Petr#,GNU C++11,Accepted,1964 ms,52200 KB,2016-12-12 21:53:00
66810716,Dec/14/2019 05:08,F99_ll_H21,113B - Petr#,GNU C++11,Accepted,1402 ms,52200 KB,2019-12-14 05:08:00
3412914,Mar/27/2013 21:19,alibulut,113B - Petr#,GNU C++,Accepted,2000 ms,58300 KB,2013-03-27 21:19:00
3412926,Mar/27/2013 21:23,alibulut,114D - Petr#,GNU C++,Accepted,2000 ms,58300 KB,2013-03-27 21:23:00
28361757,Jul/08/2017 09:00,DFOIXjc,113B - Petr#,GNU C++,Accepted,404 ms,64900 KB,2017-07-08 09:00:00
34974640,Feb/06/2018 18:04,darkshadowss,113B - Petr#,GNU C++14,Accepted,1278 ms,54200 KB,2018-02-06 18:04:00
39603678,Jun/24/2018 16:20,sjmartin,113B - Petr#,GNU C++14,Accepted,1370 ms,52400 KB,2018-06-24 16:20:00
59950166,Sep/03/2019 17:15,1092515503,113B - Petr#,GNU C++11,Accepted,404 ms,24600 KB,2019-09-03 17:15:00
70477900,Feb/07/2020 07:44,big_tq,113B - Petr#,GNU C++11,Accepted,1404 ms,52200 KB,2020-02-07 07:44:00
