68237828,Jan/05/2020 14:40,Eric-999,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-01-05 14:40:00
14271452,Nov/15/2015 18:53,kwakwa,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2015-11-15 18:53:00
56542532,Jul/05/2019 09:03,vjudge3,30B - Codeforces World Finals,MS C++,Accepted,92 ms,0 KB,2019-07-05 09:03:00
72700365,Mar/08/2020 06:20,wzj1999,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-08 06:20:00
7445762,Aug/14/2014 17:14,vjudge3,30B - Codeforces World Finals,Python 2,Accepted,124 ms,0 KB,2014-08-14 17:14:00
41919333,Aug/21/2018 05:25,luogu_bot1,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-21 05:25:00
47868016,Jan/03/2019 14:07,luogu_bot3,30B - Codeforces World Finals,GNU C++11,Accepted,92 ms,0 KB,2019-01-03 14:07:00
40696112,Jul/24/2018 11:06,percyjackson,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-07-24 11:06:00
7351119,Aug/05/2014 13:29,kawazaki,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2014-08-05 13:29:00
16396545,Feb/28/2016 07:25,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2016-02-28 07:25:00
55564080,Jun/14/2019 17:21,Credit_Card_CRD,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-06-14 17:21:00
2299067,Oct/04/2012 16:29,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 16:29:00
31526937,Oct/20/2017 11:21,zx081325,30B - Codeforces World Finals,GNU C++14,Accepted,30 ms,1900 KB,2017-10-20 11:21:00
15494945,Jan/22/2016 11:35,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2016-01-22 11:35:00
72722629,Mar/08/2020 13:53,lxrtxdy,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-08 13:53:00
16795678,Mar/18/2016 21:56,utku_mert,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2016-03-18 21:56:00
41516248,Aug/12/2018 09:19,WYF,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-12 09:19:00
53123583,Apr/22/2019 15:41,malinyi1,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-04-22 15:41:00
55563924,Jun/14/2019 17:16,happy2019,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-06-14 17:16:00
71272655,Feb/17/2020 13:58,zinai_boboyang,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-02-17 13:58:00
73145324,Mar/13/2020 17:35,VuV,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-13 17:35:00
131839,Sep/26/2010 18:19,odomontois,30B - Codeforces World Finals,Python 2,Accepted,60 ms,2700 KB,2010-09-26 18:19:00
51358532,Mar/16/2019 08:55,DJZ2008,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-03-16 08:55:00
54495430,May/22/2019 20:29,WOSHIGEPACHONG2,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-05-22 20:29:00
20947706,Sep/27/2016 16:49,Jin_Haonan,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2016-09-27 16:49:00
70928263,Feb/13/2020 06:47,vjudge2,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-02-13 06:47:00
569897,Jul/30/2011 01:32,Warrior,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1400 KB,2011-07-30 01:32:00
10136920,Mar/03/2015 21:57,M_Mohsen,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2015-03-03 21:57:00
10483940,Mar/27/2015 11:41,xxxyyyzzz,30B - Codeforces World Finals,GNU C++11,Accepted,60 ms,0 KB,2015-03-27 11:41:00
