71588885,Feb/22/2020 08:45,stars_in_the_sky,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-02-22 08:45:00
46435167,Dec/01/2018 11:35,wishna,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-01 11:35:00
53589079,Apr/30/2019 23:59,ArinaM,519B - A and B and Compilation Errors,PyPy 3,Accepted,405 ms,15400 KB,2019-04-30 23:59:00
50917322,Mar/07/2019 10:12,vincentviktor,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-03-07 10:12:00
10073168,Feb/28/2015 16:44,* giguru,519B - A and B and Compilation Errors,Ruby,Accepted,530 ms,21900 KB,2015-02-28 16:44:00
18399102,Jun/12/2016 22:38,hintpine,519B - A and B and Compilation Errors,Python 2,Accepted,280 ms,11500 KB,2016-06-12 22:38:00
73334014,Mar/15/2020 15:34,mai99,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-03-15 15:34:00
38989745,Jun/06/2018 12:27,kireeti_gupta,519B - A and B and Compilation Errors,Python 3,Accepted,187 ms,7300 KB,2018-06-06 12:27:00
42695921,Sep/09/2018 10:09,Sanjit,519B - A and B and Compilation Errors,Python 3,Accepted,249 ms,8700 KB,2018-09-09 10:09:00
10129801,Mar/03/2015 11:26,soda_beta,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7100 KB,2015-03-03 11:26:00
22832860,Dec/09/2016 15:14,BlueHazard_rony,519B - A and B and Compilation Errors,Python 2,Accepted,233 ms,7300 KB,2016-12-09 15:14:00
27599429,Jun/05/2017 22:23,Mr.Dark,519B - A and B and Compilation Errors,Python 3,Accepted,156 ms,7400 KB,2017-06-05 22:23:00
38566685,May/23/2018 18:37,Fan_Of_The_Secret_Annex,519B - A and B and Compilation Errors,Python 3,Accepted,187 ms,7300 KB,2018-05-23 18:37:00
10084764,Feb/28/2015 19:11,rsFalse,519B - A and B and Compilation Errors,Perl,Accepted,529 ms,26900 KB,2015-02-28 19:11:00
46987636,Dec/14/2018 00:58,fidan,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-14 00:58:00
49863163,Feb/13/2019 13:42,Akhil_Maddukuri,519B - A and B and Compilation Errors,Python 3,Accepted,217 ms,7300 KB,2019-02-13 13:42:00
71794688,Feb/24/2020 18:36,dhanya_03,519B - A and B and Compilation Errors,Python 3,Accepted,233 ms,7900 KB,2020-02-24 18:36:00
10093533,Mar/01/2015 11:37,nealzane,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-03-01 11:37:00
46048946,Nov/22/2018 08:42,lucad,519B - A and B and Compilation Errors,Python 3,Accepted,233 ms,7300 KB,2018-11-22 08:42:00
46976021,Dec/13/2018 19:37,lugenlord,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7300 KB,2018-12-13 19:37:00
10083940,Feb/28/2015 18:42,Igorjan94,519B - A and B and Compilation Errors,PyPy 3,Accepted,421 ms,11000 KB,2015-02-28 18:42:00
46104327,Nov/23/2018 11:13,Serena999,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7300 KB,2018-11-23 11:13:00
35833365,Mar/02/2018 14:17,oleg.stepanov,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,12800 KB,2018-03-02 14:17:00
74163324,Mar/24/2020 08:15,meghana_jilla,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-03-24 08:15:00
12083767,Jul/16/2015 15:46,Vareni4,519B - A and B and Compilation Errors,Python 2,Accepted,233 ms,7300 KB,2015-07-16 15:46:00
12586015,Aug/18/2015 11:28,Xy_stand,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-08-18 11:28:00
46421171,Dec/01/2018 00:29,davidSan,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-01 00:29:00
11975728,Jul/08/2015 20:59,animesht,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-07-08 20:59:00
19454464,Jul/28/2016 08:08,imtiaz_iu,519B - A and B and Compilation Errors,Python 2,Accepted,217 ms,7000 KB,2016-07-28 08:08:00
37231907,Apr/11/2018 20:58,elch10,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,14200 KB,2018-04-11 20:58:00
42695828,Sep/09/2018 10:06,Sanjit,519B - A and B and Compilation Errors,Python 3,Accepted,249 ms,8600 KB,2018-09-09 10:06:00
37876238,May/04/2018 09:34,mr.adisbek,519B - A and B and Compilation Errors,Python 3,Accepted,187 ms,14200 KB,2018-05-04 09:34:00
45378092,Nov/06/2018 16:20,Silky_Littleraisin,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-11-06 16:20:00
10449651,Mar/25/2015 18:19,itchyny,519B - A and B and Compilation Errors,Haskell,Accepted,1481 ms,63800 KB,2015-03-25 18:19:00
14055892,Nov/04/2015 14:10,jan25,519B - A and B and Compilation Errors,Python 3,Accepted,155 ms,7500 KB,2015-11-04 14:10:00
19712887,Aug/07/2016 21:44,Artem_Lyutenkov,519B - A and B and Compilation Errors,Python 3,Accepted,155 ms,11900 KB,2016-08-07 21:44:00
22700490,Dec/04/2016 20:40,ohNoo,519B - A and B and Compilation Errors,Python 3,Accepted,171 ms,7400 KB,2016-12-04 20:40:00
32954331,Dec/05/2017 20:17,MJR69,519B - A and B and Compilation Errors,Python 3,Accepted,171 ms,12700 KB,2017-12-05 20:17:00
46995197,Dec/14/2018 10:56,UlianaAndrey,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7300 KB,2018-12-14 10:56:00
65292514,Nov/18/2019 13:18,sensansi,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7700 KB,2019-11-18 13:18:00
14914617,Dec/21/2015 18:09,wsylc,519B - A and B and Compilation Errors,Python 3,Accepted,156 ms,7300 KB,2015-12-21 18:09:00
10127119,Mar/03/2015 04:00,AIdancer,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-03-03 04:00:00
22170405,Nov/12/2016 02:07,janierss,519B - A and B and Compilation Errors,Python 3,Accepted,171 ms,7500 KB,2016-11-12 02:07:00
31207535,Oct/11/2017 09:05,ytz123,519B - A and B and Compilation Errors,Python 2,Accepted,234 ms,6900 KB,2017-10-11 09:05:00
34039320,Jan/09/2018 05:59,boyfaceone,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,11300 KB,2018-01-09 05:59:00
11572112,Jun/13/2015 21:00,m1_k3,519B - A and B and Compilation Errors,Python 3,Accepted,156 ms,7300 KB,2015-06-13 21:00:00
75163981,Apr/01/2020 20:13,Sumaiyah,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-04-01 20:13:00
10188293,Mar/07/2015 12:42,chiehmin,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-03-07 12:42:00
10139840,Mar/04/2015 05:13,rincewind,519B - A and B and Compilation Errors,Python 2,Accepted,234 ms,7100 KB,2015-03-04 05:13:00
10066960,Feb/28/2015 16:14,* merolish,519B - A and B and Compilation Errors,Python 3,Accepted,156 ms,7400 KB,2015-02-28 16:14:00
11516752,Jun/10/2015 07:01,stevenkplus,519B - A and B and Compilation Errors,Python 2,Accepted,217 ms,7000 KB,2015-06-10 07:01:00
10087532,Feb/28/2015 21:57,Fekete,519B - A and B and Compilation Errors,Python 3,Accepted,186 ms,7400 KB,2015-02-28 21:57:00
10091483,Mar/01/2015 07:16,sunhong,519B - A and B and Compilation Errors,Python 3,Accepted,170 ms,7300 KB,2015-03-01 07:16:00
50565263,Feb/27/2019 15:52,ankit.raj,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,9200 KB,2019-02-27 15:52:00
42126462,Aug/26/2018 18:33,Mk_Python_v1,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,7300 KB,2018-08-26 18:33:00
77126561,Apr/18/2020 00:26,AmerSaed100,519B - A and B and Compilation Errors,PyPy 3,Accepted,389 ms,11200 KB,2020-04-18 00:26:00
33387340,Dec/18/2017 20:10,TangentDay,519B - A and B and Compilation Errors,Python 3,Accepted,171 ms,12700 KB,2017-12-18 20:10:00
80366765,May/16/2020 16:19,thukrake_mera_pyaar,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,14400 KB,2020-05-16 16:19:00
50917262,Mar/07/2019 10:09,vincentviktor,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,9000 KB,2019-03-07 10:09:00
71424617,Feb/19/2020 11:45,karanduski2020,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-02-19 11:45:00
71424667,Feb/19/2020 11:46,miqdadpro86,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-02-19 11:46:00
71478985,Feb/20/2020 10:35,muhammadbabkai,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,8000 KB,2020-02-20 10:35:00
71658969,Feb/23/2020 12:24,mostafaelspagh-0,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7900 KB,2020-02-23 12:24:00
73439210,Mar/16/2020 23:28,GTrigger,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,8000 KB,2020-03-16 23:28:00
73439232,Mar/16/2020 23:28,GTrigger,519B - A and B and Compilation Errors,PyPy 3,Accepted,405 ms,11100 KB,2020-03-16 23:28:00
48314256,Jan/13/2019 08:26,DLCattici,519B - A and B and Compilation Errors,Python 3,Accepted,218 ms,15000 KB,2019-01-13 08:26:00
48386277,Jan/14/2019 16:14,Alireza_Keshavarz,519B - A and B and Compilation Errors,Python 3,Accepted,202 ms,7400 KB,2019-01-14 16:14:00
13540363,Oct/11/2015 07:28,anch,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7000 KB,2015-10-11 07:28:00
10654955,Apr/11/2015 08:23,xuesen121415,519B - A and B and Compilation Errors,Python 3,Accepted,155 ms,7300 KB,2015-04-11 08:23:00
10131570,Mar/03/2015 14:17,Orlazor,519B - A and B and Compilation Errors,Python 2,Accepted,218 ms,7400 KB,2015-03-03 14:17:00
