46462895,Dec/02/2018 01:00,AntonioDF,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2018-12-02 01:00:00
73689814,Mar/19/2020 18:13,coder2610,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-03-19 18:13:00
73693530,Mar/19/2020 18:21,tanu38,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-03-19 18:21:00
39214486,Jun/13/2018 14:21,Badass_Babua,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,0 KB,2018-06-13 14:21:00
39598583,Jun/24/2018 13:23,chiefsan,16B - Burglar and Matches,Python 3,Accepted,156 ms,0 KB,2018-06-24 13:23:00
5118086,Nov/15/2013 18:36,yugle7,16B - Burglar and Matches,Python 3,Accepted,124 ms,0 KB,2013-11-15 18:36:00
10642651,Apr/09/2015 20:37,venuchitta,16B - Burglar and Matches,Ruby,Accepted,124 ms,100 KB,2015-04-09 20:37:00
19453214,Jul/28/2016 06:23,SyntexError,16B - Burglar and Matches,Python 2,Accepted,92 ms,0 KB,2016-07-28 06:23:00
79103862,May/06/2020 06:26,exception420,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2020-05-06 06:26:00
3763833,May/24/2013 16:48,lovefly1983,16B - Burglar and Matches,Python 2,Accepted,46 ms,0 KB,2013-05-24 16:48:00
542990,Jul/12/2011 13:19,compales2,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2011-07-12 13:19:00
16557708,Mar/06/2016 23:19,tarek.nawara,16B - Burglar and Matches,Python 3,Accepted,124 ms,0 KB,2016-03-06 23:19:00
24396614,Feb/03/2017 00:16,dhia_ch,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-02-03 00:16:00
29364498,Aug/12/2017 00:57,Ahmed.Bassiouny,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-08-12 00:57:00
266688,Jan/28/2011 15:21,Aleksey,16B - Burglar and Matches,Python 2,Accepted,60 ms,2700 KB,2011-01-28 15:21:00
78453872,Apr/29/2020 11:14,servermonk,16B - Burglar and Matches,PyPy 3,Accepted,280 ms,0 KB,2020-04-29 11:14:00
23718630,Jan/11/2017 15:54,insane_,16B - Burglar and Matches,Python 3,Accepted,124 ms,4500 KB,2017-01-11 15:54:00
24425819,Feb/04/2017 09:11,Monkey-D-Luffy,16B - Burglar and Matches,GNU C++11,Accepted,30 ms,2000 KB,2017-02-04 09:11:00
53959697,May/10/2019 16:30,7001,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,200 KB,2019-05-10 16:30:00
56724458,Jul/08/2019 21:46,ATFFTA,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,0 KB,2019-07-08 21:46:00
42121923,Aug/26/2018 15:56,Mk_Python_v1,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2018-08-26 15:56:00
77636752,Apr/22/2020 14:03,souraavat,16B - Burglar and Matches,GNU C++14,Accepted,92 ms,0 KB,2020-04-22 14:03:00
352808,Mar/23/2011 23:25,hs484,16B - Burglar and Matches,Python 2,Accepted,90 ms,2800 KB,2011-03-23 23:25:00
3131429,Feb/15/2013 12:15,Chen_ChaoRui,16B - Burglar and Matches,GNU C++,Accepted,15 ms,0 KB,2013-02-15 12:15:00
4858950,Oct/24/2013 15:59,jackchess,16B - Burglar and Matches,Python 3,Accepted,124 ms,300 KB,2013-10-24 15:59:00
59120615,Aug/20/2019 08:03,vjudge5,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-08-20 08:03:00
3412761,Mar/27/2013 20:41,dima.rudol,16B - Burglar and Matches,Python 2,Accepted,46 ms,0 KB,2013-03-27 20:41:00
76283783,Apr/12/2020 07:13,s08051999,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,0 KB,2020-04-12 07:13:00
60220975,Sep/07/2019 16:34,S200027,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2019-09-07 16:34:00
70089679,Feb/02/2020 20:58,poornapragnamath,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-02-02 20:58:00
57376479,Jul/20/2019 15:47,tchr,16B - Burglar and Matches,PyPy 3,Accepted,280 ms,0 KB,2019-07-20 15:47:00
48235232,Jan/11/2019 18:25,vjudge3,16B - Burglar and Matches,PyPy 3,Accepted,278 ms,0 KB,2019-01-11 18:25:00
73523232,Mar/17/2020 23:29,_-pratik_shukla-_,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,0 KB,2020-03-17 23:29:00
68650090,Jan/12/2020 13:28,Baniya_09,16B - Burglar and Matches,GNU C++17,Accepted,62 ms,0 KB,2020-01-12 13:28:00
73394628,Mar/16/2020 12:21,krishna369,16B - Burglar and Matches,PyPy 3,Accepted,280 ms,0 KB,2020-03-16 12:21:00
19478861,Jul/29/2016 14:44,Math_Master,16B - Burglar and Matches,GNU C++11,Accepted,30 ms,0 KB,2016-07-29 14:44:00
24810451,Feb/19/2017 23:46,Elgazzar.,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-02-19 23:46:00
70688914,Feb/09/2020 22:02,prakashnani130,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-02-09 22:02:00
71087097,Feb/15/2020 00:59,rosolshatara,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,0 KB,2020-02-15 00:59:00
49814342,Feb/12/2019 07:34,kipply,16B - Burglar and Matches,Python 2,Accepted,342 ms,0 KB,2019-02-12 07:34:00
49826644,Feb/12/2019 14:58,bergus,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2019-02-12 14:58:00
75600218,Apr/05/2020 22:00,golfbaby,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,0 KB,2020-04-05 22:00:00
74632,Oct/14/2010 18:40,mfkhr,16B - Burglar and Matches,Ruby,Accepted,60 ms,3800 KB,2010-10-14 18:40:00
31514228,Oct/19/2017 19:42,Stronger2020,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-10-19 19:42:00
74302222,Mar/25/2020 17:45,Vasiliy_48,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-03-25 17:45:00
28564074,Jul/15/2017 08:07,mohit28rawat#,16B - Burglar and Matches,Python 3,Accepted,124 ms,5400 KB,2017-07-15 08:07:00
33662671,Dec/27/2017 09:55,arknave#,16B - Burglar and Matches,PyPy 3,Accepted,218 ms,22600 KB,2017-12-27 09:55:00
889855,Jun/03/2010 17:14,nns2009#,16B - Burglar and Matches,Python 2,Accepted,60 ms,2800 KB,2010-06-03 17:14:00
46940792,Dec/12/2018 19:28,hari43,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2018-12-12 19:28:00
80194667,May/15/2020 08:58,jil.kothari,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,19700 KB,2020-05-15 08:58:00
12885281,Sep/07/2015 16:57,kwakwa,16B - Burglar and Matches,GNU C,Accepted,60 ms,0 KB,2015-09-07 16:57:00
40861284,Jul/28/2018 00:37,AbdulQader_Q,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2018-07-28 00:37:00
39645441,Jun/25/2018 12:52,Aegon,16B - Burglar and Matches,GNU C,Accepted,60 ms,0 KB,2018-06-25 12:52:00
