8512680,Nov/01/2014 16:26,Ringo,483B - Friends and Presents,GNU C++,Accepted,15 ms,100 KB,2014-11-01 16:26:00
9455056,Jan/18/2015 13:07,lxt1996,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2015-01-18 13:07:00
21560278,Oct/18/2016 10:52,hoanqq,483B - Friends and Presents,GNU C++14,Accepted,30 ms,1900 KB,2016-10-18 10:52:00
8418132,Oct/26/2014 11:38,wangwei,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-10-26 11:38:00
8432310,Oct/27/2014 16:34,kojimai,483B - Friends and Presents,Python 2,Accepted,62 ms,0 KB,2014-10-27 16:34:00
8398537,Oct/25/2014 10:15,2014i,483B - Friends and Presents,GNU C++0x,Accepted,15 ms,0 KB,2014-10-25 10:15:00
8448105,Oct/28/2014 13:01,okuzn,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-10-28 13:01:00
8529507,Nov/03/2014 00:59,midov35,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-11-03 00:59:00
10863447,Apr/25/2015 21:58,K_D_M,483B - Friends and Presents,GNU C++11,Accepted,30 ms,2000 KB,2015-04-25 21:58:00
8560064,Nov/05/2014 19:02,vjudge5,483B - Friends and Presents,GNU C++,Accepted,46 ms,0 KB,2014-11-05 19:02:00
62173660,Oct/09/2019 05:40,yyp690,483B - Friends and Presents,GNU C++17,Accepted,31 ms,0 KB,2019-10-09 05:40:00
10129217,Mar/03/2015 10:14,xxxyyyzzz,483B - Friends and Presents,GNU C++0x,Accepted,15 ms,0 KB,2015-03-03 10:14:00
8560063,Nov/05/2014 19:02,vjudge3,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-05 19:02:00
19592364,Aug/03/2016 09:43,cupel,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2016-08-03 09:43:00
41397857,Aug/09/2018 15:03,vovibac,483B - Friends and Presents,GNU C++17,Accepted,31 ms,300 KB,2018-08-09 15:03:00
54478442,May/22/2019 12:44,vjudge4,483B - Friends and Presents,GNU C++17,Accepted,31 ms,0 KB,2019-05-22 12:44:00
8556184,Nov/05/2014 12:38,phyxnj,483B - Friends and Presents,Python 2,Accepted,62 ms,0 KB,2014-11-05 12:38:00
8439107,Oct/27/2014 22:24,e2xe5,483B - Friends and Presents,FPC,Accepted,15 ms,0 KB,2014-10-27 22:24:00
8491183,Oct/30/2014 23:10,kadircet,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-10-30 23:10:00
77917917,Apr/24/2020 16:50,2_3_3,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2020-04-24 16:50:00
13819124,Oct/24/2015 09:50,thakkark1313,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-10-24 09:50:00
14817944,Dec/15/2015 19:17,vjudge4,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-12-15 19:17:00
