26151955,Apr/05/2017 19:45,"KappaPride: mihaiI, Djok216",774B - Significant Cups,GNU C++11,Accepted,374 ms,5200 KB,2017-04-05 19:45:00
72534316,Mar/05/2020 21:51,BryanValeriano,795B - Significant Cups,GNU C++17,Accepted,171 ms,5200 KB,2020-03-05 21:51:00
51805525,Mar/25/2019 00:15,MOPKOBKA228,774B - Significant Cups,GNU C++17,Accepted,717 ms,6300 KB,2019-03-25 00:15:00
26150094,Apr/05/2017 19:21,moyamo,795B - Significant Cups,GNU C11,Accepted,108 ms,3400 KB,2017-04-05 19:21:00
26347125,Apr/13/2017 23:36,4-II,774B - Significant Cups,GNU C++14,Accepted,795 ms,5000 KB,2017-04-13 23:36:00
26154312,Apr/05/2017 20:19,"МК+ММП: svetlana_lana, GoldenMan",774B - Significant Cups,GNU C++11,Accepted,124 ms,7200 KB,2017-04-05 20:19:00
66519816,Dec/09/2019 00:23,silxi,774B - Significant Cups,GNU C++14,Accepted,140 ms,6700 KB,2019-12-09 00:23:00
26154401,Apr/05/2017 20:21,"Big Black Boots: aytel, Constantius",795B - Significant Cups,GNU C++14,Accepted,187 ms,5000 KB,2017-04-05 20:21:00
28480381,Jul/12/2017 20:29,Narts,774B - Significant Cups,GNU C++14,Accepted,171 ms,8200 KB,2017-07-12 20:29:00
26185448,Apr/07/2017 09:48,stczhc,795B - Significant Cups,Haskell,Accepted,795 ms,100400 KB,2017-04-07 09:48:00
26187636,Apr/07/2017 11:45,gepardo,795B - Significant Cups,Java 8,Accepted,296 ms,26100 KB,2017-04-07 11:45:00
26288257,Apr/11/2017 05:47,memeaccount,774B - Significant Cups,GNU C++14,Accepted,811 ms,10200 KB,2017-04-11 05:47:00
26147438,Apr/05/2017 18:49,_LeMur_,795B - Significant Cups,GNU C++,Accepted,109 ms,6800 KB,2017-04-05 18:49:00
26288267,Apr/11/2017 05:48,vjudge3,774B - Significant Cups,GNU C++14,Accepted,780 ms,10200 KB,2017-04-11 05:48:00
26151972,Apr/05/2017 19:45,"SorryLemieux: Birjik, Meirambek",774B - Significant Cups,GNU C++14,Accepted,139 ms,5000 KB,2017-04-05 19:45:00
26153946,Apr/05/2017 20:14,Te4NIK,795B - Significant Cups,GNU C++,Accepted,935 ms,5200 KB,2017-04-05 20:14:00
26152829,Apr/05/2017 19:57,uwi,795B - Significant Cups,Mono C#,Accepted,358 ms,21300 KB,2017-04-05 19:57:00
55227621,Jun/07/2019 06:07,dvdg6566,774B - Significant Cups,GNU C++14,Accepted,733 ms,5400 KB,2019-06-07 06:07:00
26153445,Apr/05/2017 20:06,"Бакалавры XD: maximumSHOT, Woodie",774B - Significant Cups,GNU C++11,Accepted,124 ms,6800 KB,2017-04-05 20:06:00
26201640,Apr/07/2017 21:46,Secret_Eagle,795B - Significant Cups,GNU C++,Accepted,936 ms,11400 KB,2017-04-07 21:46:00
26193779,Apr/07/2017 16:11,gamo,795B - Significant Cups,GNU C++,Accepted,358 ms,11500 KB,2017-04-07 16:11:00
78943118,May/04/2020 10:26,chirag11032000,774B - Significant Cups,GNU C++17 (64),Accepted,93 ms,3100 KB,2020-05-04 10:26:00
26153774,Apr/05/2017 20:11,enot110,795B - Significant Cups,GNU C++14,Accepted,109 ms,3400 KB,2017-04-05 20:11:00
26153761,Apr/05/2017 20:11,enot110,795B - Significant Cups,GNU C++14,Accepted,109 ms,3400 KB,2017-04-05 20:11:00
27599834,Jun/05/2017 22:51,murtaza2102,795B - Significant Cups,GNU C++14,Accepted,171 ms,4700 KB,2017-06-05 22:51:00
26154654,Apr/05/2017 20:24,"HSE: Miracle: NikitaMikhaylov, expl0si0nn",774B - Significant Cups,GNU C++14,Accepted,779 ms,8200 KB,2017-04-05 20:24:00
