50568247,Feb/27/2019 17:07,vjudge1,738D - Sea Battle,GNU C++17,Accepted,77 ms,1300 KB,2019-02-27 17:07:00
40194288,Jul/11/2018 11:18,Jacklovethree,729D - Sea Battle,GNU C++11,Accepted,109 ms,5200 KB,2018-07-11 11:18:00
25342074,Mar/08/2017 16:24,vjudge2,729D - Sea Battle,GNU C++,Accepted,187 ms,2800 KB,2017-03-08 16:24:00
76457856,Apr/13/2020 09:49,disco1999,737B - Sea Battle,GNU C++17,Accepted,61 ms,2300 KB,2020-04-13 09:49:00
22505004,Nov/26/2016 12:21,codemasterisme,729D - Sea Battle,GNU C++11,Accepted,78 ms,1000 KB,2016-11-26 12:21:00
22423168,Nov/23/2016 15:44,NgMiTam,729D - Sea Battle,GNU C++11,Accepted,62 ms,1000 KB,2016-11-23 15:44:00
24493426,Feb/07/2017 20:08,vjudge4,729D - Sea Battle,GNU C11,Accepted,920 ms,2800 KB,2017-02-07 20:08:00
50567606,Feb/27/2019 16:50,vjudge4,738D - Sea Battle,GNU C++17,Accepted,46 ms,1000 KB,2019-02-27 16:50:00
50574736,Feb/27/2019 20:26,vjudge1,738D - Sea Battle,GNU C++11,Accepted,31 ms,800 KB,2019-02-27 20:26:00
24892902,Feb/22/2017 15:40,coding_weeb,729D - Sea Battle,GNU C++14,Accepted,77 ms,4200 KB,2017-02-22 15:40:00
22363942,Nov/20/2016 16:05,amiro,738D - Sea Battle,GNU C++14,Accepted,77 ms,1100 KB,2016-11-20 16:05:00
38328202,May/16/2018 20:07,vjudge5,729D - Sea Battle,GNU C++,Accepted,108 ms,4200 KB,2018-05-16 20:07:00
22349727,Nov/20/2016 12:44,Ra16bit,737B - Sea Battle,GNU C++,Accepted,62 ms,1600 KB,2016-11-20 12:44:00
24087094,Jan/24/2017 10:50,vjudge5,729D - Sea Battle,GNU C++,Accepted,46 ms,2700 KB,2017-01-24 10:50:00
22617474,Nov/30/2016 11:52,schindler,729D - Sea Battle,GNU C++14,Accepted,62 ms,2300 KB,2016-11-30 11:52:00
40078983,Jul/08/2018 10:59,zstu_wangbo,738D - Sea Battle,GNU C++14,Accepted,93 ms,1300 KB,2018-07-08 10:59:00
36748745,Mar/30/2018 16:54,bolbam,738D - Sea Battle,GNU C++14,Accepted,77 ms,5700 KB,2018-03-30 16:54:00
22376889,Nov/21/2016 08:29,Fischer,738D - Sea Battle,GNU C++14,Accepted,109 ms,1300 KB,2016-11-21 08:29:00
40402323,Jul/16/2018 11:11,phamhoang2002,729D - Sea Battle,GNU C++14,Accepted,93 ms,1800 KB,2018-07-16 11:11:00
22353683,Nov/20/2016 13:12,abc_1988_1106,738D - Sea Battle,Python 2,Accepted,233 ms,3900 KB,2016-11-20 13:12:00
23101581,Dec/18/2016 15:46,lsmll,737B - Sea Battle,GNU C++,Accepted,46 ms,2200 KB,2016-12-18 15:46:00
34206096,Jan/15/2018 22:48,yongwhan,729D - Sea Battle,GNU C++14,Accepted,30 ms,4300 KB,2018-01-15 22:48:00
38285345,May/15/2018 18:36,vjudge3,729D - Sea Battle,MS C++,Accepted,108 ms,4400 KB,2018-05-15 18:36:00
22350320,Nov/20/2016 12:48,jerry,737B - Sea Battle,GNU C++11,Accepted,46 ms,1700 KB,2016-11-20 12:48:00
22394869,Nov/22/2016 05:52,leo2105,738D - Sea Battle,GNU C++,Accepted,140 ms,2400 KB,2016-11-22 05:52:00
50566185,Feb/27/2019 16:14,vjudge3,738D - Sea Battle,GNU C++14,Accepted,31 ms,1000 KB,2019-02-27 16:14:00
22352372,Nov/20/2016 13:02,Carlosopher,738D - Sea Battle,GNU C++11,Accepted,46 ms,800 KB,2016-11-20 13:02:00
22360154,Nov/20/2016 14:01,yjqmyson,738D - Sea Battle,GNU C++,Accepted,93 ms,2600 KB,2016-11-20 14:01:00
22893347,Dec/11/2016 23:07,jonathanbenali,737B - Sea Battle,GNU C++14,Accepted,77 ms,2300 KB,2016-12-11 23:07:00
37743048,Apr/30/2018 10:57,Annile,738D - Sea Battle,GNU C++,Accepted,46 ms,4200 KB,2018-04-30 10:57:00
39733798,Jun/28/2018 09:00,chaorenhaha,729D - Sea Battle,FPC,Accepted,358 ms,800 KB,2018-06-28 09:00:00
41269157,Aug/06/2018 11:57,baiyifeng,729D - Sea Battle,GNU C++,Accepted,46 ms,1100 KB,2018-08-06 11:57:00
22406302,Nov/22/2016 18:20,AgSi,738D - Sea Battle,GNU C++11,Accepted,62 ms,800 KB,2016-11-22 18:20:00
22381465,Nov/21/2016 14:04,rwj,738D - Sea Battle,GNU C++11,Accepted,31 ms,800 KB,2016-11-21 14:04:00
37630530,Apr/26/2018 12:43,vjudge3,729D - Sea Battle,MS C++,Accepted,61 ms,4400 KB,2018-04-26 12:43:00
22374218,Nov/21/2016 02:16,hop-hop,729D - Sea Battle,Python 3,Accepted,374 ms,13700 KB,2016-11-21 02:16:00
30047671,Sep/04/2017 09:05,vjudge5,729D - Sea Battle,GNU C++,Accepted,124 ms,8300 KB,2017-09-04 09:05:00
