35791473,Feb/28/2018 19:48,Farhad.26,3B - Lorry,MS C++,Accepted,124 ms,4100 KB,2018-02-28 19:48:00
43350579,Sep/24/2018 04:50,PiCaHor,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2018-09-24 04:50:00
49138935,Jan/29/2019 12:10,Bonoy,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2019-01-29 12:10:00
77793174,Apr/23/2020 18:11,danielamazur2000,3B - Lorry,GNU C11,Accepted,746 ms,1600 KB,2020-04-23 18:11:00
473823,Jun/01/2011 11:51,vsg,3B - Lorry,Python 2,Accepted,750 ms,17200 KB,2011-06-01 11:51:00
10495744,Mar/28/2015 05:45,SccsAtmtn,3B - Lorry,Python 2,Accepted,1216 ms,9300 KB,2015-03-28 05:45:00
12486435,Aug/13/2015 06:08,kwakwa,3B - Lorry,GNU C,Accepted,154 ms,1200 KB,2015-08-13 06:08:00
25771211,Mar/24/2017 14:45,kunal_64,3B - Lorry,Python 2,Accepted,1092 ms,16700 KB,2017-03-24 14:45:00
18513161,Jun/16/2016 09:04,tecalm,3B - Lorry,PyPy 2,Accepted,934 ms,12100 KB,2016-06-16 09:04:00
18513182,Jun/16/2016 09:06,tecalm,3B - Lorry,Python 2,Accepted,1060 ms,12800 KB,2016-06-16 09:06:00
3750146,May/20/2013 17:30,lovefly1983,3B - Lorry,Python 2,Accepted,1015 ms,10000 KB,2013-05-20 17:30:00
5333148,Dec/02/2013 16:41,PSDEV,3B - Lorry,GNU C++,Accepted,218 ms,2100 KB,2013-12-02 16:41:00
3382648,Mar/23/2013 01:14,vrawat,3B - Lorry,GNU C++,Accepted,218 ms,2100 KB,2013-03-23 01:14:00
708957,Sep/19/2011 22:25,ItsNear,3B - Lorry,Ruby,Accepted,1700 ms,9800 KB,2011-09-19 22:25:00
2560768,Nov/15/2012 00:20,inv1sible,3B - Lorry,Python 2,Accepted,1046 ms,10000 KB,2012-11-15 00:20:00
35446227,Feb/18/2018 15:57,Relento,3B - Lorry,Python 3,Accepted,1278 ms,21800 KB,2018-02-18 15:57:00
41988137,Aug/23/2018 10:16,zhxjfl,3B - Lorry,Python 3,Accepted,1902 ms,12200 KB,2018-08-23 10:16:00
55737356,Jun/19/2019 08:15,jaybhakhar,3B - Lorry,Python 3,Accepted,1370 ms,12500 KB,2019-06-19 08:15:00
707439,Sep/18/2011 15:41,lth,3B - Lorry,MS C++,Accepted,90 ms,3400 KB,2011-09-18 15:41:00
2311310,Oct/07/2012 16:39,chenqiren,3B - Lorry,MS C++,Accepted,109 ms,2000 KB,2012-10-07 16:39:00
8579678,Nov/06/2014 00:30,turbofsi,3B - Lorry,Python 2,Accepted,996 ms,13000 KB,2014-11-06 00:30:00
32283394,Nov/13/2017 15:09,bagyga,3B - Lorry,Python 3,Accepted,1496 ms,11600 KB,2017-11-13 15:09:00
66393326,Dec/06/2019 12:52,obadayousef,3B - Lorry,GNU C++14,Accepted,124 ms,2000 KB,2019-12-06 12:52:00
473402,May/31/2011 16:58,vsg,3B - Lorry,Python 2,Accepted,700 ms,13800 KB,2011-05-31 16:58:00
7508098,Aug/19/2014 16:07,Toshiksvg,3B - Lorry,GNU C++,Accepted,124 ms,2000 KB,2014-08-19 16:07:00
12417422,Aug/08/2015 20:40,Badry,3B - Lorry,GNU C++,Accepted,92 ms,1900 KB,2015-08-08 20:40:00
1952105,Jul/30/2012 13:52,bryanj,3B - Lorry,Ruby,Accepted,980 ms,11700 KB,2012-07-30 13:52:00
24567320,Feb/10/2017 13:14,noname345,3B - Lorry,Ruby,Accepted,1716 ms,15500 KB,2017-02-10 13:14:00
24435115,Feb/04/2017 18:27,foobarthomas,3B - Lorry,Python 3,Accepted,1526 ms,16600 KB,2017-02-04 18:27:00
42121800,Aug/26/2018 15:53,Mostafa_Khaled_Robot,3B - Lorry,Python 3,Accepted,1870 ms,12200 KB,2018-08-26 15:53:00
42121861,Aug/26/2018 15:55,Mk_Python_v1,3B - Lorry,Python 3,Accepted,1870 ms,12200 KB,2018-08-26 15:55:00
63196844,Oct/22/2019 21:53,vishnutheerthep,3B - Lorry,Python 3,Accepted,1432 ms,12400 KB,2019-10-22 21:53:00
44957535,Oct/27/2018 17:59,Jesse123,3B - Lorry,Python 3,Accepted,1434 ms,12200 KB,2018-10-27 17:59:00
65697841,Nov/25/2019 12:15,RealFreddy,3B - Lorry,GNU C++11,Accepted,124 ms,1900 KB,2019-11-25 12:15:00
9056842,Dec/09/2014 12:29,BingBnu,3B - Lorry,Scala,Accepted,1120 ms,8900 KB,2014-12-09 12:29:00
58839016,Aug/15/2019 03:20,luogu_bot1,3B - Lorry,GNU C++11,Accepted,124 ms,1600 KB,2019-08-15 03:20:00
51822721,Mar/25/2019 15:47,Leendertz,3B - Lorry,Python 3,Accepted,934 ms,12600 KB,2019-03-25 15:47:00
78405292,Apr/28/2020 19:31,dr_osgard,3B - Lorry,GNU C11,Accepted,746 ms,1600 KB,2020-04-28 19:31:00
18511245,Jun/16/2016 06:40,tecalm,3B - Lorry,Python 2,Accepted,1248 ms,10700 KB,2016-06-16 06:40:00
55911073,Jun/22/2019 05:03,xumingyang,3B - Lorry,GNU C++11,Accepted,92 ms,2100 KB,2019-06-22 05:03:00
34468367,Jan/23/2018 08:19,zengge,3B - Lorry,Python 3,Accepted,1778 ms,17000 KB,2018-01-23 08:19:00
53697127,May/03/2019 11:23,saghe_talaii,3B - Lorry,GNU C++17,Accepted,124 ms,3900 KB,2019-05-03 11:23:00
7420828,Aug/10/2014 23:51,vepagautam,3B - Lorry,GNU C++,Accepted,92 ms,2100 KB,2014-08-10 23:51:00
2767083,Dec/14/2012 18:55,gzgqllxh,3B - Lorry,GNU C++,Accepted,93 ms,1500 KB,2012-12-14 18:55:00
67450221,Dec/23/2019 06:30,n0body9200,3B - Lorry,Python 3,Accepted,1340 ms,11200 KB,2019-12-23 06:30:00
6301664,Apr/08/2014 21:00,zkw,3B - Lorry,Scala,Accepted,1090 ms,8100 KB,2014-04-08 21:00:00
