38767050,May/30/2018 12:24,franckmy,785B - Anton and Classes,Python 2,Accepted,1247 ms,6000 KB,2018-05-30 12:24:00
28911348,Jul/26/2017 19:58,Vasiliy_48,785B - Anton and Classes,Python 3,Accepted,1387 ms,4500 KB,2017-07-26 19:58:00
40600354,Jul/21/2018 11:13,vishal_911,785B - Anton and Classes,Python 3,Accepted,1310 ms,22900 KB,2018-07-21 11:13:00
25531107,Mar/15/2017 22:15,AHN#,785B - Anton and Classes,Python 3,Accepted,1294 ms,4500 KB,2017-03-15 22:15:00
25769030,Mar/24/2017 13:20,YakutovDmitriy,785B - Anton and Classes,Python 3,Accepted,1466 ms,55400 KB,2017-03-24 13:20:00
32143613,Nov/08/2017 20:47,Marble1,785B - Anton and Classes,Python 3,Accepted,1247 ms,0 KB,2017-11-08 20:47:00
41682115,Aug/17/2018 14:42,Aizomi_Senpai,785B - Anton and Classes,GNU C++,Accepted,1887 ms,0 KB,2018-08-17 14:42:00
43489812,Sep/27/2018 15:07,vjudge3,785B - Anton and Classes,GNU C++17,Accepted,249 ms,300 KB,2018-09-27 15:07:00
59262656,Aug/22/2019 12:15,XOR-star,785B - Anton and Classes,PyPy 3,Accepted,3509 ms,48600 KB,2019-08-22 12:15:00
25816088,Mar/26/2017 13:15,olimjon_e,785B - Anton and Classes,Python 3,Accepted,1170 ms,27100 KB,2017-03-26 13:15:00
50748168,Mar/03/2019 19:11,bhargav_0085,785B - Anton and Classes,GNU C++14,Accepted,1434 ms,0 KB,2019-03-03 19:11:00
58512332,Aug/09/2019 22:49,Parag_AP,785B - Anton and Classes,PyPy 3,Accepted,1075 ms,11600 KB,2019-08-09 22:49:00
58512360,Aug/09/2019 22:50,Parag_AP,785B - Anton and Classes,Python 3,Accepted,701 ms,23200 KB,2019-08-09 22:50:00
26257921,Apr/10/2017 19:30,Eddy_Hu,785B - Anton and Classes,GNU C++14,Accepted,1622 ms,1900 KB,2017-04-10 19:30:00
25603024,Mar/18/2017 17:37,Vosatorp,785B - Anton and Classes,Python 3,Accepted,1528 ms,41200 KB,2017-03-18 17:37:00
25661609,Mar/20/2017 11:28,G.Gelashvili,785B - Anton and Classes,GNU C++14,Accepted,1637 ms,1900 KB,2017-03-20 11:28:00
25507034,Mar/15/2017 18:19,JustAni,785B - Anton and Classes,Python 3,Accepted,1294 ms,4500 KB,2017-03-15 18:19:00
25510539,Mar/15/2017 18:32,179000,785B - Anton and Classes,GNU C++11,Accepted,2183 ms,2000 KB,2017-03-15 18:32:00
39544230,Jun/23/2018 17:51,Elvis25,785B - Anton and Classes,Python 3,Accepted,1482 ms,22800 KB,2018-06-23 17:51:00
47802698,Jan/01/2019 05:39,qjhsly,785B - Anton and Classes,Python 3,Accepted,1434 ms,44400 KB,2019-01-01 05:39:00
67700630,Dec/27/2019 17:29,Xyger,785B - Anton and Classes,GNU C++14,Accepted,1434 ms,0 KB,2019-12-27 17:29:00
26604188,Apr/23/2017 15:49,luka25,785B - Anton and Classes,GNU C++14,Accepted,1872 ms,1900 KB,2017-04-23 15:49:00
37976183,May/06/2018 20:37,vjudge5,785B - Anton and Classes,GNU C++17,Accepted,1622 ms,3300 KB,2018-05-06 20:37:00
45885575,Nov/17/2018 18:51,Mohammad.H915,785B - Anton and Classes,GNU C++14,Accepted,1434 ms,0 KB,2018-11-17 18:51:00
25509772,Mar/15/2017 18:29,UnusedFever,785B - Anton and Classes,Python 3,Accepted,3322 ms,78700 KB,2017-03-15 18:29:00
25529099,Mar/15/2017 21:23,s_p2k14,785B - Anton and Classes,GNU C++11,Accepted,1918 ms,2000 KB,2017-03-15 21:23:00
25522839,Mar/15/2017 19:41,m0ghya,785B - Anton and Classes,Python 3,Accepted,1216 ms,27000 KB,2017-03-15 19:41:00
27157513,May/16/2017 14:09,jdh,785B - Anton and Classes,Python 3,Accepted,1341 ms,300 KB,2017-05-16 14:09:00
25506726,Mar/15/2017 18:18,saba2000,785B - Anton and Classes,GNU C++14,Accepted,1606 ms,1900 KB,2017-03-15 18:18:00
25507765,Mar/15/2017 18:21,RichStrong,785B - Anton and Classes,Python 3,Accepted,1434 ms,4500 KB,2017-03-15 18:21:00
27953922,Jun/22/2017 02:07,aliahmad95,785B - Anton and Classes,GNU C++11,Accepted,1933 ms,2100 KB,2017-06-22 02:07:00
43490172,Sep/27/2018 15:16,Cr_Momi91,785B - Anton and Classes,GNU C++14,Accepted,233 ms,300 KB,2018-09-27 15:16:00
57467464,Jul/21/2019 19:13,BugsBunny,785B - Anton and Classes,GNU C++17,Accepted,1434 ms,0 KB,2019-07-21 19:13:00
25508979,Mar/15/2017 18:26,zalyalov,785B - Anton and Classes,Python 3,Accepted,1279 ms,4500 KB,2017-03-15 18:26:00
31172807,Oct/09/2017 19:29,biltharesatyendra,785B - Anton and Classes,Python 2,Accepted,1123 ms,0 KB,2017-10-09 19:29:00
25723536,Mar/23/2017 02:23,N1amr,785B - Anton and Classes,Python 3,Accepted,1326 ms,4500 KB,2017-03-23 02:23:00
25506808,Mar/15/2017 18:18,me.avmnusng,785B - Anton and Classes,Python 3,Accepted,1450 ms,52500 KB,2017-03-15 18:18:00
25508872,Mar/15/2017 18:25,ragingbull,785B - Anton and Classes,PyPy 2,Accepted,1107 ms,27700 KB,2017-03-15 18:25:00
25577684,Mar/17/2017 19:14,olek20,785B - Anton and Classes,Python 3,Accepted,1435 ms,4500 KB,2017-03-17 19:14:00
25553806,Mar/16/2017 18:38,Jihad.,785B - Anton and Classes,Python 3,Accepted,1747 ms,4500 KB,2017-03-16 18:38:00
25540031,Mar/16/2017 09:31,xuhaiwei,785B - Anton and Classes,GNU C++,Accepted,1903 ms,2000 KB,2017-03-16 09:31:00
25557964,Mar/16/2017 21:43,Dalie,785B - Anton and Classes,Python 3,Accepted,1372 ms,27000 KB,2017-03-16 21:43:00
25576559,Mar/17/2017 18:23,s_p,785B - Anton and Classes,Perl,Accepted,483 ms,2200 KB,2017-03-17 18:23:00
25648273,Mar/19/2017 17:19,zeinsakkour2001#,785B - Anton and Classes,GNU C++,Accepted,1902 ms,2000 KB,2017-03-19 17:19:00
25506125,Mar/15/2017 18:16,TanyaCheremkhina,785B - Anton and Classes,Python 3,Accepted,1356 ms,4500 KB,2017-03-15 18:16:00
36775502,Mar/31/2018 16:42,Torix123,785B - Anton and Classes,GNU C++14,Accepted,1621 ms,18900 KB,2018-03-31 16:42:00
27964986,Jun/22/2017 15:30,poyodr,785B - Anton and Classes,Python 3,Accepted,1263 ms,27200 KB,2017-06-22 15:30:00
40352483,Jul/14/2018 20:51,filipetrm,785B - Anton and Classes,GNU C++11,Accepted,1902 ms,0 KB,2018-07-14 20:51:00
27399949,May/28/2017 06:23,RetiredPenguin#,785B - Anton and Classes,GNU C++11,Accepted,1887 ms,0 KB,2017-05-28 06:23:00
