27062027,May/12/2017 23:35,Boson007,235B - Let's Play Osu!,Python 3,Accepted,342 ms,9100 KB,2017-05-12 23:35:00
23693544,Jan/11/2017 11:06,vjudge1,235B - Let's Play Osu!,Python 2,Accepted,280 ms,10500 KB,2017-01-11 11:06:00
23878806,Jan/16/2017 12:53,vjudge5,235B - Let's Play Osu!,PyPy 2,Accepted,218 ms,29200 KB,2017-01-16 12:53:00
12472853,Aug/12/2015 05:38,chenyushuo___,235B - Let's Play Osu!,GNU C++,Accepted,122 ms,0 KB,2015-08-12 05:38:00
2476203,Nov/01/2012 08:40,khuongnd,235B - Let's Play Osu!,Python 2,Accepted,203 ms,6000 KB,2012-11-01 08:40:00
58131052,Aug/01/2019 17:18,vjudge5,236D - Let's Play Osu!,GNU C++14,Accepted,1028 ms,200 KB,2019-08-01 17:18:00
39350981,Jun/18/2018 11:32,2___3,235B - Let's Play Osu!,GNU C++,Accepted,154 ms,0 KB,2018-06-18 11:32:00
7124013,Jul/17/2014 16:52,rxdoi#,236D - Let's Play Osu!,GNU C++,Accepted,122 ms,0 KB,2014-07-17 16:52:00
2407008,Oct/22/2012 10:38,xy666,235B - Let's Play Osu!,Delphi,Accepted,46 ms,0 KB,2012-10-22 10:38:00
2407061,Oct/22/2012 10:54,xy666,236D - Let's Play Osu!,FPC,Accepted,46 ms,0 KB,2012-10-22 10:54:00
5139155,Nov/18/2013 07:47,xyz111,235B - Let's Play Osu!,GNU C++,Accepted,92 ms,0 KB,2013-11-18 07:47:00
76047832,Apr/10/2020 04:27,cuberlongf,236D - Let's Play Osu!,GNU C++14,Accepted,1060 ms,200 KB,2020-04-10 04:27:00
3689727,May/07/2013 13:21,chnst#,235B - Let's Play Osu!,GNU C++,Accepted,78 ms,0 KB,2013-05-07 13:21:00
7560911,Aug/23/2014 19:06,WARenie,235B - Let's Play Osu!,FPC,Accepted,62 ms,0 KB,2014-08-23 19:06:00
27062032,May/12/2017 23:35,toster1287,235B - Let's Play Osu!,Python 3,Accepted,374 ms,9100 KB,2017-05-12 23:35:00
2415492,Oct/23/2012 07:08,zshi,235B - Let's Play Osu!,GNU C++,Accepted,171 ms,0 KB,2012-10-23 07:08:00
14125105,Nov/07/2015 16:49,130705009,235B - Let's Play Osu!,GNU C++,Accepted,92 ms,0 KB,2015-11-07 16:49:00
62748657,Oct/17/2019 02:29,luogu_bot2,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-10-17 02:29:00
11784512,Jun/27/2015 15:21,saatwik27,235B - Let's Play Osu!,GNU C++,Accepted,1184 ms,0 KB,2015-06-27 15:21:00
79371579,May/08/2020 14:15,luogu_bot4,235B - Let's Play Osu!,GNU C++11,Accepted,998 ms,3800 KB,2020-05-08 14:15:00
75763220,Apr/07/2020 18:59,vjudge3,236D - Let's Play Osu!,GNU C++17,Accepted,248 ms,0 KB,2020-04-07 18:59:00
2412735,Oct/22/2012 21:21,v_Enhance,236D - Let's Play Osu!,Python 2,Accepted,187 ms,6000 KB,2012-10-22 21:21:00
22914421,Dec/13/2016 00:25,rajat1603,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2016-12-13 00:25:00
2421222,Oct/24/2012 15:52,sunzhouyi,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,0 KB,2012-10-24 15:52:00
