1617572,Apr/23/2012 08:07,Archon.JK,173B - Chamber of Secrets,GNU C++0x,Accepted,60 ms,10600 KB,2012-04-23 08:07:00
40737749,Jul/25/2018 13:42,CHENRUIJIE,173B - Chamber of Secrets,GNU C++,Accepted,466 ms,26400 KB,2018-07-25 13:42:00
46413198,Nov/30/2018 21:00,hackerman_from_google,173B - Chamber of Secrets,GNU C++11,Accepted,342 ms,30400 KB,2018-11-30 21:00:00
48599647,Jan/20/2019 10:47,luogu_bot4,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,9500 KB,2019-01-20 10:47:00
48677857,Jan/21/2019 15:15,2020skyfall,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,9500 KB,2019-01-21 15:15:00
48597450,Jan/20/2019 09:52,luogu_bot5,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10500 KB,2019-01-20 09:52:00
48597483,Jan/20/2019 09:53,tyd05,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10500 KB,2019-01-20 09:53:00
7193395,Jul/21/2014 14:30,nsfxlyl,173B - Chamber of Secrets,GNU C++,Accepted,156 ms,4100 KB,2014-07-21 14:30:00
21520256,Oct/17/2016 16:32,aremo,173B - Chamber of Secrets,GNU C++11,Accepted,966 ms,11600 KB,2016-10-17 16:32:00
15451777,Jan/20/2016 13:54,vjudge5,173B - Chamber of Secrets,GNU C++,Accepted,62 ms,1000 KB,2016-01-20 13:54:00
15451780,Jan/20/2016 13:54,vjudge1,173B - Chamber of Secrets,GNU C++,Accepted,60 ms,1000 KB,2016-01-20 13:54:00
15451663,Jan/20/2016 13:43,UESTC_Sphinx,173B - Chamber of Secrets,GNU C++11,Accepted,62 ms,1000 KB,2016-01-20 13:43:00
21502514,Oct/16/2016 20:03,vjudge2,173B - Chamber of Secrets,GNU C++11,Accepted,904 ms,3000 KB,2016-10-16 20:03:00
37864683,May/03/2018 17:08,vjudge2,173B - Chamber of Secrets,GNU C++,Accepted,404 ms,14300 KB,2018-05-03 17:08:00
48599590,Jan/20/2019 10:46,Andy20070106,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10600 KB,2019-01-20 10:46:00
50617330,Feb/28/2019 23:36,Nargess-Seifi,173B - Chamber of Secrets,GNU C++17,Accepted,404 ms,9800 KB,2019-02-28 23:36:00
2473711,Oct/31/2012 13:56,watashi,173B - Chamber of Secrets,Haskell,Accepted,890 ms,118000 KB,2012-10-31 13:56:00
32290396,Nov/13/2017 20:11,vjudge5,173B - Chamber of Secrets,GNU C++14,Accepted,436 ms,9900 KB,2017-11-13 20:11:00
21502506,Oct/16/2016 20:02,ag_mhd,173B - Chamber of Secrets,GNU C++11,Accepted,998 ms,3000 KB,2016-10-16 20:02:00
28623118,Jul/17/2017 04:43,hbxiaohao,173B - Chamber of Secrets,GNU C++11,Accepted,966 ms,3000 KB,2017-07-17 04:43:00
76306994,Apr/12/2020 11:49,AhooraBozorgManesh,173B - Chamber of Secrets,GNU C++14,Accepted,92 ms,9700 KB,2020-04-12 11:49:00
37837516,May/02/2018 14:13,zhupengfei,173B - Chamber of Secrets,GNU C++17,Accepted,466 ms,12800 KB,2018-05-02 14:13:00
1774387,Jun/10/2012 09:52,Joker,173B - Chamber of Secrets,GNU C++,Accepted,50 ms,2400 KB,2012-06-10 09:52:00
48600179,Jan/20/2019 11:01,digcboy,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10500 KB,2019-01-20 11:01:00
1496667,Apr/07/2012 23:29,Parhomets,173B - Chamber of Secrets,GNU C++,Accepted,250 ms,9700 KB,2012-04-07 23:29:00
1774383,Jun/10/2012 09:49,Joker,173B - Chamber of Secrets,GNU C++,Accepted,220 ms,2400 KB,2012-06-10 09:49:00
44279747,Oct/14/2018 06:06,vjudge3,173B - Chamber of Secrets,GNU C++11,Accepted,342 ms,29300 KB,2018-10-14 06:06:00
21520246,Oct/17/2016 16:32,vjudge3,173B - Chamber of Secrets,GNU C++14,Accepted,498 ms,11500 KB,2016-10-17 16:32:00
41991433,Aug/23/2018 12:06,PeterSong,173B - Chamber of Secrets,GNU C++14,Accepted,468 ms,29200 KB,2018-08-23 12:06:00
48655680,Jan/21/2019 05:27,luogu_bot3,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10500 KB,2019-01-21 05:27:00
5620672,Jan/05/2014 12:39,PSDEV,173B - Chamber of Secrets,GNU C++,Accepted,62 ms,1000 KB,2014-01-05 12:39:00
64678358,Nov/11/2019 11:59,yasharp83,173B - Chamber of Secrets,GNU C++14,Accepted,436 ms,9800 KB,2019-11-11 11:59:00
1484446,Apr/06/2012 20:56,yakitori,173B - Chamber of Secrets,GNU C++,Accepted,60 ms,5300 KB,2012-04-06 20:56:00
2829173,Dec/26/2012 17:58,dyc,173B - Chamber of Secrets,GNU C++,Accepted,343 ms,1300 KB,2012-12-26 17:58:00
5620561,Jan/05/2014 12:31,PSDEV,173B - Chamber of Secrets,GNU C++,Accepted,62 ms,1000 KB,2014-01-05 12:31:00
40735144,Jul/25/2018 12:31,noipopt,173B - Chamber of Secrets,GNU C++11,Accepted,1028 ms,10500 KB,2018-07-25 12:31:00
34731003,Jan/31/2018 11:26,JinTianHao,173B - Chamber of Secrets,GNU C++14,Accepted,374 ms,31500 KB,2018-01-31 11:26:00
1774396,Jun/10/2012 10:00,Joker,173B - Chamber of Secrets,GNU C++,Accepted,50 ms,2400 KB,2012-06-10 10:00:00
5070731,Nov/11/2013 21:56,Elshiko,173B - Chamber of Secrets,GNU C++0x,Accepted,248 ms,9900 KB,2013-11-11 21:56:00
40724452,Jul/25/2018 06:51,lnj,173B - Chamber of Secrets,GNU C++,Accepted,902 ms,10600 KB,2018-07-25 06:51:00
71981554,Feb/27/2020 17:36,Chief_Blackhood,173B - Chamber of Secrets,GNU C++14,Accepted,124 ms,10300 KB,2020-02-27 17:36:00
1774391,Jun/10/2012 09:54,Joker,173B - Chamber of Secrets,GNU C++,Accepted,50 ms,2400 KB,2012-06-10 09:54:00
48599794,Jan/20/2019 10:51,luogu_bot4,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10600 KB,2019-01-20 10:51:00
49227790,Jan/31/2019 05:42,lnj,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10600 KB,2019-01-31 05:42:00
40721804,Jul/25/2018 04:48,felmid,173B - Chamber of Secrets,GNU C++17,Accepted,436 ms,9700 KB,2018-07-25 04:48:00
46437849,Dec/01/2018 13:18,aryahassibi,173B - Chamber of Secrets,GNU C++17,Accepted,342 ms,9400 KB,2018-12-01 13:18:00
48959423,Jan/26/2019 08:59,Verena,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10600 KB,2019-01-26 08:59:00
43668771,Oct/02/2018 05:39,tyd05,173B - Chamber of Secrets,GNU C++11,Accepted,996 ms,10600 KB,2018-10-02 05:39:00
18608357,Jun/20/2016 06:40,OcarisAM,173B - Chamber of Secrets,GNU C++11,Accepted,374 ms,11500 KB,2016-06-20 06:40:00
40722370,Jul/25/2018 05:11,InvisibleCyclist,173B - Chamber of Secrets,GNU C++11,Accepted,936 ms,14400 KB,2018-07-25 05:11:00
40724518,Jul/25/2018 06:55,BlahDuckling747,173B - Chamber of Secrets,GNU C++11,Accepted,374 ms,10900 KB,2018-07-25 06:55:00
48597541,Jan/20/2019 09:54,luogu_bot3,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,9500 KB,2019-01-20 09:54:00
62517856,Oct/13/2019 17:52,gina0605,173B - Chamber of Secrets,GNU C++17,Accepted,92 ms,10400 KB,2019-10-13 17:52:00
34710945,Jan/30/2018 16:51,Best_Memories,173B - Chamber of Secrets,GNU C++14,Accepted,436 ms,16100 KB,2018-01-30 16:51:00
48656324,Jan/21/2019 05:53,Dr.kkk,173B - Chamber of Secrets,GNU C++11,Accepted,810 ms,10500 KB,2019-01-21 05:53:00
1506397,Apr/09/2012 13:14,tituia,173B - Chamber of Secrets,GNU C++,Accepted,280 ms,9700 KB,2012-04-09 13:14:00
7287771,Jul/29/2014 23:55,vjudge4,173B - Chamber of Secrets,GNU C++,Accepted,186 ms,9500 KB,2014-07-29 23:55:00
