5953959,Mar/07/2014 02:51,t.janssen52,358B - Dima and Text Messages,Python 2,Accepted,155 ms,2400 KB,2014-03-07 02:51:00
4951186,Nov/01/2013 17:08,mikev,358B - Dima and Text Messages,Python 2,Accepted,1310 ms,1100 KB,2013-11-01 17:08:00
4919843,Oct/28/2013 17:46,RainDreamer#,358B - Dima and Text Messages,Python 2,Accepted,920 ms,4200 KB,2013-10-28 17:46:00
23942272,Jan/19/2017 13:33,Sahashoo#,358B - Dima and Text Messages,GNU C++11,Accepted,109 ms,3000 KB,2017-01-19 13:33:00
57893830,Jul/28/2019 15:47,lopare,358B - Dima and Text Messages,GNU C++11,Accepted,93 ms,1000 KB,2019-07-28 15:47:00
64498480,Nov/08/2019 05:20,eduardonunes2525,358B - Dima and Text Messages,GNU C++17,Accepted,77 ms,1000 KB,2019-11-08 05:20:00
67636273,Dec/26/2019 10:07,prajapb13,358B - Dima and Text Messages,GNU C++17,Accepted,77 ms,1000 KB,2019-12-26 10:07:00
4937654,Oct/30/2013 21:51,sggutier,358B - Dima and Text Messages,Python 2,Accepted,998 ms,2500 KB,2013-10-30 21:51:00
11454394,Jun/06/2015 08:05,ving.xia,358B - Dima and Text Messages,Python 3,Accepted,233 ms,1600 KB,2015-06-06 08:05:00
26156142,Apr/05/2017 21:10,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,93 ms,3000 KB,2017-04-05 21:10:00
39259656,Jun/15/2018 10:08,Vinay_Katare,358B - Dima and Text Messages,GNU C++11,Accepted,108 ms,1000 KB,2018-06-15 10:08:00
66644517,Dec/11/2019 19:09,scientificuber,358B - Dima and Text Messages,GNU C++14,Accepted,78 ms,1000 KB,2019-12-11 19:09:00
50769670,Mar/04/2019 06:15,kkaly,358B - Dima and Text Messages,GNU C++11,Accepted,93 ms,1000 KB,2019-03-04 06:15:00
4886170,Oct/25/2013 20:29,* __ivan__,358B - Dima and Text Messages,Python 3,Accepted,202 ms,1200 KB,2013-10-25 20:29:00
26156176,Apr/05/2017 21:12,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,124 ms,3000 KB,2017-04-05 21:12:00
4884383,Oct/25/2013 20:10,Adelaide,358B - Dima and Text Messages,Ruby,Accepted,171 ms,700 KB,2013-10-25 20:10:00
9918790,Feb/18/2015 22:13,calmhandtitan,358B - Dima and Text Messages,Python 2,Accepted,951 ms,5300 KB,2015-02-18 22:13:00
4882720,Oct/25/2013 19:54,BilboBaggins,358B - Dima and Text Messages,Python 2,Accepted,920 ms,2500 KB,2013-10-25 19:54:00
5764091,Jan/21/2014 14:45,kkglove,358B - Dima and Text Messages,GNU C++,Accepted,78 ms,1000 KB,2014-01-21 14:45:00
12785222,Aug/31/2015 10:24,El_Heisenberg,358B - Dima and Text Messages,GNU C++11,Accepted,109 ms,1000 KB,2015-08-31 10:24:00
14039308,Nov/03/2015 12:14,130705009,358B - Dima and Text Messages,GNU C++,Accepted,109 ms,1000 KB,2015-11-03 12:14:00
26156221,Apr/05/2017 21:14,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,93 ms,3000 KB,2017-04-05 21:14:00
4881978,Oct/25/2013 19:48,kaioken,358B - Dima and Text Messages,Python 2,Accepted,93 ms,5000 KB,2013-10-25 19:48:00
4882184,Oct/25/2013 19:50,victsou,358B - Dima and Text Messages,Python 2,Accepted,93 ms,5900 KB,2013-10-25 19:50:00
30500627,Sep/19/2017 17:08,muskansapolia,358B - Dima and Text Messages,Python 2,Accepted,124 ms,5300 KB,2017-09-19 17:08:00
49363916,Feb/02/2019 17:08,tortoise1,358B - Dima and Text Messages,GNU C++14,Accepted,93 ms,1000 KB,2019-02-02 17:08:00
5483885,Dec/21/2013 01:37,Re_cursive,358B - Dima and Text Messages,Python 2,Accepted,93 ms,4100 KB,2013-12-21 01:37:00
4993753,Nov/05/2013 17:47,Chen_ChaoRui,358B - Dima and Text Messages,FPC,Accepted,15 ms,1500 KB,2013-11-05 17:47:00
4938222,Oct/30/2013 23:58,mjnovice,358B - Dima and Text Messages,Python 2,Accepted,156 ms,600 KB,2013-10-30 23:58:00
4901123,Oct/26/2013 13:09,ErdemKirez,358B - Dima and Text Messages,GNU C++,Accepted,62 ms,1000 KB,2013-10-26 13:09:00
15094012,Dec/30/2015 11:17,rajeshkumarsinha12,358B - Dima and Text Messages,Python 3,Accepted,234 ms,2100 KB,2015-12-30 11:17:00
49155081,Jan/29/2019 16:30,Kamal1998,358B - Dima and Text Messages,GNU C++14,Accepted,93 ms,1000 KB,2019-01-29 16:30:00
4884091,Oct/25/2013 20:07,pterx,358B - Dima and Text Messages,Ruby,Accepted,171 ms,7800 KB,2013-10-25 20:07:00
54365178,May/19/2019 04:52,yyxchn,358B - Dima and Text Messages,GNU C++17,Accepted,93 ms,1000 KB,2019-05-19 04:52:00
4906585,Oct/26/2013 22:35,Shiz0,358B - Dima and Text Messages,Python 3,Accepted,249 ms,1100 KB,2013-10-26 22:35:00
4891819,Oct/25/2013 22:30,Scrat,358B - Dima and Text Messages,FPC,Accepted,15 ms,1500 KB,2013-10-25 22:30:00
15262363,Jan/09/2016 04:32,yongwhan,358B - Dima and Text Messages,GNU C++11,Accepted,124 ms,1000 KB,2016-01-09 04:32:00
11495606,Jun/08/2015 11:56,obsolescence,358B - Dima and Text Messages,Perl,Accepted,405 ms,49400 KB,2015-06-08 11:56:00
15445361,Jan/20/2016 03:50,Wael.Al.Jamal,358B - Dima and Text Messages,GNU C++,Accepted,109 ms,1000 KB,2016-01-20 03:50:00
25489729,Mar/15/2017 07:54,Rifat79,358B - Dima and Text Messages,GNU C++11,Accepted,514 ms,3000 KB,2017-03-15 07:54:00
26156470,Apr/05/2017 21:30,hitagg008,358B - Dima and Text Messages,GNU C++11,Accepted,109 ms,3000 KB,2017-04-05 21:30:00
6578537,May/09/2014 19:33,fourteenflames,358B - Dima and Text Messages,Python 2,Accepted,140 ms,700 KB,2014-05-09 19:33:00
17132094,Apr/02/2016 17:44,freebsdx,358B - Dima and Text Messages,GNU C++11,Accepted,108 ms,3000 KB,2016-04-02 17:44:00
41145337,Aug/03/2018 09:16,vjudge5,358B - Dima and Text Messages,GNU C++,Accepted,109 ms,1300 KB,2018-08-03 09:16:00
4882264,Oct/25/2013 19:50,EvilIce,358B - Dima and Text Messages,Python 2,Accepted,998 ms,2500 KB,2013-10-25 19:50:00
