28966385,Jul/29/2017 10:00,nealzane,827B - High Load,Python 2,Accepted,295 ms,8000 KB,2017-07-29 10:00:00
28477120,Jul/12/2017 17:37,Zrj,828D - High Load,Python 3,Accepted,1185 ms,5700 KB,2017-07-12 17:37:00
30660657,Sep/24/2017 11:52,lllllllllllllllllllllll,828D - High Load,GNU C++,Accepted,77 ms,0 KB,2017-09-24 11:52:00
57874029,Jul/28/2019 07:00,lopare,827B - High Load,GNU C++11,Accepted,77 ms,0 KB,2019-07-28 07:00:00
28566301,Jul/15/2017 09:58,zhangzy,828D - High Load,GNU C++11,Accepted,77 ms,1900 KB,2017-07-15 09:58:00
54908445,Jun/01/2019 12:55,bhargav_0085#,828D - High Load,GNU C++14,Accepted,62 ms,0 KB,2019-06-01 12:55:00
29261421,Aug/07/2017 12:40,adelacvg,828D - High Load,GNU C++11,Accepted,78 ms,2100 KB,2017-08-07 12:40:00
28460060,Jul/12/2017 06:45,egoist,828D - High Load,GNU C++14,Accepted,78 ms,1900 KB,2017-07-12 06:45:00
28703096,Jul/19/2017 21:16,newgate,828D - High Load,GNU C++11,Accepted,93 ms,2100 KB,2017-07-19 21:16:00
28504204,Jul/13/2017 16:48,david-nj,827B - High Load,GNU C++,Accepted,93 ms,2100 KB,2017-07-13 16:48:00
35718785,Feb/26/2018 06:30,chetan52720,827B - High Load,GNU C++11,Accepted,607 ms,2000 KB,2018-02-26 06:30:00
29600637,Aug/19/2017 17:18,Hank2006,827B - High Load,GNU C++14,Accepted,77 ms,0 KB,2017-08-19 17:18:00
28487358,Jul/13/2017 05:47,Dull-,828D - High Load,GNU C++,Accepted,78 ms,2100 KB,2017-07-13 05:47:00
28457654,Jul/12/2017 04:52,zstu_whx#,827B - High Load,GNU C++,Accepted,93 ms,2100 KB,2017-07-12 04:52:00
28566205,Jul/15/2017 09:53,zhangzy,828D - High Load,GNU C++11,Accepted,78 ms,2100 KB,2017-07-15 09:53:00
32434902,Nov/18/2017 18:12,realcomplex,827B - High Load,GNU C++14,Accepted,78 ms,1800 KB,2017-11-18 18:12:00
48903216,Jan/24/2019 22:00,amitnsky,827B - High Load,GNU C++14,Accepted,77 ms,0 KB,2019-01-24 22:00:00
28459865,Jul/12/2017 06:34,SiriusRen,828D - High Load,GNU C++,Accepted,77 ms,2100 KB,2017-07-12 06:34:00
28506315,Jul/13/2017 18:10,IHate24CharactersLimit,827B - High Load,GNU C++11,Accepted,78 ms,2100 KB,2017-07-13 18:10:00
30660598,Sep/24/2017 11:49,lllllllllllllllllllllll,828D - High Load,GNU C++,Accepted,78 ms,0 KB,2017-09-24 11:49:00
