66379476,Dec/06/2019 07:53,luogu_bot2,986B - Petr and Permutations,GNU C++11,Accepted,186 ms,3900 KB,2019-12-06 07:53:00
38786995,May/31/2018 03:19,erge,987E - Petr and Permutations,GNU C++14,Accepted,296 ms,7600 KB,2018-05-31 03:19:00
62213851,Oct/09/2019 18:21,Besh,987E - Petr and Permutations,GNU C++14,Accepted,264 ms,0 KB,2019-10-09 18:21:00
38757039,May/30/2018 05:45,160930010,987E - Petr and Permutations,GNU C++17,Accepted,295 ms,7200 KB,2018-05-30 05:45:00
44000444,Oct/08/2018 16:29,luogu_bot1,986B - Petr and Permutations,GNU C++11,Accepted,202 ms,3700 KB,2018-10-08 16:29:00
44973599,Oct/28/2018 06:17,ZMDBZC,986B - Petr and Permutations,GNU C++11,Accepted,1621 ms,7800 KB,2018-10-28 06:17:00
44973610,Oct/28/2018 06:17,luogu_bot2,986B - Petr and Permutations,GNU C++11,Accepted,1621 ms,7800 KB,2018-10-28 06:17:00
39004646,Jun/07/2018 00:40,Brankonymous,986B - Petr and Permutations,GNU C++14,Accepted,1435 ms,0 KB,2018-06-07 00:40:00
38816357,Jun/01/2018 05:19,Anguei,986B - Petr and Permutations,GNU C++11,Accepted,638 ms,3400 KB,2018-06-01 05:19:00
47362062,Dec/22/2018 12:17,Ice_teapoy,986B - Petr and Permutations,GNU C++11,Accepted,171 ms,7800 KB,2018-12-22 12:17:00
38816361,Jun/01/2018 05:20,black_desk,987E - Petr and Permutations,GNU C++17,Accepted,1404 ms,3300 KB,2018-06-01 05:20:00
41296193,Aug/07/2018 10:20,ulyabelyaeva,987E - Petr and Permutations,Python 3,Accepted,1325 ms,60000 KB,2018-08-07 10:20:00
38774679,May/30/2018 16:28,hustle,987E - Petr and Permutations,GNU C++14,Accepted,1497 ms,11400 KB,2018-05-30 16:28:00
38748229,May/29/2018 20:21,JOHNKRAM,986B - Petr and Permutations,GNU C++,Accepted,218 ms,8300 KB,2018-05-29 20:21:00
58711868,Aug/13/2019 15:34,smzzl,986B - Petr and Permutations,GNU C++11,Accepted,1622 ms,15700 KB,2019-08-13 15:34:00
67659857,Dec/26/2019 18:21,bicycleman,986B - Petr and Permutations,GNU C++14,Accepted,234 ms,4900 KB,2019-12-26 18:21:00
38743677,May/29/2018 19:52,Emiso,986B - Petr and Permutations,GNU C++14,Accepted,264 ms,7200 KB,2018-05-29 19:52:00
38748253,May/29/2018 20:21,pavlekn,987E - Petr and Permutations,PyPy 3,Accepted,779 ms,73600 KB,2018-05-29 20:21:00
38759386,May/30/2018 07:41,meeeep,986B - Petr and Permutations,GNU C++14,Accepted,1403 ms,3300 KB,2018-05-30 07:41:00
38769305,May/30/2018 13:42,ITer#,986B - Petr and Permutations,GNU C++11,Accepted,202 ms,11600 KB,2018-05-30 13:42:00
38882710,Jun/02/2018 13:11,Ice_teapoy,986B - Petr and Permutations,GNU C++,Accepted,202 ms,11300 KB,2018-06-02 13:11:00
