8866122,Nov/27/2014 08:20,I_love_Malika,157D - Suspects,Python 2,Accepted,654 ms,7900 KB,2014-11-27 08:20:00
1471282,Apr/03/2012 20:54,digiter,156B - Suspects,Python 2,Accepted,590 ms,16700 KB,2012-04-03 20:54:00
11270400,May/25/2015 23:49,Amr_Hassan,156B - Suspects,Python 2,Accepted,624 ms,14200 KB,2015-05-25 23:49:00
25375148,Mar/10/2017 11:37,vjudge3,156B - Suspects,GNU C++,Accepted,92 ms,3400 KB,2017-03-10 11:37:00
36400962,Mar/19/2018 03:33,yuxizi,156B - Suspects,GNU C++11,Accepted,124 ms,4800 KB,2018-03-19 03:33:00
7578901,Aug/26/2014 13:49,Rainto96,156B - Suspects,GNU C++,Accepted,530 ms,17400 KB,2014-08-26 13:49:00
1254941,Mar/01/2012 20:38,Samsara,156B - Suspects,GNU C++,Accepted,220 ms,3300 KB,2012-03-01 20:38:00
1648114,May/01/2012 19:36,vlad107,156B - Suspects,FPC,Accepted,60 ms,9800 KB,2012-05-01 19:36:00
17084234,Apr/01/2016 06:24,freebsdx,156B - Suspects,GNU C++11,Accepted,92 ms,2800 KB,2016-04-01 06:24:00
20966968,Sep/28/2016 15:29,vjudge4,156B - Suspects,GNU C++,Accepted,92 ms,1400 KB,2016-09-28 15:29:00
58383202,Aug/06/2019 13:52,HSZ666666,156B - Suspects,GNU C++11,Accepted,466 ms,3100 KB,2019-08-06 13:52:00
1359216,Mar/15/2012 18:50,mbehroozikhah,156B - Suspects,GNU C++,Accepted,200 ms,2300 KB,2012-03-15 18:50:00
46188371,Nov/25/2018 04:53,shenqihao,156B - Suspects,Clang++17 Diagnostics,Accepted,1714 ms,2000 KB,2018-11-25 04:53:00
48566215,Jan/19/2019 12:41,ylxmf2005awa,156B - Suspects,GNU C++11,Accepted,92 ms,1600 KB,2019-01-19 12:41:00
20966917,Sep/28/2016 15:27,zgncycz,156B - Suspects,GNU C++,Accepted,124 ms,1400 KB,2016-09-28 15:27:00
