25381790,Mar/10/2017 17:17,kishertka#,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-10 17:17:00
25575556,Mar/17/2017 17:40,siddharths067#,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-03-17 17:40:00
68923296,Jan/16/2020 12:50,Aman_j1,779B - Weird Rounding,GNU C++17,Accepted,31 ms,0 KB,2020-01-16 12:50:00
44952795,Oct/27/2018 15:55,vjudge1,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2018-10-27 15:55:00
25045513,Feb/26/2017 12:34,speedster5,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 12:34:00
25188772,Mar/03/2017 23:58,ttan,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-03 23:58:00
25076099,Feb/27/2017 14:55,aman_shahi2,779B - Weird Rounding,Python 2,Accepted,61 ms,4500 KB,2017-02-27 14:55:00
25296536,Mar/06/2017 18:40,DF000,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-06 18:40:00
26704665,Apr/27/2017 17:27,sonya123,779B - Weird Rounding,Python 3,Accepted,62 ms,5400 KB,2017-04-27 17:27:00
25034600,Feb/26/2017 11:23,potpath,779B - Weird Rounding,PyPy 3,Accepted,109 ms,22600 KB,2017-02-26 11:23:00
25349419,Mar/08/2017 23:29,ikovrigin,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-03-08 23:29:00
25055297,Feb/26/2017 16:11,freecss0540,779B - Weird Rounding,Python 3,Accepted,77 ms,4500 KB,2017-02-26 16:11:00
25969669,Mar/31/2017 09:52,post_graduate,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-03-31 09:52:00
34810216,Feb/01/2018 19:40,Paixao,779B - Weird Rounding,Python 3,Accepted,62 ms,5500 KB,2018-02-01 19:40:00
54805330,May/29/2019 16:49,Shadow_Dragoon,779B - Weird Rounding,GNU C++14,Accepted,31 ms,0 KB,2019-05-29 16:49:00
41814680,Aug/19/2018 08:53,Aizomi_Senpai,779B - Weird Rounding,GNU C++,Accepted,31 ms,0 KB,2018-08-19 08:53:00
25055406,Feb/26/2017 16:14,SendThemToHell,779B - Weird Rounding,PyPy 3,Accepted,124 ms,22600 KB,2017-02-26 16:14:00
25123316,Mar/01/2017 15:41,ltf0501,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-03-01 15:41:00
25169321,Mar/03/2017 15:07,vslkashyap,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-03 15:07:00
25552594,Mar/16/2017 17:53,TranDucLuong1002,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-03-16 17:53:00
48189157,Jan/10/2019 19:50,shadow04#,779B - Weird Rounding,Python 3,Accepted,109 ms,0 KB,2019-01-10 19:50:00
25108461,Feb/28/2017 22:00,ssor96#,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-28 22:00:00
