24685291,Feb/15/2017 06:53,vjudge3,730B - Minimum and Maximum,GNU C++14,Accepted,326 ms,1900 KB,2017-02-15 06:53:00
24685311,Feb/15/2017 06:56,Shadow_dsp,730B - Minimum and Maximum,GNU C++14,Accepted,327 ms,1900 KB,2017-02-15 06:56:00
21903013,Oct/31/2016 07:01,TRCYX,730B - Minimum and Maximum,GNU C++11,Accepted,265 ms,0 KB,2016-10-31 07:01:00
22322651,Nov/19/2016 12:40,Rezwan.Arefin01,730B - Minimum and Maximum,GNU C++11,Accepted,311 ms,0 KB,2016-11-19 12:40:00
21704633,Oct/23/2016 12:17,"Triplex: Mohammad.Sj, Took, MohammadJA",730B - Minimum and Maximum,GNU C++14,Accepted,343 ms,0 KB,2016-10-23 12:17:00
21705379,Oct/23/2016 12:33,chihiro,730B - Minimum and Maximum,GNU C++14,Accepted,233 ms,0 KB,2016-10-23 12:33:00
49343993,Feb/02/2019 06:44,dblark,730B - Minimum and Maximum,FPC,Accepted,483 ms,0 KB,2019-02-02 06:44:00
21703282,Oct/23/2016 11:51,"Potato de la Vache: FatalEagle, ksun48",730B - Minimum and Maximum,GNU C++11,Accepted,405 ms,0 KB,2016-10-23 11:51:00
21702972,Oct/23/2016 11:45,Deemo,730B - Minimum and Maximum,GNU C++14,Accepted,296 ms,0 KB,2016-10-23 11:45:00
22415938,Nov/23/2016 07:15,Mjgonzales,730B - Minimum and Maximum,GNU C++14,Accepted,311 ms,0 KB,2016-11-23 07:15:00
22039235,Nov/04/2016 20:02,"Baumkuchen: luzhen1412, Sayanouta, N_C_Derek#",730B - Minimum and Maximum,GNU C++,Accepted,280 ms,0 KB,2016-11-04 20:02:00
21770669,Oct/25/2016 15:23,"KnowYourArchitecture: Hennkka, eax255, Ollie#",730B - Minimum and Maximum,GNU C++11,Accepted,436 ms,0 KB,2016-10-25 15:23:00
21703398,Oct/23/2016 11:53,lucyanna2018,730B - Minimum and Maximum,GNU C++,Accepted,264 ms,0 KB,2016-10-23 11:53:00
21761281,Oct/25/2016 03:06,HoseinFaghih,730B - Minimum and Maximum,GNU C++,Accepted,311 ms,0 KB,2016-10-25 03:06:00
66147256,Dec/01/2019 20:11,"Melul_Ganjedi: banrovegrie, ltc.groverkss#",730B - Minimum and Maximum,GNU C++14,Accepted,561 ms,0 KB,2019-12-01 20:11:00
21869727,Oct/29/2016 14:01,vjudge5,730B - Minimum and Maximum,GNU C++,Accepted,374 ms,0 KB,2016-10-29 14:01:00
21702318,Oct/23/2016 11:31,Allanur,730B - Minimum and Maximum,GNU C++11,Accepted,389 ms,0 KB,2016-10-23 11:31:00
76676749,Apr/14/2020 13:05,countercurrent-time,730B - Minimum and Maximum,GNU C++11,Accepted,358 ms,0 KB,2020-04-14 13:05:00
21875061,Oct/29/2016 18:24,Seif,730B - Minimum and Maximum,GNU C++14,Accepted,249 ms,0 KB,2016-10-29 18:24:00
21761366,Oct/25/2016 03:15,Aikurce,730B - Minimum and Maximum,GNU C++11,Accepted,311 ms,0 KB,2016-10-25 03:15:00
21706262,Oct/23/2016 12:52,thai9cdb1,730B - Minimum and Maximum,GNU C++11,Accepted,265 ms,0 KB,2016-10-23 12:52:00
22198436,Nov/13/2016 21:56,Waterloo Guests 2017: immigrant#,730B - Minimum and Maximum,GNU C++14,Accepted,280 ms,0 KB,2016-11-13 21:56:00
21704625,Oct/23/2016 12:17,"Việt An + 2: tanphatls987, SoulSilver, touristv2",730B - Minimum and Maximum,GNU C++14,Accepted,265 ms,0 KB,2016-10-23 12:17:00
55647966,Jun/16/2019 16:07,best1234567,730B - Minimum and Maximum,GNU C++17,Accepted,514 ms,0 KB,2019-06-16 16:07:00
21702959,Oct/23/2016 11:45,"Tbilisi FreeUni #1: guliashvili, gskhirtladze, alexandre",730B - Minimum and Maximum,GNU C++11,Accepted,358 ms,0 KB,2016-10-23 11:45:00
50733511,Mar/03/2019 14:54,quickers,730B - Minimum and Maximum,GNU C++14,Accepted,623 ms,100 KB,2019-03-03 14:54:00
22499267,Nov/26/2016 03:10,Anani_leaf,730B - Minimum and Maximum,GNU C++11,Accepted,342 ms,0 KB,2016-11-26 03:10:00
30100424,Sep/05/2017 16:15,frvdec,730B - Minimum and Maximum,GNU C++,Accepted,358 ms,0 KB,2017-09-05 16:15:00
70168265,Feb/03/2020 19:53,Pety,730B - Minimum and Maximum,GNU C++14,Accepted,576 ms,2400 KB,2020-02-03 19:53:00
21711394,Oct/23/2016 15:14,"Phan Trinh: LawrenceXavier, phht",730B - Minimum and Maximum,GNU C++,Accepted,358 ms,0 KB,2016-10-23 15:14:00
30621629,Sep/22/2017 20:24,"Forty Two: lane, abhigyank, nul_pointer#",730B - Minimum and Maximum,Python 2,Accepted,655 ms,0 KB,2017-09-22 20:24:00
21765708,Oct/25/2016 10:39,a133466799000,730B - Minimum and Maximum,GNU C++,Accepted,311 ms,0 KB,2016-10-25 10:39:00
56707551,Jul/08/2019 14:37,kekxy,730B - Minimum and Maximum,GNU C++11,Accepted,374 ms,0 KB,2019-07-08 14:37:00
21702490,Oct/23/2016 11:35,"TeamG: ITDOI, MaGaroo, IMAN_GH",730B - Minimum and Maximum,GNU C++11,Accepted,405 ms,0 KB,2016-10-23 11:35:00
