57352573,Jul/20/2019 07:38,utkarshmahan,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-20 07:38:00
77357009,Apr/20/2020 15:02,Maria_Altheneyan,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2020-04-20 15:02:00
77609714,Apr/22/2020 08:37,vikash_vian,777B - Game of Credit Cards,PyPy 3,Accepted,171 ms,0 KB,2020-04-22 08:37:00
58693218,Aug/13/2019 07:37,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-08-13 07:37:00
57941576,Jul/29/2019 15:46,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-29 15:46:00
25300452,Mar/06/2017 22:02,Mikhniuk,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2100 KB,2017-03-06 22:02:00
40850430,Jul/27/2018 17:19,cobbishere,777B - Game of Credit Cards,GNU C++14,Accepted,30 ms,0 KB,2018-07-27 17:19:00
50539977,Feb/26/2019 20:34,_Time_Lord_,777B - Game of Credit Cards,GNU C++17,Accepted,31 ms,0 KB,2019-02-26 20:34:00
50757231,Mar/03/2019 20:38,bhargav_0085,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,200 KB,2019-03-03 20:38:00
55833242,Jun/20/2019 17:09,Honey_Badger,777B - Game of Credit Cards,PyPy 3,Accepted,155 ms,1300 KB,2019-06-20 17:09:00
55861949,Jun/21/2019 13:01,kaushik592k,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2019-06-21 13:01:00
25007173,Feb/25/2017 11:41,blackflag777,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-25 11:41:00
28404274,Jul/10/2017 12:51,bolbam,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-07-10 12:51:00
71485276,Feb/20/2020 12:53,KanhuKeNanu,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2020-02-20 12:53:00
24980771,Feb/24/2017 15:45,Yut0,777B - Game of Credit Cards,Python 3,Accepted,61 ms,4500 KB,2017-02-24 15:45:00
25062790,Feb/26/2017 21:58,UnusedFever,777B - Game of Credit Cards,Python 3,Accepted,405 ms,4500 KB,2017-02-26 21:58:00
25026436,Feb/26/2017 04:48,foo,777B - Game of Credit Cards,Python 3,Accepted,62 ms,4500 KB,2017-02-26 04:48:00
46132860,Nov/24/2018 06:04,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-11-24 06:04:00
24995320,Feb/24/2017 23:27,TerenceLiu,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-02-24 23:27:00
29825222,Aug/27/2017 14:26,MAY: Yazdan_ra#,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-08-27 14:26:00
33210446,Dec/13/2017 14:00,ytz123,777B - Game of Credit Cards,Python 2,Accepted,62 ms,4500 KB,2017-12-13 14:00:00
47186492,Dec/18/2018 08:01,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-12-18 08:01:00
54578304,May/25/2019 05:11,weepling__willow,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-05-25 05:11:00
58218783,Aug/03/2019 14:47,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-08-03 14:47:00
68124683,Jan/03/2020 17:42,Xyger,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2020-01-03 17:42:00
53384199,Apr/27/2019 05:18,Aakash_1998,777B - Game of Credit Cards,PyPy 3,Accepted,140 ms,0 KB,2019-04-27 05:18:00
79053316,May/05/2020 14:57,architnahta,777B - Game of Credit Cards,PyPy 3,Accepted,155 ms,0 KB,2020-05-05 14:57:00
25135325,Mar/01/2017 23:14,phnxfaiz,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-03-01 23:14:00
27989940,Jun/23/2017 20:36,arutsudar.a95,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-06-23 20:36:00
46175000,Nov/24/2018 17:41,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-11-24 17:41:00
