10753247,Apr/17/2015 19:17,ainta,533B - Work Group,GNU C++,Accepted,124 ms,28200 KB,2015-04-17 19:17:00
66255678,Dec/04/2019 08:48,luogu_bot5,533B - Work Group,GNU C++11,Accepted,109 ms,36800 KB,2019-12-04 08:48:00
10757274,Apr/17/2015 20:33,-dp-,533B - Work Group,PyPy 2,Accepted,217 ms,14800 KB,2015-04-17 20:33:00
10756499,Apr/17/2015 20:17,Delfad0r,533B - Work Group,GNU C++11,Accepted,327 ms,28900 KB,2015-04-17 20:17:00
29485251,Aug/15/2017 18:39,alter027,533B - Work Group,GNU C++11,Accepted,78 ms,7500 KB,2017-08-15 18:39:00
35286094,Feb/15/2018 11:05,MarcoXerox,533B - Work Group,GNU C++11,Accepted,732 ms,30900 KB,2018-02-15 11:05:00
16440398,Mar/01/2016 15:04,hanjitao,533B - Work Group,GNU C++,Accepted,78 ms,4700 KB,2016-03-01 15:04:00
10764191,Apr/18/2015 09:40,zubaer.kh,533B - Work Group,GNU C++,Accepted,717 ms,25000 KB,2015-04-18 09:40:00
75949109,Apr/09/2020 07:21,parsadegame,533B - Work Group,GNU C++11,Accepted,670 ms,22700 KB,2020-04-09 07:21:00
10756961,Apr/17/2015 20:26,vfleaking,533B - Work Group,GNU C++,Accepted,78 ms,4700 KB,2015-04-17 20:26:00
73413000,Mar/16/2020 16:52,vjudge2,533B - Work Group,GNU C++11,Accepted,233 ms,31300 KB,2020-03-16 16:52:00
17154701,Apr/04/2016 11:03,DEGwer#,533B - Work Group,GNU C++,Accepted,109 ms,34100 KB,2016-04-04 11:03:00
25662830,Mar/20/2017 12:57,srinu37,533B - Work Group,GNU C++14,Accepted,139 ms,34100 KB,2017-03-20 12:57:00
24606309,Feb/12/2017 13:30,mr.banana,533B - Work Group,GNU C++14,Accepted,140 ms,27100 KB,2017-02-12 13:30:00
17316795,Apr/14/2016 18:58,0xA28,533B - Work Group,GNU C++11,Accepted,93 ms,18800 KB,2016-04-14 18:58:00
18768179,Jun/28/2016 16:48,aufeas,533B - Work Group,GNU C++,Accepted,109 ms,25600 KB,2016-06-28 16:48:00
73413090,Mar/16/2020 16:53,gotocf,533B - Work Group,GNU C++11,Accepted,249 ms,31300 KB,2020-03-16 16:53:00
11601222,Jun/16/2015 06:24,allanyin,533B - Work Group,PyPy 2,Accepted,1107 ms,27700 KB,2015-06-16 06:24:00
