21820588,Oct/27/2016 15:00,vjudge1,208B - Solitaire,GNU C++,Accepted,30 ms,12700 KB,2016-10-27 15:00:00
42146312,Aug/27/2018 12:02,Nihilism,208B - Solitaire,GNU C++,Accepted,31 ms,41300 KB,2018-08-27 12:02:00
70786069,Feb/11/2020 15:24,vjudge1,208B - Solitaire,GNU C++17,Accepted,46 ms,50700 KB,2020-02-11 15:24:00
64204360,Nov/04/2019 15:25,MinecraftFuns,208B - Solitaire,Python 3,Accepted,124 ms,300 KB,2019-11-04 15:25:00
5390081,Dec/08/2013 16:50,PSDEV,208B - Solitaire,GNU C++,Accepted,30 ms,50700 KB,2013-12-08 16:50:00
44888283,Oct/26/2018 03:43,Mordred_Pendragon,208B - Solitaire,GNU C++11,Accepted,31 ms,35800 KB,2018-10-26 03:43:00
28285198,Jul/04/2017 19:30,tasneem.sharaf97,208B - Solitaire,GNU C++,Accepted,46 ms,52800 KB,2017-07-04 19:30:00
36997997,Apr/05/2018 16:03,vjudge3,208B - Solitaire,GNU C++,Accepted,31 ms,16100 KB,2018-04-05 16:03:00
42146707,Aug/27/2018 12:17,luogu_bot4,208B - Solitaire,GNU C++,Accepted,31 ms,18800 KB,2018-08-27 12:17:00
2878251,Jan/06/2013 16:21,hakobyan.tigran,208B - Solitaire,GNU C++,Accepted,15 ms,33300 KB,2013-01-06 16:21:00
42150980,Aug/27/2018 15:11,vjudge2,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 15:11:00
7815907,Sep/17/2014 12:25,dr.ikros,208B - Solitaire,Python 3,Accepted,62 ms,400 KB,2014-09-17 12:25:00
42144370,Aug/27/2018 10:56,vjudge5,208B - Solitaire,GNU C++,Accepted,31 ms,35800 KB,2018-08-27 10:56:00
1935276,Jul/24/2012 12:50,Romka,208B - Solitaire,Python 2,Accepted,130 ms,3300 KB,2012-07-24 12:50:00
1939975,Jul/25/2012 22:22,darkloz,208B - Solitaire,GNU C++,Accepted,80 ms,1900 KB,2012-07-25 22:22:00
58856717,Aug/15/2019 12:37,XZ20220135,208B - Solitaire,GNU C++11,Accepted,46 ms,50700 KB,2019-08-15 12:37:00
50999018,Mar/08/2019 08:52,chaorenhaha,208B - Solitaire,FPC,Accepted,31 ms,59000 KB,2019-03-08 08:52:00
42151009,Aug/27/2018 15:12,vjudge1,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 15:12:00
2161846,Sep/13/2012 16:31,vjudge4,208B - Solitaire,GNU C++,Accepted,31 ms,14100 KB,2012-09-13 16:31:00
1942052,Jul/26/2012 18:29,jokeD,208B - Solitaire,GNU C++,Accepted,30 ms,32300 KB,2012-07-26 18:29:00
1942057,Jul/26/2012 18:29,airon,208B - Solitaire,GNU C++,Accepted,30 ms,32300 KB,2012-07-26 18:29:00
2163410,Sep/13/2012 17:15,liuq901,208B - Solitaire,GNU C++,Accepted,31 ms,14100 KB,2012-09-13 17:15:00
36420156,Mar/19/2018 23:15,farukkastamonuda,208B - Solitaire,GNU C++14,Accepted,31 ms,11000 KB,2018-03-19 23:15:00
42150947,Aug/27/2018 15:10,vjudge4,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 15:10:00
9296136,Dec/29/2014 10:48,patience,208B - Solitaire,GNU C++,Accepted,156 ms,2300 KB,2014-12-29 10:48:00
42148507,Aug/27/2018 13:35,vjudge2,208B - Solitaire,GNU C++,Accepted,31 ms,9000 KB,2018-08-27 13:35:00
1933110,Jul/23/2012 22:52,aropan,208B - Solitaire,Python 2,Accepted,860 ms,15700 KB,2012-07-23 22:52:00
19060937,Jul/13/2016 05:42,vjudge5,208B - Solitaire,GNU C++,Accepted,15 ms,9000 KB,2016-07-13 05:42:00
42123863,Aug/26/2018 16:56,Mk_Python_v1,208B - Solitaire,Python 3,Accepted,124 ms,100 KB,2018-08-26 16:56:00
1940969,Jul/26/2012 10:52,Tolstolutskih,208B - Solitaire,GNU C++,Accepted,440 ms,3500 KB,2012-07-26 10:52:00
42144060,Aug/27/2018 10:44,vjudge3,208B - Solitaire,GNU C++,Accepted,31 ms,9000 KB,2018-08-27 10:44:00
42150898,Aug/27/2018 15:08,vjudge2,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 15:08:00
42151848,Aug/27/2018 15:36,MetaBro,208B - Solitaire,GNU C++14,Accepted,31 ms,400 KB,2018-08-27 15:36:00
2626687,Nov/22/2012 16:11,taojiaen,208B - Solitaire,GNU C++,Accepted,31 ms,9000 KB,2012-11-22 16:11:00
