42123519,Aug/26/2018 16:45,Mk_Python_v1,169B - Replacing Digits,Python 3,Accepted,934 ms,2200 KB,2018-08-26 16:45:00
7906095,Sep/22/2014 16:05,hohoz,169B - Replacing Digits,GNU C++,Accepted,934 ms,400 KB,2014-09-22 16:05:00
7906124,Sep/22/2014 16:07,Nahla95,169B - Replacing Digits,GNU C++,Accepted,934 ms,400 KB,2014-09-22 16:07:00
1444778,Mar/31/2012 01:34,thinker_01,169B - Replacing Digits,Python 2,Accepted,170 ms,3800 KB,2012-03-31 01:34:00
8993612,Dec/05/2014 20:17,ma7moudegy,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-12-05 20:17:00
10171570,Mar/06/2015 03:58,mahmoud.ahmed,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2015-03-06 03:58:00
13595442,Oct/13/2015 18:42,ali.bassem.mahmoud,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2015-10-13 18:42:00
13711359,Oct/18/2015 14:09,codesingh,169B - Replacing Digits,GNU C++11,Accepted,124 ms,400 KB,2015-10-18 14:09:00
8125562,Oct/07/2014 08:22,natzukuchiki,169B - Replacing Digits,GNU C++,Accepted,122 ms,400 KB,2014-10-07 08:22:00
24984637,Feb/24/2017 17:14,vjudge1,169B - Replacing Digits,GNU C++,Accepted,122 ms,2400 KB,2017-02-24 17:14:00
6265111,Apr/05/2014 19:51,OmaeWaMouShenDeiru,169B - Replacing Digits,GNU C++,Accepted,62 ms,200 KB,2014-04-05 19:51:00
1441163,Mar/29/2012 22:05,Fdg,169B - Replacing Digits,Python 2,Accepted,330 ms,5400 KB,2012-03-29 22:05:00
5194810,Nov/23/2013 01:58,yugle7,169B - Replacing Digits,Python 3,Accepted,218 ms,1300 KB,2013-11-23 01:58:00
5620696,Jan/05/2014 12:41,PSDEV,169B - Replacing Digits,GNU C++,Accepted,62 ms,400 KB,2014-01-05 12:41:00
76706656,Apr/14/2020 17:53,cp_noob,169B - Replacing Digits,Python 3,Accepted,1340 ms,5000 KB,2020-04-14 17:53:00
26371234,Apr/15/2017 08:38,vjudge4,169B - Replacing Digits,GNU C++,Accepted,122 ms,2400 KB,2017-04-15 08:38:00
39078256,Jun/09/2018 23:28,Omnia__,169B - Replacing Digits,GNU C++14,Accepted,92 ms,400 KB,2018-06-09 23:28:00
1523585,Apr/13/2012 13:31,tec,169B - Replacing Digits,Python 2,Accepted,340 ms,4300 KB,2012-04-13 13:31:00
1586124,Apr/20/2012 17:31,demolishka,169B - Replacing Digits,Python 2,Accepted,160 ms,5300 KB,2012-04-20 17:31:00
10753977,Apr/17/2015 19:32,zoma,169B - Replacing Digits,GNU C++,Accepted,92 ms,400 KB,2015-04-17 19:32:00
11968481,Jul/08/2015 10:26,HamedWBN1,169B - Replacing Digits,MS C++,Accepted,60 ms,400 KB,2015-07-08 10:26:00
17086376,Apr/01/2016 10:48,freebsdx,169B - Replacing Digits,GNU C++11,Accepted,92 ms,2500 KB,2016-04-01 10:48:00
76073184,Apr/10/2020 12:17,LakshKumar,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2020-04-10 12:17:00
76095096,Apr/10/2020 16:37,laksh_kumar,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2020-04-10 16:37:00
1509390,Apr/11/2012 01:17,pablo.aguilar,169B - Replacing Digits,Python 2,Accepted,170 ms,4000 KB,2012-04-11 01:17:00
26161849,Apr/06/2017 06:58,Angry_Nigger,169B - Replacing Digits,GNU C++14,Accepted,122 ms,2300 KB,2017-04-06 06:58:00
36443525,Mar/21/2018 02:02,Abeer_Mustafa,169B - Replacing Digits,GNU C++14,Accepted,122 ms,3700 KB,2018-03-21 02:02:00
65106936,Nov/15/2019 22:44,LintuStorm,169B - Replacing Digits,Python 3,Accepted,404 ms,1600 KB,2019-11-15 22:44:00
1418523,Mar/26/2012 07:35,shinshin0811,169B - Replacing Digits,GNU C++,Accepted,60 ms,1700 KB,2012-03-26 07:35:00
12706238,Aug/26/2015 13:23,emon11111,169B - Replacing Digits,GNU C++11,Accepted,122 ms,400 KB,2015-08-26 13:23:00
51848033,Mar/26/2019 09:08,ujjk29,169B - Replacing Digits,GNU C++17,Accepted,124 ms,400 KB,2019-03-26 09:08:00
37851553,May/03/2018 04:36,mohammed.rabii,169B - Replacing Digits,GNU C++14,Accepted,122 ms,3700 KB,2018-05-03 04:36:00
74498052,Mar/26/2020 21:43,Heartrose,169B - Replacing Digits,Python 3,Accepted,466 ms,1500 KB,2020-03-26 21:43:00
9357304,Jan/04/2015 07:05,Eeyore,169B - Replacing Digits,Ruby,Accepted,498 ms,16900 KB,2015-01-04 07:05:00
22489707,Nov/25/2016 16:24,alyswidan,169B - Replacing Digits,GNU C++11,Accepted,92 ms,400 KB,2016-11-25 16:24:00
57762693,Jul/25/2019 21:40,vjudge1,169B - Replacing Digits,Python 3,Accepted,466 ms,2200 KB,2019-07-25 21:40:00
