26254373,Apr/10/2017 16:27,siddharths067,789B - Masha and geometric depression,GNU C++11,Accepted,295 ms,5200 KB,2017-04-10 16:27:00
72949320,Mar/11/2020 14:20,ayushpandey,789B - Masha and geometric depression,GNU C++14,Accepted,218 ms,3300 KB,2020-03-11 14:20:00
26764839,Apr/30/2017 12:55,duyduc,789B - Masha and geometric depression,GNU C++14,Accepted,234 ms,6000 KB,2017-04-30 12:55:00
25975249,Mar/31/2017 13:05,thai9cdb1#,789B - Masha and geometric depression,GNU C++14,Accepted,218 ms,5200 KB,2017-03-31 13:05:00
26115017,Apr/04/2017 09:55,Toddhead#,789B - Masha and geometric depression,GNU C++14,Accepted,233 ms,6000 KB,2017-04-04 09:55:00
25932067,Mar/29/2017 22:43,rsFalse,789B - Masha and geometric depression,Perl,Accepted,156 ms,28000 KB,2017-03-29 22:43:00
25954582,Mar/30/2017 16:52,shukla.gauravshukla2,789B - Masha and geometric depression,GNU C++11,Accepted,265 ms,5600 KB,2017-03-30 16:52:00
25907900,Mar/29/2017 19:39,yash_15,789B - Masha and geometric depression,GNU C++11,Accepted,46 ms,5200 KB,2017-03-29 19:39:00
25930920,Mar/29/2017 22:21,aayush9,789B - Masha and geometric depression,GNU C++11,Accepted,280 ms,6000 KB,2017-03-29 22:21:00
25976097,Mar/31/2017 13:47,Moisol,789B - Masha and geometric depression,GNU C++14,Accepted,218 ms,6000 KB,2017-03-31 13:47:00
25952816,Mar/30/2017 15:54,Vasilevich,789B - Masha and geometric depression,GNU C++,Accepted,327 ms,5200 KB,2017-03-30 15:54:00
26107116,Apr/03/2017 22:04,Vasilevich,789B - Masha and geometric depression,GNU C++,Accepted,265 ms,5200 KB,2017-04-03 22:04:00
26131715,Apr/04/2017 23:36,LobsterLord,789B - Masha and geometric depression,Python 3,Accepted,93 ms,12600 KB,2017-04-04 23:36:00
26111994,Apr/04/2017 06:16,biltharesatyendra,789B - Masha and geometric depression,Python 2,Accepted,124 ms,10100 KB,2017-04-04 06:16:00
26713110,Apr/28/2017 07:54,Abdulbosit.Abdullo,789B - Masha and geometric depression,GNU C++11,Accepted,265 ms,6000 KB,2017-04-28 07:54:00
26134946,Apr/05/2017 06:29,qyqyq,789B - Masha and geometric depression,GNU C++,Accepted,62 ms,6000 KB,2017-04-05 06:29:00
31857763,Oct/29/2017 09:33,Nishit_98,789B - Masha and geometric depression,GNU C++11,Accepted,61 ms,3200 KB,2017-10-29 09:33:00
26191776,Apr/07/2017 14:53,mig,789B - Masha and geometric depression,GNU C++14,Accepted,217 ms,6000 KB,2017-04-07 14:53:00
26495074,Apr/19/2017 15:21,zhmshitiancai,789B - Masha and geometric depression,GNU C++11,Accepted,265 ms,5200 KB,2017-04-19 15:21:00
26678362,Apr/26/2017 11:48,Kyire_bin,789B - Masha and geometric depression,GNU C++,Accepted,280 ms,5200 KB,2017-04-26 11:48:00
27192672,May/18/2017 11:26,wanggann,789B - Masha and geometric depression,GNU C++14,Accepted,233 ms,4100 KB,2017-05-18 11:26:00
26678365,Apr/26/2017 11:48,vjudge1,789B - Masha and geometric depression,GNU C++,Accepted,296 ms,5200 KB,2017-04-26 11:48:00
26082040,Apr/02/2017 19:30,chubakueno#,789B - Masha and geometric depression,GNU C++14,Accepted,265 ms,5200 KB,2017-04-02 19:30:00
26445697,Apr/17/2017 07:51,delstorm,789B - Masha and geometric depression,GNU C++11,Accepted,265 ms,5200 KB,2017-04-17 07:51:00
26491905,Apr/19/2017 12:02,DimaTC,789B - Masha and geometric depression,GNU C++,Accepted,265 ms,5200 KB,2017-04-19 12:02:00
54643489,May/26/2019 00:18,mixalchik545,789B - Masha and geometric depression,Python 3,Accepted,140 ms,10600 KB,2019-05-26 00:18:00
26322870,Apr/12/2017 20:20,asraf_047,789B - Masha and geometric depression,GNU C++,Accepted,280 ms,5200 KB,2017-04-12 20:20:00
26491953,Apr/19/2017 12:05,DimaTC,789B - Masha and geometric depression,GNU C++,Accepted,265 ms,5200 KB,2017-04-19 12:05:00
26756874,Apr/30/2017 00:51,Islam_Atef,789B - Masha and geometric depression,GNU C++14,Accepted,233 ms,6000 KB,2017-04-30 00:51:00
26445714,Apr/17/2017 07:52,_nEro_,789B - Masha and geometric depression,GNU C++11,Accepted,265 ms,5200 KB,2017-04-17 07:52:00
26137438,Apr/05/2017 10:18,MyTien,789B - Masha and geometric depression,GNU C++14,Accepted,233 ms,6000 KB,2017-04-05 10:18:00
