30318180,Sep/14/2017 03:44,__Apocrypha,767B - The Queue,GNU C++,Accepted,280 ms,0 KB,2017-09-14 03:44:00
30318193,Sep/14/2017 03:46,__Apocrypha,767B - The Queue,GNU C++,Accepted,295 ms,0 KB,2017-09-14 03:46:00
26677896,Apr/26/2017 11:06,naufal_aziz,767B - The Queue,GNU C++,Accepted,265 ms,2000 KB,2017-04-26 11:06:00
30775755,Sep/27/2017 14:53,Fuko_Ibuki,767B - The Queue,GNU C++14,Accepted,46 ms,0 KB,2017-09-27 14:53:00
30318203,Sep/14/2017 03:47,vjudge2,767B - The Queue,GNU C++,Accepted,280 ms,100 KB,2017-09-14 03:47:00
26677923,Apr/26/2017 11:08,vjudge2,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-04-26 11:08:00
24798147,Feb/19/2017 11:59,lqzhhh,767B - The Queue,GNU C++,Accepted,436 ms,2000 KB,2017-02-19 11:59:00
27206275,May/19/2017 04:43,RetiredPenguin#,767B - The Queue,GNU C++11,Accepted,280 ms,0 KB,2017-05-19 04:43:00
30318236,Sep/14/2017 03:51,vjudge2,767B - The Queue,GNU C++,Accepted,31 ms,0 KB,2017-09-14 03:51:00
24883984,Feb/22/2017 06:11,HarborYuan,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-02-22 06:11:00
24795999,Feb/19/2017 09:43,invinciblerm,767B - The Queue,GNU C++11,Accepted,296 ms,2000 KB,2017-02-19 09:43:00
25448086,Mar/13/2017 09:56,Hlopkov_VAVKO,767B - The Queue,GNU C++11,Accepted,295 ms,2100 KB,2017-03-13 09:56:00
26315824,Apr/12/2017 14:23,Tiwari_17,767B - The Queue,GNU C++14,Accepted,265 ms,1900 KB,2017-04-12 14:23:00
24789904,Feb/18/2017 23:57,Ashutosh_Bang,767B - The Queue,GNU C++14,Accepted,280 ms,1900 KB,2017-02-18 23:57:00
56421030,Jul/02/2019 10:20,vjudge2,767B - The Queue,GNU C++17,Accepted,218 ms,0 KB,2019-07-02 10:20:00
24771085,Feb/18/2017 13:49,iiiLoveYOU2018,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-02-18 13:49:00
24910420,Feb/23/2017 10:25,saholic,767B - The Queue,GNU C++14,Accepted,61 ms,1900 KB,2017-02-23 10:25:00
25112601,Mar/01/2017 03:05,JoelSotoMamani,767B - The Queue,GNU C++14,Accepted,61 ms,1900 KB,2017-03-01 03:05:00
24796258,Feb/19/2017 09:58,15111205046,767B - The Queue,GNU C++,Accepted,296 ms,2000 KB,2017-02-19 09:58:00
32008548,Nov/03/2017 16:31,adelacvg,767B - The Queue,GNU C++11,Accepted,78 ms,0 KB,2017-11-03 16:31:00
25461574,Mar/13/2017 23:10,chb19,767B - The Queue,FPC,Accepted,31 ms,1600 KB,2017-03-13 23:10:00
40062403,Jul/07/2018 16:29,jangjie,767B - The Queue,GNU C++,Accepted,62 ms,0 KB,2018-07-07 16:29:00
26212972,Apr/08/2017 11:04,Yeader,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-04-08 11:04:00
30305646,Sep/13/2017 14:40,vjudge1,767B - The Queue,GNU C++,Accepted,280 ms,800 KB,2017-09-13 14:40:00
24794046,Feb/19/2017 07:11,Tsaryu,767B - The Queue,GNU C++,Accepted,265 ms,2000 KB,2017-02-19 07:11:00
30305327,Sep/13/2017 14:26,vjudge3,767B - The Queue,GNU C++,Accepted,296 ms,0 KB,2017-09-13 14:26:00
56421792,Jul/02/2019 10:41,hznu_kk,767B - The Queue,GNU C++17,Accepted,218 ms,0 KB,2019-07-02 10:41:00
24796907,Feb/19/2017 10:37,Fistice,767B - The Queue,GNU C++,Accepted,358 ms,2000 KB,2017-02-19 10:37:00
25707683,Mar/22/2017 12:46,DoesNotCompute,767B - The Queue,GNU C++14,Accepted,234 ms,1900 KB,2017-03-22 12:46:00
25569250,Mar/17/2017 13:38,mds_333,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-03-17 13:38:00
56420304,Jul/02/2019 10:00,hznu_kk,767B - The Queue,GNU C++17,Accepted,217 ms,0 KB,2019-07-02 10:00:00
25707669,Mar/22/2017 12:46,DoesNotCompute,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-03-22 12:46:00
24796680,Feb/19/2017 10:24,BuddhaCoder,767B - The Queue,GNU C++11,Accepted,312 ms,2000 KB,2017-02-19 10:24:00
30304213,Sep/13/2017 13:32,vjudge1,767B - The Queue,GNU C++,Accepted,46 ms,0 KB,2017-09-13 13:32:00
35082215,Feb/09/2018 10:56,vjudge1,767B - The Queue,GNU C++,Accepted,46 ms,2000 KB,2018-02-09 10:56:00
24902674,Feb/23/2017 00:45,mutreta,767B - The Queue,GNU C++11,Accepted,46 ms,2800 KB,2017-02-23 00:45:00
25336455,Mar/08/2017 11:15,cen,767B - The Queue,GNU C++11,Accepted,31 ms,2100 KB,2017-03-08 11:15:00
40823155,Jul/27/2018 04:26,evangel,767B - The Queue,GNU C++,Accepted,296 ms,0 KB,2018-07-27 04:26:00
24796575,Feb/19/2017 10:18,BuddhaCoder,767B - The Queue,GNU C++11,Accepted,312 ms,2000 KB,2017-02-19 10:18:00
56747191,Jul/09/2019 13:18,17204127,767B - The Queue,GNU C++17,Accepted,61 ms,0 KB,2019-07-09 13:18:00
40159124,Jul/10/2018 08:56,vjudge4,767B - The Queue,GNU C++,Accepted,46 ms,0 KB,2018-07-10 08:56:00
24796903,Feb/19/2017 10:37,AHTOH._.,767B - The Queue,FPC,Accepted,46 ms,1600 KB,2017-02-19 10:37:00
35081212,Feb/09/2018 10:12,vjudge4,767B - The Queue,GNU C++14,Accepted,46 ms,1900 KB,2018-02-09 10:12:00
29340919,Aug/11/2017 04:43,Angry_Nigger,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-08-11 04:43:00
40162823,Jul/10/2018 11:06,saosaosaobossxkx,767B - The Queue,GNU C++,Accepted,280 ms,300 KB,2018-07-10 11:06:00
35084308,Feb/09/2018 12:18,vjudge2,767B - The Queue,GNU C++14,Accepted,31 ms,2000 KB,2018-02-09 12:18:00
26255395,Apr/10/2017 17:15,Gealo,767B - The Queue,GNU C++14,Accepted,249 ms,1900 KB,2017-04-10 17:15:00
40823211,Jul/27/2018 04:28,returnfico,767B - The Queue,GNU C++14,Accepted,249 ms,0 KB,2018-07-27 04:28:00
32367568,Nov/17/2017 04:11,GStnt,767B - The Queue,GNU C++14,Accepted,249 ms,0 KB,2017-11-17 04:11:00
26212672,Apr/08/2017 10:53,Yeader,767B - The Queue,GNU C++14,Accepted,61 ms,2700 KB,2017-04-08 10:53:00
30861847,Sep/30/2017 13:13,yashgulani,767B - The Queue,GNU C++14,Accepted,233 ms,0 KB,2017-09-30 13:13:00
32367609,Nov/17/2017 04:15,GStnt,767B - The Queue,GNU C++14,Accepted,249 ms,0 KB,2017-11-17 04:15:00
24814121,Feb/20/2017 05:48,YanHan22,767B - The Queue,GNU C++14,Accepted,62 ms,1900 KB,2017-02-20 05:48:00
26801885,May/02/2017 15:21,vjudge3,767B - The Queue,GNU C++,Accepted,295 ms,2000 KB,2017-05-02 15:21:00
30304906,Sep/13/2017 14:06,vjudge3,767B - The Queue,GNU C++,Accepted,280 ms,0 KB,2017-09-13 14:06:00
24779647,Feb/18/2017 16:28,omarosama96,767B - The Queue,GNU C++14,Accepted,264 ms,2700 KB,2017-02-18 16:28:00
25065766,Feb/27/2017 01:12,HYPERHYPERHYPERCUBELOVER#,767B - The Queue,GNU C++14,Accepted,62 ms,1900 KB,2017-02-27 01:12:00
25438607,Mar/12/2017 18:57,XiangPai,767B - The Queue,GNU C++14,Accepted,46 ms,1800 KB,2017-03-12 18:57:00
32367956,Nov/17/2017 04:55,vjudge3,767B - The Queue,GNU C++11,Accepted,295 ms,0 KB,2017-11-17 04:55:00
40823446,Jul/27/2018 04:37,returnfico,767B - The Queue,GNU C++14,Accepted,280 ms,0 KB,2018-07-27 04:37:00
25666273,Mar/20/2017 16:12,Big_black_jujube,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-03-20 16:12:00
30944841,Oct/02/2017 17:06,connecting,767B - The Queue,GNU C++14,Accepted,234 ms,0 KB,2017-10-02 17:06:00
25979254,Mar/31/2017 16:00,Big_black_jujube,767B - The Queue,GNU C++,Accepted,327 ms,2000 KB,2017-03-31 16:00:00
30048996,Sep/04/2017 11:01,cmershen2,767B - The Queue,GNU C++14,Accepted,249 ms,0 KB,2017-09-04 11:01:00
24778767,Feb/18/2017 15:58,Iriskinn,767B - The Queue,PyPy 3,Accepted,639 ms,42200 KB,2017-02-18 15:58:00
24782027,Feb/18/2017 17:54,Lazy_noob,767B - The Queue,GNU C++14,Accepted,46 ms,1900 KB,2017-02-18 17:54:00
24824946,Feb/20/2017 18:15,GoCode,767B - The Queue,GNU C++11,Accepted,46 ms,2000 KB,2017-02-20 18:15:00
24960087,Feb/24/2017 12:29,jugelizi,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-02-24 12:29:00
