55282840,Jun/08/2019 05:40,darkshadow07,385B - Bear and Strings,Python 3,Accepted,109 ms,0 KB,2019-06-08 05:40:00
5809187,Jan/26/2014 01:22,Nekrolm,385B - Bear and Strings,Python 2,Accepted,62 ms,100 KB,2014-01-26 01:22:00
6306729,Apr/09/2014 19:39,mickeyandkaka,385B - Bear and Strings,Python 3,Accepted,77 ms,0 KB,2014-04-09 19:39:00
36312283,Mar/15/2018 23:53,vjudge1,385B - Bear and Strings,PyPy 2,Accepted,93 ms,22300 KB,2018-03-15 23:53:00
36312391,Mar/16/2018 00:04,vjudge5,385B - Bear and Strings,Python 2,Accepted,93 ms,5900 KB,2018-03-16 00:04:00
39822783,Jul/01/2018 16:42,MohamedAshraf15,385B - Bear and Strings,Python 3,Accepted,139 ms,0 KB,2018-07-01 16:42:00
53666533,May/02/2019 13:46,daotiennamhlvl,385B - Bear and Strings,Python 3,Accepted,109 ms,0 KB,2019-05-02 13:46:00
5787244,Jan/24/2014 19:44,* agutowski,385B - Bear and Strings,Python 2,Accepted,109 ms,100 KB,2014-01-24 19:44:00
8414512,Oct/25/2014 22:16,clarinet758,385B - Bear and Strings,Python 2,Accepted,46 ms,100 KB,2014-10-25 22:16:00
29093617,Aug/01/2017 11:52,LegendaryTooth,385B - Bear and Strings,Python 3,Accepted,62 ms,4500 KB,2017-08-01 11:52:00
51272458,Mar/13/2019 21:47,abhirock753,385B - Bear and Strings,PyPy 2,Accepted,124 ms,100 KB,2019-03-13 21:47:00
7114027,Jul/16/2014 11:19,Bubbler,385B - Bear and Strings,Python 2,Accepted,46 ms,0 KB,2014-07-16 11:19:00
10140035,Mar/04/2015 05:56,Greenwicher,385B - Bear and Strings,Python 2,Accepted,62 ms,100 KB,2015-03-04 05:56:00
5800687,Jan/25/2014 01:09,tomlau,385B - Bear and Strings,GNU C++0x,Accepted,108 ms,0 KB,2014-01-25 01:09:00
5815688,Jan/27/2014 01:59,ssmiler,385B - Bear and Strings,Python 2,Accepted,62 ms,100 KB,2014-01-27 01:59:00
11631265,Jun/18/2015 14:19,ITDOI,385B - Bear and Strings,GNU C++11,Accepted,15 ms,0 KB,2015-06-18 14:19:00
21955520,Nov/01/2016 06:23,obuzzz,385B - Bear and Strings,Python 3,Accepted,62 ms,0 KB,2016-11-01 06:23:00
57892444,Jul/28/2019 15:19,lopare,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 15:19:00
36312403,Mar/16/2018 00:05,Radnog,385B - Bear and Strings,Python 2,Accepted,93 ms,5900 KB,2018-03-16 00:05:00
10547723,Apr/02/2015 07:39,ving.xia,385B - Bear and Strings,Python 3,Accepted,61 ms,0 KB,2015-04-02 07:39:00
5953442,Mar/07/2014 00:09,yugle7,385B - Bear and Strings,Python 3,Accepted,62 ms,0 KB,2014-03-07 00:09:00
5851981,Jan/31/2014 00:12,t.janssen52,385B - Bear and Strings,Python 2,Accepted,46 ms,100 KB,2014-01-31 00:12:00
36631171,Mar/26/2018 06:33,vjudge5,385B - Bear and Strings,GNU C++11,Accepted,15 ms,3200 KB,2018-03-26 06:33:00
16706488,Mar/14/2016 03:36,cugel,385B - Bear and Strings,PyPy 3,Accepted,109 ms,400 KB,2016-03-14 03:36:00
5808948,Jan/26/2014 00:29,antonydeepak,385B - Bear and Strings,Python 3,Accepted,77 ms,400 KB,2014-01-26 00:29:00
5813683,Jan/26/2014 20:06,Kianoosh,385B - Bear and Strings,Python 2,Accepted,62 ms,100 KB,2014-01-26 20:06:00
5792194,Jan/24/2014 20:30,gautam94,385B - Bear and Strings,Python 2,Accepted,109 ms,400 KB,2014-01-24 20:30:00
5795406,Jan/24/2014 21:08,AhmedMohsen,385B - Bear and Strings,Python 3,Accepted,124 ms,600 KB,2014-01-24 21:08:00
6237379,Apr/01/2014 21:55,AhmedMohsen,385B - Bear and Strings,Python 3,Accepted,93 ms,300 KB,2014-04-01 21:55:00
6237475,Apr/01/2014 21:57,AhmedMohsen,385B - Bear and Strings,Python 3,Accepted,92 ms,300 KB,2014-04-01 21:57:00
38644327,May/27/2018 01:53,adityasr,385B - Bear and Strings,GNU C++14,Accepted,15 ms,0 KB,2018-05-27 01:53:00
5996484,Mar/11/2014 17:29,Unlenin,385B - Bear and Strings,Python 2,Accepted,46 ms,0 KB,2014-03-11 17:29:00
29633475,Aug/21/2017 05:40,lightning-bolt,385B - Bear and Strings,Python 3,Accepted,61 ms,0 KB,2017-08-21 05:40:00
5789338,Jan/24/2014 19:59,akshatgoel,385B - Bear and Strings,Python 2,Accepted,77 ms,100 KB,2014-01-24 19:59:00
23612111,Jan/06/2017 23:06,aayush98#,385B - Bear and Strings,Python 2,Accepted,62 ms,4600 KB,2017-01-06 23:06:00
73741504,Mar/19/2020 23:52,esmael_samir,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2020-03-19 23:52:00
9225991,Dec/22/2014 19:32,WhiteLord,385B - Bear and Strings,FPC,Accepted,78 ms,300 KB,2014-12-22 19:32:00
18218987,Jun/02/2016 18:02,AbcFly,385B - Bear and Strings,Python 3,Accepted,77 ms,5000 KB,2016-06-02 18:02:00
5794733,Jan/24/2014 21:00,* nwi,385B - Bear and Strings,Python 2,Accepted,124 ms,100 KB,2014-01-24 21:00:00
6015515,Mar/14/2014 19:00,ancv1990,385B - Bear and Strings,Ruby,Accepted,77 ms,100 KB,2014-03-14 19:00:00
69663550,Jan/28/2020 13:25,tushartyagi8750,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2020-01-28 13:25:00
5789359,Jan/24/2014 19:59,* carvajal,385B - Bear and Strings,Python 2,Accepted,93 ms,100 KB,2014-01-24 19:59:00
8847162,Nov/25/2014 17:37,Killer45#,385B - Bear and Strings,Python 3,Accepted,62 ms,0 KB,2014-11-25 17:37:00
5792149,Jan/24/2014 20:29,dhanpath,385B - Bear and Strings,Python 2,Accepted,109 ms,1900 KB,2014-01-24 20:29:00
5794408,Jan/24/2014 20:56,SR421,385B - Bear and Strings,Python 2,Accepted,124 ms,100 KB,2014-01-24 20:56:00
11710501,Jun/22/2015 17:17,MMM24,385B - Bear and Strings,GNU C++,Accepted,78 ms,0 KB,2015-06-22 17:17:00
35537828,Feb/21/2018 07:43,laoliumang,385B - Bear and Strings,Python 2,Accepted,93 ms,4500 KB,2018-02-21 07:43:00
14345788,Nov/19/2015 19:40,elistark,385B - Bear and Strings,Python 2,Accepted,62 ms,0 KB,2015-11-19 19:40:00
5806757,Jan/25/2014 18:29,asdsteven2,385B - Bear and Strings,Haskell,Accepted,31 ms,0 KB,2014-01-25 18:29:00
5807877,Jan/25/2014 21:19,nealzane,385B - Bear and Strings,Python 2,Accepted,46 ms,100 KB,2014-01-25 21:19:00
51159957,Mar/11/2019 14:55,cs1g,385B - Bear and Strings,PyPy 3,Accepted,140 ms,100 KB,2019-03-11 14:55:00
5790820,Jan/24/2014 20:14,insomniac,385B - Bear and Strings,Python 2,Accepted,124 ms,0 KB,2014-01-24 20:14:00
5790328,Jan/24/2014 20:08,ELKIN_,385B - Bear and Strings,Python 3,Accepted,124 ms,400 KB,2014-01-24 20:08:00
29633397,Aug/21/2017 05:32,lightning-bolt,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2017-08-21 05:32:00
44473152,Oct/18/2018 10:25,arkapravapaul,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2018-10-18 10:25:00
5825823,Jan/28/2014 18:05,Martial,385B - Bear and Strings,Python 2,Accepted,62 ms,0 KB,2014-01-28 18:05:00
55686234,Jun/17/2019 18:38,Killer0809,385B - Bear and Strings,GNU C++14,Accepted,62 ms,0 KB,2019-06-17 18:38:00
40710280,Jul/24/2018 18:33,areo,385B - Bear and Strings,Python 3,Accepted,171 ms,700 KB,2018-07-24 18:33:00
5788037,Jan/24/2014 19:49,Evgenij,385B - Bear and Strings,FPC,Accepted,78 ms,300 KB,2014-01-24 19:49:00
11710356,Jun/22/2015 17:03,MMM24,385B - Bear and Strings,GNU C++,Accepted,77 ms,0 KB,2015-06-22 17:03:00
5800058,Jan/24/2014 23:44,dido174,385B - Bear and Strings,Python 3,Accepted,140 ms,400 KB,2014-01-24 23:44:00
77587264,Apr/21/2020 23:02,hazemhazozomanwa,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2020-04-21 23:02:00
5901069,Feb/05/2014 10:36,doubletony,385B - Bear and Strings,Python 2,Accepted,124 ms,5300 KB,2014-02-05 10:36:00
5924402,Mar/04/2014 18:26,tanhausser,385B - Bear and Strings,Python 3,Accepted,62 ms,300 KB,2014-03-04 18:26:00
5791426,Jan/24/2014 20:21,yc0304,385B - Bear and Strings,Ruby,Accepted,108 ms,0 KB,2014-01-24 20:21:00
5824980,Jan/28/2014 15:30,GiannisAntetokounmpo,385B - Bear and Strings,FPC,Accepted,15 ms,300 KB,2014-01-28 15:30:00
60401936,Sep/11/2019 20:01,robert.chinem,385B - Bear and Strings,Python 3,Accepted,124 ms,100 KB,2019-09-11 20:01:00
5793192,Jan/24/2014 20:42,kumihimo,385B - Bear and Strings,Python 3,Accepted,124 ms,400 KB,2014-01-24 20:42:00
5836167,Jan/30/2014 09:13,Twicebyte,385B - Bear and Strings,Delphi,Accepted,30 ms,0 KB,2014-01-30 09:13:00
5834399,Jan/29/2014 23:20,scott_wu#,385B - Bear and Strings,Python 2,Accepted,61 ms,100 KB,2014-01-29 23:20:00
5822550,Jan/28/2014 04:45,yan.lookwatchsee,385B - Bear and Strings,Python 2,Accepted,46 ms,100 KB,2014-01-28 04:45:00
5787761,Jan/24/2014 19:47,rkjha,385B - Bear and Strings,Python 2,Accepted,93 ms,100 KB,2014-01-24 19:47:00
5790382,Jan/24/2014 20:09,alohamaloha,385B - Bear and Strings,Python 2,Accepted,93 ms,100 KB,2014-01-24 20:09:00
5795067,Jan/24/2014 21:03,vijaypal89,385B - Bear and Strings,Python 2,Accepted,93 ms,100 KB,2014-01-24 21:03:00
51299061,Mar/14/2019 16:37,bergus,385B - Bear and Strings,Python 3,Accepted,124 ms,0 KB,2019-03-14 16:37:00
5789519,Jan/24/2014 20:01,TempuX,385B - Bear and Strings,Python 2,Accepted,108 ms,100 KB,2014-01-24 20:01:00
5801166,Jan/25/2014 03:17,segezha,385B - Bear and Strings,FPC,Accepted,30 ms,300 KB,2014-01-25 03:17:00
72923358,Mar/11/2020 01:33,SuhaibSawalha1,385B - Bear and Strings,PyPy 3,Accepted,156 ms,1400 KB,2020-03-11 01:33:00
11710226,Jun/22/2015 16:55,MMM24,385B - Bear and Strings,GNU C++,Accepted,78 ms,0 KB,2015-06-22 16:55:00
48434279,Jan/15/2019 22:16,vjudge2,385B - Bear and Strings,Python 3,Accepted,109 ms,0 KB,2019-01-15 22:16:00
5792385,Jan/24/2014 20:32,shashank201101193,385B - Bear and Strings,Python 2,Accepted,124 ms,100 KB,2014-01-24 20:32:00
5829983,Jan/29/2014 10:02,azik,385B - Bear and Strings,FPC,Accepted,15 ms,300 KB,2014-01-29 10:02:00
6541885,May/04/2014 03:58,gyz_gyz#,385B - Bear and Strings,FPC,Accepted,15 ms,300 KB,2014-05-04 03:58:00
49895927,Feb/14/2019 09:55,misho-29,385B - Bear and Strings,GNU C++14,Accepted,31 ms,0 KB,2019-02-14 09:55:00
6479945,Apr/26/2014 20:06,m1_k3,385B - Bear and Strings,Python 3,Accepted,62 ms,100 KB,2014-04-26 20:06:00
5787007,Jan/24/2014 19:43,* TsunamiNoLetGo,385B - Bear and Strings,Python 3,Accepted,124 ms,400 KB,2014-01-24 19:43:00
5816718,Jan/27/2014 07:21,demon1999#,385B - Bear and Strings,FPC,Accepted,15 ms,300 KB,2014-01-27 07:21:00
33086539,Dec/11/2017 01:12,myoya,385B - Bear and Strings,GNU C++11,Accepted,93 ms,2000 KB,2017-12-11 01:12:00
5791469,Jan/24/2014 20:21,SpOleM,385B - Bear and Strings,FPC,Accepted,78 ms,300 KB,2014-01-24 20:21:00
5799301,Jan/24/2014 22:46,B_WhiteDevil,385B - Bear and Strings,FPC,Accepted,78 ms,300 KB,2014-01-24 22:46:00
5901039,Feb/05/2014 10:32,temka123#,385B - Bear and Strings,Delphi,Accepted,30 ms,0 KB,2014-02-05 10:32:00
29672561,Aug/22/2017 06:09,vjudge5,385B - Bear and Strings,FPC,Accepted,15 ms,300 KB,2017-08-22 06:09:00
77728002,Apr/23/2020 11:23,ziddi,385B - Bear and Strings,Python 3,Accepted,109 ms,0 KB,2020-04-23 11:23:00
25952891,Mar/30/2017 15:57,luka_komarovi,385B - Bear and Strings,GNU C++11,Accepted,15 ms,2000 KB,2017-03-30 15:57:00
29192476,Aug/04/2017 14:36,youssef93,385B - Bear and Strings,Python 2,Accepted,62 ms,4700 KB,2017-08-04 14:36:00
55229174,Jun/07/2019 07:21,I_hate_cf,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2019-06-07 07:21:00
5790407,Jan/24/2014 20:09,Umnic,385B - Bear and Strings,Delphi,Accepted,62 ms,0 KB,2014-01-24 20:09:00
5802109,Jan/25/2014 06:49,lovefly1983,385B - Bear and Strings,Python 2,Accepted,77 ms,0 KB,2014-01-25 06:49:00
14849732,Dec/17/2015 21:07,monk_z,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2015-12-17 21:07:00
27444141,May/30/2017 12:20,chaaxz_rzgz,385B - Bear and Strings,GNU C++11,Accepted,15 ms,0 KB,2017-05-30 12:20:00
42263430,Aug/30/2018 08:22,vjudge4,385B - Bear and Strings,GNU C++,Accepted,31 ms,0 KB,2018-08-30 08:22:00
61333273,Sep/26/2019 18:39,AxleFrost,385B - Bear and Strings,GNU C++17,Accepted,93 ms,0 KB,2019-09-26 18:39:00
