1951609,Jul/30/2012 11:37,sdibt2,209A - Multicolored Marbles,MS C++,Accepted,50 ms,5300 KB,2012-07-30 11:37:00
1975149,Aug/04/2012 08:53,Archon.JK,209A - Multicolored Marbles,GNU C++0x,Accepted,30 ms,1400 KB,2012-08-04 08:53:00
10780574,Apr/19/2015 14:34,vjudge1,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,6200 KB,2015-04-19 14:34:00
22640134,Dec/01/2016 16:11,The-Legend,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,3900 KB,2016-12-01 16:11:00
65741905,Nov/26/2019 13:38,STR19,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,3900 KB,2019-11-26 13:38:00
69048718,Jan/18/2020 14:55,khang14,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,7800 KB,2020-01-18 14:55:00
67199306,Dec/19/2019 13:20,Pyqe,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-12-19 13:20:00
62622964,Oct/15/2019 16:20,Unturned3,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,3900 KB,2019-10-15 16:20:00
46359152,Nov/29/2018 13:07,_ChenKerui,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2018-11-29 13:07:00
16633660,Mar/10/2016 16:50,tmdcnm,209A - Multicolored Marbles,GNU C++,Accepted,30 ms,0 KB,2016-03-10 16:50:00
16633674,Mar/10/2016 16:51,"Codeforces Team Lzr: lzr010506, ybh1998#",209A - Multicolored Marbles,GNU C++,Accepted,30 ms,0 KB,2016-03-10 16:51:00
47483312,Dec/25/2018 09:55,Kerimov,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,3900 KB,2018-12-25 09:55:00
68722646,Jan/13/2020 19:48,NAACDI,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,3900 KB,2020-01-13 19:48:00
1992734,Aug/08/2012 14:38,xfce8888#,209A - Multicolored Marbles,FPC,Accepted,80 ms,9000 KB,2012-08-08 14:38:00
9376341,Jan/07/2015 05:11,ffao,209A - Multicolored Marbles,GNU C++0x,Accepted,60 ms,0 KB,2015-01-07 05:11:00
67183125,Dec/19/2019 04:58,vjudge1,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2019-12-19 04:58:00
1951813,Jul/30/2012 12:21,sdibt1,209A - Multicolored Marbles,MS C++,Accepted,60 ms,9300 KB,2012-07-30 12:21:00
17121856,Apr/02/2016 06:02,freebsdx,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,2000 KB,2016-04-02 06:02:00
10806135,Apr/21/2015 08:53,vjudge4,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,10600 KB,2015-04-21 08:53:00
34737384,Jan/31/2018 15:46,Nyks,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,9700 KB,2018-01-31 15:46:00
71402294,Feb/18/2020 23:05,arusha1,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,3900 KB,2020-02-18 23:05:00
57927502,Jul/29/2019 10:36,anshuman16423,209A - Multicolored Marbles,PyPy 2,Accepted,624 ms,52800 KB,2019-07-29 10:36:00
71065680,Feb/14/2020 17:29,mythos,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,0 KB,2020-02-14 17:29:00
49486475,Feb/05/2019 09:09,neemaque,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-02-05 09:09:00
56893361,Jul/12/2019 17:42,HriSamJhum,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,7800 KB,2019-07-12 17:42:00
29847131,Aug/28/2017 16:59,sankur,209A - Multicolored Marbles,PyPy 3,Accepted,248 ms,300 KB,2017-08-28 16:59:00
16634481,Mar/10/2016 17:40,"Codeforces Team Lzr: lzr010506, ybh1998#",209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2016-03-10 17:40:00
46770033,Dec/08/2018 19:27,suleyman97,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2018-12-08 19:27:00
2899796,Jan/09/2013 19:02,yf97,209A - Multicolored Marbles,FPC,Accepted,31 ms,0 KB,2013-01-09 19:02:00
58980296,Aug/18/2019 06:55,xiaolin3,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,8500 KB,2019-08-18 06:55:00
56886937,Jul/12/2019 16:02,vjudge1,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,7800 KB,2019-07-12 16:02:00
33399483,Dec/19/2017 09:52,PowerfulSheep,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,10700 KB,2017-12-19 09:52:00
66322046,Dec/05/2019 17:25,MinorMiracle,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,15700 KB,2019-12-05 17:25:00
24242905,Jan/29/2017 12:03,nlgxh5,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,9900 KB,2017-01-29 12:03:00
2405665,Oct/21/2012 22:36,dante_devil,209A - Multicolored Marbles,GNU C++,Accepted,31 ms,7800 KB,2012-10-21 22:36:00
28923215,Jul/27/2017 09:56,theodor.moroianu,209A - Multicolored Marbles,GNU C++11,Accepted,30 ms,2100 KB,2017-07-27 09:56:00
52575523,Apr/10/2019 19:11,MajdOmar1,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,3900 KB,2019-04-10 19:11:00
22594174,Nov/29/2016 11:28,nafisiham,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,7800 KB,2016-11-29 11:28:00
47258380,Dec/19/2018 14:20,CNH_OneDay,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,0 KB,2018-12-19 14:20:00
55989809,Jun/24/2019 09:56,matumbaman,209A - Multicolored Marbles,GNU C++14,Accepted,62 ms,0 KB,2019-06-24 09:56:00
57147291,Jul/16/2019 16:25,Tasfia_13,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,7800 KB,2019-07-16 16:25:00
3175154,Feb/23/2013 11:30,vjudge5,209A - Multicolored Marbles,GNU C++,Accepted,31 ms,15600 KB,2013-02-23 11:30:00
61857168,Oct/04/2019 17:21,anujpra,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,3900 KB,2019-10-04 17:21:00
67183601,Dec/19/2019 05:33,vjudge2,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,7800 KB,2019-12-19 05:33:00
6162514,Mar/27/2014 19:26,tarunmanitcs,209A - Multicolored Marbles,GNU C++,Accepted,60 ms,7800 KB,2014-03-27 19:26:00
56895852,Jul/12/2019 17:47,vjudge5,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,7800 KB,2019-07-12 17:47:00
1933680,Jul/24/2012 02:05,R_Silva,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,1400 KB,2012-07-24 02:05:00
1995109,Aug/09/2012 16:00,tagarine,209A - Multicolored Marbles,FPC,Accepted,30 ms,5100 KB,2012-08-09 16:00:00
10104096,Mar/02/2015 09:33,_1_incognito_1_#,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,0 KB,2015-03-02 09:33:00
10104125,Mar/02/2015 09:36,ikromov,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,0 KB,2015-03-02 09:36:00
23485958,Jan/01/2017 18:40,sahab_s,209A - Multicolored Marbles,GNU C++11,Accepted,60 ms,2000 KB,2017-01-01 18:40:00
1898904,Jul/14/2012 12:08,kmxyvb,209A - Multicolored Marbles,GNU C++,Accepted,50 ms,1400 KB,2012-07-14 12:08:00
56848764,Jul/11/2019 17:44,vjudge5,209A - Multicolored Marbles,GNU C++11,Accepted,92 ms,7800 KB,2019-07-11 17:44:00
65253069,Nov/17/2019 15:37,kaizen_,209A - Multicolored Marbles,GNU C++14,Accepted,92 ms,8000 KB,2019-11-17 15:37:00
46277732,Nov/27/2018 14:46,I_love_myself,209A - Multicolored Marbles,GNU C++17,Accepted,62 ms,0 KB,2018-11-27 14:46:00
67183201,Dec/19/2019 05:04,vjudge1,209A - Multicolored Marbles,GNU C++17,Accepted,92 ms,0 KB,2019-12-19 05:04:00
4852545,Oct/23/2013 17:18,vjudge5,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,0 KB,2013-10-23 17:18:00
3719444,May/14/2013 12:50,tufak,209A - Multicolored Marbles,GNU C++0x,Accepted,31 ms,0 KB,2013-05-14 12:50:00
57147312,Jul/16/2019 16:26,vjudge2,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,7800 KB,2019-07-16 16:26:00
4851798,Oct/23/2013 16:23,vjudge2,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,8600 KB,2013-10-23 16:23:00
67542575,Dec/24/2019 18:34,Nyse,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,7800 KB,2019-12-24 18:34:00
