37382046,Apr/16/2018 23:04,Ash_72,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-16 23:04:00
37586618,Apr/25/2018 05:43,heraclai,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-25 05:43:00
38080584,May/09/2018 23:17,knight-erraunt,961A - Tetris,Python 3,Accepted,92 ms,6900 KB,2018-05-09 23:17:00
37065390,Apr/07/2018 19:49,AndreySusov,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-07 19:49:00
37313011,Apr/14/2018 10:40,MaxHo,961A - Tetris,Python 3,Accepted,109 ms,6900 KB,2018-04-14 10:40:00
38593002,May/24/2018 20:14,kul3,961A - Tetris,Python 3,Accepted,78 ms,0 KB,2018-05-24 20:14:00
53773811,May/05/2019 10:08,vjudge3,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-05-05 10:08:00
54872524,May/31/2019 13:02,LuckT,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-05-31 13:02:00
60916486,Sep/20/2019 11:28,ashok123,961A - Tetris,PyPy 3,Accepted,155 ms,0 KB,2019-09-20 11:28:00
36952022,Apr/04/2018 17:07,petiteteaparty,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:07:00
36953119,Apr/04/2018 17:10,Mad_screwdriver,961A - Tetris,Python 3,Accepted,108 ms,6900 KB,2018-04-04 17:10:00
36954313,Apr/04/2018 17:14,coderbd,961A - Tetris,Python 2,Accepted,124 ms,6000 KB,2018-04-04 17:14:00
37004909,Apr/05/2018 21:06,nghiatd_16,961A - Tetris,Python 3,Accepted,77 ms,6900 KB,2018-04-05 21:06:00
37339497,Apr/15/2018 00:11,krazyboo,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-15 00:11:00
37911160,May/05/2018 19:27,hbmy031440403,961A - Tetris,Python 3,Accepted,108 ms,6900 KB,2018-05-05 19:27:00
36951874,Apr/04/2018 17:07,NoAnguish,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-04 17:07:00
36953495,Apr/04/2018 17:11,sushilverma208016,961A - Tetris,Python 2,Accepted,109 ms,5900 KB,2018-04-04 17:11:00
54873620,May/31/2019 13:41,Aidos,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-05-31 13:41:00
36953301,Apr/04/2018 17:11,fikr,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:11:00
36981552,Apr/04/2018 23:28,arknave,961A - Tetris,PyPy 3,Accepted,109 ms,20900 KB,2018-04-04 23:28:00
78057614,Apr/25/2020 21:51,lke_python,961A - Tetris,PyPy 3,Accepted,202 ms,0 KB,2020-04-25 21:51:00
36952837,Apr/04/2018 17:10,saku7,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:10:00
37016808,Apr/06/2018 12:03,ytz123,961A - Tetris,PyPy 2,Accepted,170 ms,22400 KB,2018-04-06 12:03:00
37445776,Apr/18/2018 21:46,darth_coder,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-18 21:46:00
59442383,Aug/25/2019 14:47,_viru_,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-08-25 14:47:00
68485209,Jan/10/2020 12:25,chauhan002,961A - Tetris,Python 3,Accepted,124 ms,300 KB,2020-01-10 12:25:00
36955064,Apr/04/2018 17:16,TanyaCheremkhina,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:16:00
