10,100,11,20,abs,add,all,and,ans,any,append,bin,break,count,def,elif,else,enumerate,exec,exit,find,for,from,gcd,if,import,in,index,int,join,key,lambda,len,list,map,math,max,min,no,not,open,or,ord,pop,range,re,replace,return,sep,set,sorted,split,str,strip,sum,sys,while,yes,yneos,zip
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49536902231206065,0.0,0.0,0.0,0.0,0.0,0.6425498136478429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845846976398846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35317019141878936,0.0,0.0,0.4302395803997853,0.0,0.45379910417454217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33842179609218354,0.0,0.0,0.20244420017099232,0.0,0.3284164524980166,0.0,0.2522105363112661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29139465936734604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22403868281464406,0.0,0.0,0.0,0.0,0.0,0.0,0.14881675424814408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11076805595392397,0.0,0.0,0.5300923463210896,0.0,0.10749323006541935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1907514250334203,0.0,0.0,0.0,0.0,0.23728011680529135,0.7417340144929379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2287366157895806,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27967108574309174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600958721915641,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3020398600450441,0.17345612086343365,0.0,0.0,0.0,0.36272916098070607,0.11343560099370355,0.0,0.0,0.13571454190752427,0.2551577135514769,0.11008190989916283,0.0,0.0,0.0,0.0,0.0,0.2023290028976632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7730885261791264,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23289725720713714,0.0,0.0,0.0,0.0,0.0,0.30209416107426273,0.0,0.0,0.5559625859871467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6854673646462621,0.274841918960014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729881115095475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18622377421676722,0.0,0.0,0.0,0.0,0.18071812160231862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33129983245646555,0.0,0.0,0.0,0.0,0.0,0.0,0.24656407811825232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6013613654471145,0.0,0.0,0.0,0.0,0.0,0.0,0.4200343353804672,0.0,0.0,0.0,0.0,0.0,0.4606625553286572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569558930413497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42860161502083205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3259112020778487,0.0,0.0,0.0,0.0,0.0,0.42274379851904514,0.0,0.7530913268133341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38460762167746054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562335490670987,0.0,0.0,0.17072290186087669,0.0,0.0,0.20425316405259905,0.0,0.16567552810352557,0.0,0.12723209656158982,0.0,0.0,0.315295198539446,0.0,0.0,0.16503446169101213,0.0,0.0,0.6074462728604441,0.0,0.0,0.0,0.0,0.0,0.0,0.2260406067272685,0.0,0.0,0.0,0.0,0.0,0.0,0.15014652380037358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
